0 ['79', '118', '38', '149', '208', '225', '239', '173', '192', '142', '65', '107', '124', '110', '159', '109', '126', '94', '227', '81', '230', '58', '46', '61', '13', '131', '221', '59', '140', '196', '115', '151', '24', '42', '184', '242', '175', '111', '26', '224', '127', '180', '62', '217', '104', '197', '11', '169', '207', '154']
1 ['79', '118', '38', '149', '225', '173', '192', '142', '65', '107', '124', '110', '159', '109', '126', '94', '227', '81', '230', '58', '46', '61', '13', '131', '221', '59', '140', '196', '115', '151', '24', '42', '184', '242', '175', '111', '26', '224', '127', '180', '62', '217', '104', '197', '11', '169', '207', '154', '81', '214']
2 ['79', '118', '38', '149', '225', '173', '192', '142', '65', '107', '124', '110', '159', '109', '126', '94', '227', '81', '230', '58', '46', '61', '13', '131', '221', '59', '140', '196', '115', '151', '24', '42', '184', '242', '175', '111', '26', '224', '127', '180', '62', '217', '104', '197', '11', '169', '207', '154', '81', '214']
3 ['79', '118', '38', '149', '225', '173', '192', '142', '65', '107', '124', '110', '159', '109', '126', '94', '227', '230', '58', '46', '61', '13', '131', '221', '59', '140', '196', '115', '151', '24', '42', '184', '242', '175', '111', '26', '224', '127', '62', '217', '104', '197', '11', '169', '207', '154', '81', '214', '62', '168']
4 ['79', '118', '38', '149', '225', '173', '192', '142', '65', '107', '124', '110', '159', '109', '126', '94', '227', '230', '58', '46', '61', '13', '131', '221', '59', '140', '196', '115', '151', '24', '42', '184', '242', '175', '111', '26', '224', '127', '62', '217', '104', '197', '11', '169', '207', '154', '81', '214', '62', '168']
5 ['79', '118', '38', '149', '225', '173', '192', '142', '65', '107', '124', '110', '159', '109', '126', '94', '227', '230', '58', '46', '61', '13', '131', '221', '59', '140', '196', '115', '151', '24', '42', '184', '242', '175', '111', '26', '224', '127', '217', '197', '11', '169', '207', '154', '81', '214', '62', '168', '104', '241']
6 ['79', '118', '38', '149', '225', '192', '142', '65', '107', '124', '110', '159', '109', '126', '94', '227', '230', '58', '46', '61', '13', '131', '221', '59', '140', '196', '115', '151', '24', '42', '184', '242', '175', '111', '26', '224', '127', '217', '197', '11', '169', '207', '154', '81', '214', '62', '168', '104', '241', '64']
7 ['79', '118', '38', '149', '225', '192', '142', '65', '107', '124', '110', '159', '109', '126', '94', '227', '230', '58', '46', '61', '13', '131', '221', '59', '140', '196', '115', '151', '24', '42', '184', '242', '175', '111', '26', '224', '127', '217', '197', '11', '169', '207', '154', '81', '214', '62', '168', '104', '241', '64']
8 ['79', '118', '38', '149', '225', '192', '142', '65', '107', '124', '110', '159', '109', '126', '94', '227', '230', '58', '46', '61', '13', '131', '221', '59', '140', '196', '115', '151', '24', '42', '184', '242', '175', '111', '26', '224', '127', '217', '197', '11', '169', '207', '154', '81', '214', '62', '168', '104', '241', '64']
9 ['79', '118', '38', '149', '225', '192', '142', '65', '107', '124', '109', '126', '94', '227', '230', '58', '46', '61', '13', '131', '221', '59', '140', '196', '115', '151', '24', '42', '184', '242', '175', '111', '26', '224', '127', '217', '197', '11', '169', '207', '154', '81', '214', '62', '168', '104', '241', '64', '159', '89']
10 ['79', '118', '38', '149', '225', '142', '65', '107', '124', '109', '126', '94', '227', '230', '58', '46', '61', '13', '131', '221', '59', '140', '196', '115', '151', '24', '42', '184', '242', '175', '111', '26', '224', '127', '217', '197', '11', '169', '207', '154', '81', '214', '62', '168', '104', '241', '64', '159', '89', '56']
11 ['118', '38', '149', '225', '142', '65', '107', '124', '109', '126', '94', '227', '230', '58', '46', '61', '13', '131', '221', '59', '140', '196', '115', '151', '24', '42', '184', '242', '175', '111', '26', '224', '127', '217', '197', '11', '169', '207', '154', '81', '214', '62', '168', '104', '241', '64', '159', '89', '56', '19']
