0 ['234', '138', '72', '245', '28', '142', '75', '244', '176', '177', '1', '15', '162', '63', '137', '58', '200', '100', '111', '140', '26', '82', '182', '25', '73', '45', '108', '3', '131', '232', '90', '192', '54', '103', '55', '34', '110', '49', '218', '102', '89', '205', '186', '12', '121', '7', '173', '88', '118', '20']
1 ['234', '138', '72', '245', '28', '142', '75', '244', '176', '177', '1', '15', '162', '63', '137', '58', '200', '100', '111', '140', '26', '82', '182', '25', '73', '45', '108', '3', '131', '232', '90', '192', '54', '103', '55', '34', '110', '49', '218', '102', '89', '205', '186', '12', '121', '7', '173', '88', '118', '20']
2 ['234', '138', '72', '245', '28', '142', '75', '244', '176', '177', '1', '15', '162', '63', '137', '58', '200', '100', '111', '140', '26', '82', '182', '25', '73', '45', '108', '3', '131', '232', '90', '192', '54', '103', '55', '34', '110', '49', '218', '102', '89', '205', '186', '12', '121', '7', '173', '88', '118', '20']
3 ['234', '138', '72', '245', '28', '142', '75', '244', '176', '177', '1', '15', '162', '63', '137', '58', '200', '100', '111', '140', '26', '82', '182', '25', '73', '45', '108', '3', '131', '232', '90', '192', '54', '103', '55', '34', '110', '49', '218', '102', '89', '205', '186', '12', '7', '88', '118', '20', '121', '174']
4 ['234', '138', '72', '245', '28', '142', '75', '244', '176', '177', '1', '15', '162', '63', '137', '58', '200', '100', '111', '140', '26', '82', '182', '25', '73', '45', '108', '3', '131', '232', '90', '192', '103', '55', '34', '110', '49', '218', '102', '89', '205', '186', '12', '7', '88', '118', '20', '121', '174', '190']
5 ['234', '138', '72', '245', '28', '142', '75', '244', '176', '177', '1', '15', '162', '63', '137', '58', '200', '100', '111', '140', '26', '82', '182', '25', '73', '45', '108', '3', '131', '232', '90', '192', '103', '55', '34', '49', '218', '102', '89', '205', '186', '12', '7', '88', '118', '20', '121', '174', '190', '36']
6 ['234', '138', '72', '245', '28', '142', '75', '244', '176', '177', '1', '15', '162', '63', '137', '58', '200', '100', '111', '140', '26', '82', '182', '25', '73', '45', '108', '3', '131', '232', '90', '192', '103', '55', '34', '49', '218', '102', '89', '205', '186', '12', '7', '88', '118', '20', '121', '174', '190', '36']
7 ['234', '138', '72', '245', '28', '142', '75', '244', '176', '177', '1', '15', '162', '137', '58', '200', '100', '111', '140', '26', '82', '182', '25', '73', '45', '108', '3', '131', '232', '90', '192', '103', '55', '34', '49', '218', '102', '89', '205', '186', '12', '7', '88', '118', '20', '121', '174', '190', '36', '160']
8 ['234', '138', '72', '245', '28', '142', '75', '244', '176', '177', '1', '15', '162', '137', '58', '200', '100', '111', '140', '26', '82', '182', '25', '73', '45', '108', '3', '131', '232', '90', '192', '103', '55', '34', '49', '218', '102', '89', '205', '186', '12', '7', '88', '118', '20', '121', '174', '190', '36', '160']
9 ['234', '138', '72', '245', '28', '142', '75', '244', '176', '177', '1', '15', '162', '137', '58', '200', '100', '111', '140', '26', '82', '182', '25', '73', '45', '108', '3', '131', '232', '90', '192', '103', '55', '34', '49', '218', '102', '89', '205', '186', '12', '7', '88', '118', '20', '121', '174', '190', '36', '160']
10 ['234', '138', '72', '245', '28', '142', '75', '244', '176', '177', '1', '15', '162', '137', '58', '200', '100', '111', '140', '26', '82', '182', '25', '73', '45', '108', '3', '131', '232', '90', '192', '103', '55', '34', '49', '218', '102', '89', '205', '186', '12', '7', '88', '118', '20', '121', '174', '190', '36', '160']
11 ['234', '138', '72', '245', '28', '142', '75', '244', '176', '177', '1', '15', '162', '137', '58', '200', '100', '111', '140', '26', '82', '25', '73', '45', '108', '3', '131', '232', '90', '192', '103', '55', '49', '218', '102', '89', '205', '186', '12', '7', '88', '118', '20', '121', '174', '190', '36', '160', '182', '227']
12 ['234', '138', '72', '245', '28', '142', '75', '244', '176', '177', '1', '15', '162', '137', '58', '200', '100', '111', '140', '26', '82', '25', '73', '45', '108', '3', '131', '232', '90', '192', '103', '55', '49', '218', '102', '89', '205', '186', '12', '7', '88', '118', '20', '121', '174', '190', '36', '160', '182', '227']
13 ['234', '138', '72', '245', '28', '142', '75', '244', '176', '177', '1', '15', '162', '137', '58', '200', '100', '111', '140', '26', '82', '25', '73', '45', '108', '3', '131', '232', '90', '103', '55', '49', '218', '102', '89', '205', '186', '12', '7', '88', '118', '20', '121', '174', '190', '36', '160', '182', '227', '65']
14 ['234', '138', '72', '245', '28', '142', '75', '244', '176', '177', '1', '15', '162', '137', '58', '200', '100', '111', '140', '26', '82', '25', '73', '45', '108', '3', '131', '232', '90', '103', '55', '49', '218', '102', '89', '205', '186', '12', '7', '88', '118', '20', '121', '174', '190', '36', '160', '182', '227', '65']
15 ['234', '138', '72', '245', '28', '142', '75', '244', '176', '177', '1', '15', '162', '137', '58', '200', '100', '111', '140', '26', '73', '45', '108', '3', '131', '232', '90', '103', '55', '49', '218', '102', '89', '205', '186', '12', '7', '88', '118', '20', '121', '174', '190', '36', '160', '182', '227', '65', '25', '115']
16 ['234', '138', '72', '245', '28', '142', '75', '244', '176', '177', '1', '15', '162', '137', '58', '200', '100', '111', '140', '26', '73', '45', '108', '3', '131', '232', '90', '103', '55', '49', '218', '102', '89', '205', '186', '12', '7', '88', '118', '20', '121', '174', '190', '36', '160', '182', '227', '65', '25', '115']
17 ['234', '138', '72', '245', '28', '142', '75', '244', '176', '177', '1', '15', '162', '137', '58', '200', '100', '111', '140', '26', '73', '45', '108', '3', '131', '232', '90', '103', '55', '49', '218', '102', '89', '186', '12', '7', '88', '118', '20', '121', '174', '190', '36', '160', '182', '227', '65', '25', '115', '139']
18 ['234', '138', '72', '245', '28', '142', '75', '244', '176', '177', '1', '15', '162', '137', '58', '200', '100', '111', '140', '26', '73', '45', '108', '3', '131', '232', '90', '103', '55', '49', '218', '102', '89', '186', '12', '7', '88', '118', '20', '121', '174', '190', '36', '160', '182', '227', '65', '25', '115', '139']
19 ['234', '138', '72', '245', '28', '142', '75', '244', '176', '177', '1', '15', '162', '137', '58', '200', '100', '111', '140', '26', '73', '45', '108', '3', '131', '232', '90', '103', '55', '49', '218', '102', '89', '186', '12', '7', '118', '20', '121', '174', '190', '36', '160', '182', '227', '65', '25', '115', '139', '116']
20 ['234', '138', '72', '245', '28', '142', '75', '244', '176', '177', '1', '15', '162', '137', '58', '200', '100', '111', '140', '26', '73', '45', '108', '3', '131', '232', '90', '103', '55', '49', '218', '102', '89', '186', '12', '7', '118', '20', '174', '190', '36', '160', '182', '227', '65', '25', '115', '139', '116', '47']
