0 ['658', '350', '678', '792', '842', '591', '901', '152', '301', '395', '891', '799', '90', '330', '710', '781', '372', '605', '784', '485', '47', '175', '834', '266', '272', '409', '931', '800', '130', '715', '620', '688', '612', '706', '476', '446', '333', '32', '410', '273', '793', '252', '628', '731', '535', '7', '332', '355', '451', '415', '471', '55', '302', '778', '550', '727', '326', '597', '600', '940', '468', '83', '98', '316', '596', '813', '176', '900', '886', '352', '566', '220', '236', '742', '13', '808', '587', '687', '402', '359', '154', '5', '553', '183', '739', '384', '139', '504', '229', '19', '336', '856', '583', '457', '922', '251', '6', '870', '640', '489', '754', '589', '707', '611', '877', '939', '803', '859', '682', '578', '399', '185', '791', '499', '59', '360', '72', '317', '845', '119', '910', '498', '840', '810', '770', '721', '95', '412', '543', '267', '213', '290', '653', '481', '510', '22', '855', '911', '486', '425']
1 ['658', '350', '678', '792', '842', '591', '901', '152', '301', '395', '891', '799', '90', '330', '710', '781', '372', '605', '784', '485', '47', '175', '834', '266', '272', '409', '931', '800', '130', '715', '620', '688', '612', '706', '476', '446', '333', '32', '410', '273', '793', '252', '628', '731', '535', '7', '332', '355', '451', '415', '471', '55', '302', '778', '550', '727', '326', '597', '600', '940', '468', '83', '98', '316', '596', '813', '176', '900', '886', '352', '566', '220', '236', '742', '13', '808', '587', '687', '402', '359', '154', '5', '553', '183', '739', '384', '139', '504', '229', '19', '336', '856', '583', '457', '922', '251', '6', '870', '640', '489', '754', '589', '707', '611', '877', '803', '859', '682', '578', '399', '185', '791', '499', '59', '360', '72', '317', '845', '119', '910', '498', '840', '810', '770', '721', '95', '412', '543', '267', '213', '290', '653', '481', '510', '22', '855', '911', '486', '425', '652']
2 ['658', '350', '678', '792', '842', '591', '901', '152', '301', '395', '891', '799', '90', '330', '710', '781', '372', '605', '784', '485', '47', '175', '834', '266', '272', '409', '931', '800', '130', '715', '620', '688', '612', '706', '476', '446', '333', '32', '410', '273', '793', '252', '628', '731', '535', '7', '332', '355', '451', '415', '471', '55', '302', '778', '550', '727', '326', '597', '600', '940', '468', '83', '98', '316', '596', '813', '176', '900', '886', '352', '566', '220', '236', '742', '13', '808', '587', '687', '402', '359', '154', '5', '553', '183', '739', '384', '139', '504', '229', '19', '336', '856', '583', '457', '922', '251', '6', '870', '640', '489', '754', '589', '707', '611', '877', '803', '859', '682', '578', '399', '185', '791', '499', '59', '360', '72', '317', '845', '119', '910', '498', '840', '810', '770', '721', '95', '412', '543', '267', '213', '290', '653', '481', '510', '22', '855', '911', '486', '425', '652']
3 ['658', '350', '678', '792', '842', '591', '901', '152', '301', '395', '891', '799', '90', '330', '710', '781', '372', '605', '784', '485', '47', '175', '834', '266', '272', '409', '931', '800', '130', '715', '620', '688', '612', '706', '476', '446', '333', '32', '410', '273', '793', '252', '628', '731', '535', '7', '332', '355', '451', '415', '471', '55', '302', '778', '550', '727', '326', '597', '600', '940', '468', '83', '98', '316', '596', '813', '176', '900', '886', '352', '566', '220', '236', '742', '13', '808', '587', '687', '402', '359', '154', '5', '553', '183', '739', '384', '139', '504', '229', '19', '336', '856', '583', '457', '922', '251', '6', '870', '640', '489', '754', '589', '707', '611', '877', '803', '859', '682', '578', '399', '185', '791', '499', '59', '360', '72', '317', '845', '119', '910', '498', '840', '810', '770', '721', '95', '412', '543', '267', '213', '290', '653', '481', '510', '22', '855', '911', '486', '425', '652']
4 ['658', '350', '678', '792', '842', '591', '901', '152', '301', '395', '891', '799', '90', '330', '710', '781', '372', '605', '784', '485', '47', '175', '834', '266', '272', '409', '931', '800', '130', '715', '620', '688', '612', '706', '476', '446', '333', '32', '410', '273', '793', '252', '628', '731', '535', '7', '332', '355', '451', '415', '471', '55', '302', '778', '550', '727', '326', '597', '600', '940', '468', '83', '98', '316', '596', '813', '176', '900', '886', '352', '566', '220', '236', '742', '13', '808', '587', '687', '402', '359', '154', '5', '553', '183', '739', '384', '139', '504', '19', '336', '856', '583', '457', '922', '251', '6', '870', '640', '489', '754', '589', '707', '611', '877', '803', '859', '682', '578', '399', '185', '791', '499', '59', '360', '72', '317', '845', '119', '910', '498', '840', '810', '770', '721', '95', '412', '543', '267', '213', '290', '653', '510', '22', '855', '911', '425', '652', '229', '481', '270']
5 ['658', '350', '678', '792', '842', '591', '901', '152', '301', '891', '799', '90', '330', '710', '781', '372', '605', '784', '485', '47', '175', '834', '266', '272', '409', '931', '800', '130', '715', '620', '688', '612', '706', '476', '446', '333', '32', '410', '273', '793', '252', '628', '731', '535', '7', '332', '355', '451', '415', '471', '55', '302', '778', '550', '727', '326', '597', '600', '940', '468', '83', '98', '316', '596', '813', '176', '900', '886', '352', '566', '220', '236', '742', '13', '808', '587', '687', '402', '359', '154', '5', '553', '183', '739', '384', '139', '504', '19', '336', '856', '583', '457', '922', '251', '6', '870', '640', '489', '754', '589', '707', '611', '877', '803', '859', '682', '578', '399', '185', '791', '499', '59', '360', '72', '317', '845', '119', '910', '498', '840', '810', '770', '721', '95', '412', '543', '267', '213', '290', '653', '510', '22', '855', '911', '425', '652', '229', '481', '270', '375']
6 ['658', '350', '678', '792', '842', '591', '901', '152', '301', '891', '799', '90', '330', '710', '781', '372', '784', '485', '47', '175', '834', '266', '272', '409', '931', '800', '130', '715', '620', '688', '612', '706', '476', '446', '333', '32', '410', '273', '793', '252', '628', '731', '535', '7', '332', '355', '451', '415', '471', '55', '302', '778', '550', '727', '326', '597', '600', '940', '468', '83', '98', '316', '596', '813', '176', '900', '886', '352', '566', '220', '236', '742', '13', '808', '587', '687', '402', '359', '154', '5', '553', '183', '739', '384', '139', '504', '19', '336', '856', '583', '457', '922', '251', '6', '870', '640', '489', '754', '589', '707', '611', '877', '803', '859', '682', '578', '399', '185', '791', '499', '59', '360', '72', '317', '845', '119', '910', '498', '840', '810', '770', '721', '95', '412', '543', '267', '213', '290', '653', '510', '22', '855', '911', '425', '652', '229', '481', '270', '375', '565']
7 ['658', '350', '678', '792', '842', '591', '901', '152', '301', '891', '799', '90', '330', '710', '781', '372', '784', '485', '47', '175', '834', '266', '272', '409', '931', '800', '130', '715', '620', '688', '612', '706', '476', '446', '333', '32', '410', '273', '793', '628', '731', '535', '7', '332', '355', '451', '415', '471', '55', '302', '778', '550', '727', '326', '597', '600', '940', '468', '83', '98', '316', '596', '813', '176', '900', '886', '352', '566', '220', '236', '742', '13', '808', '587', '687', '402', '359', '154', '5', '553', '183', '739', '384', '139', '504', '19', '336', '856', '583', '457', '922', '251', '6', '870', '640', '489', '754', '589', '707', '611', '877', '803', '859', '682', '578', '399', '185', '791', '499', '59', '360', '72', '317', '845', '119', '910', '498', '840', '810', '770', '721', '95', '412', '543', '267', '213', '290', '653', '510', '22', '855', '911', '425', '652', '229', '481', '270', '375', '565', '636']
8 ['658', '350', '678', '792', '842', '591', '901', '152', '301', '891', '799', '90', '330', '710', '781', '372', '784', '485', '47', '175', '834', '266', '272', '409', '931', '800', '130', '715', '620', '688', '612', '706', '476', '446', '333', '32', '410', '273', '793', '628', '731', '535', '7', '332', '355', '451', '415', '471', '55', '302', '778', '550', '727', '326', '597', '600', '940', '468', '83', '98', '316', '596', '813', '176', '900', '886', '352', '566', '220', '236', '742', '13', '808', '587', '687', '402', '359', '154', '5', '553', '183', '739', '384', '139', '504', '19', '336', '856', '583', '457', '922', '251', '6', '870', '640', '489', '754', '589', '707', '611', '877', '803', '859', '682', '578', '399', '185', '791', '499', '59', '360', '72', '317', '845', '119', '910', '498', '840', '810', '770', '721', '95', '412', '543', '267', '213', '290', '653', '510', '22', '855', '911', '425', '652', '229', '481', '270', '375', '565', '636']
9 ['658', '350', '678', '792', '842', '591', '901', '152', '301', '891', '799', '90', '330', '710', '781', '372', '784', '485', '47', '175', '834', '266', '272', '409', '931', '800', '130', '715', '620', '688', '612', '706', '476', '446', '333', '32', '410', '273', '793', '628', '731', '535', '7', '332', '355', '451', '415', '471', '55', '302', '778', '550', '727', '326', '597', '600', '940', '468', '83', '98', '316', '596', '813', '176', '886', '352', '566', '220', '236', '742', '13', '808', '687', '402', '359', '154', '5', '553', '183', '739', '384', '139', '504', '19', '336', '856', '583', '457', '922', '251', '6', '870', '640', '489', '754', '589', '707', '611', '877', '803', '859', '682', '578', '399', '185', '791', '499', '59', '360', '72', '317', '845', '119', '910', '498', '840', '810', '770', '721', '95', '412', '543', '267', '213', '290', '653', '510', '22', '855', '911', '425', '652', '229', '481', '270', '375', '565', '636', '900', '930']
10 ['658', '350', '678', '792', '842', '591', '901', '152', '301', '891', '799', '90', '330', '710', '781', '372', '784', '485', '47', '175', '834', '266', '272', '409', '931', '800', '130', '715', '620', '688', '612', '706', '476', '446', '333', '32', '410', '273', '793', '628', '731', '535', '7', '332', '355', '451', '415', '471', '55', '302', '778', '550', '727', '326', '597', '600', '940', '468', '83', '98', '316', '596', '813', '176', '886', '352', '566', '220', '236', '742', '13', '808', '687', '402', '359', '154', '5', '553', '183', '739', '384', '139', '504', '19', '336', '856', '583', '457', '922', '251', '6', '870', '489', '754', '589', '707', '611', '877', '803', '859', '682', '578', '399', '185', '791', '499', '59', '360', '72', '317', '845', '119', '910', '498', '840', '810', '770', '721', '95', '412', '543', '267', '213', '290', '653', '510', '22', '855', '911', '425', '652', '229', '481', '270', '375', '565', '636', '900', '930', '203']
