0 ['98', '118', '9', '157', '207', '187', '196', '205', '12', '48', '62', '50', '5', '32', '52', '184', '14', '148', '79', '61', '76', '65', '172', '117', '95', '136', '6', '163', '195', '220', '107', '189', '132', '202', '16', '219', '58', '2', '155', '7', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91']
1 ['98', '118', '9', '157', '207', '187', '196', '205', '12', '48', '62', '50', '5', '32', '52', '184', '14', '148', '79', '61', '76', '65', '172', '117', '95', '136', '6', '163', '195', '220', '107', '189', '132', '202', '16', '219', '58', '2', '155', '7', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91']
2 ['98', '118', '9', '157', '207', '187', '196', '205', '12', '48', '62', '50', '5', '32', '52', '184', '14', '148', '79', '61', '76', '65', '172', '117', '95', '136', '6', '163', '195', '220', '107', '189', '132', '202', '16', '219', '58', '2', '155', '7', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91']
3 ['98', '118', '9', '157', '207', '196', '205', '12', '48', '62', '50', '5', '32', '52', '184', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '107', '189', '132', '16', '219', '58', '2', '155', '7', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '202', '101']
4 ['98', '118', '9', '157', '207', '196', '205', '12', '48', '62', '50', '5', '32', '52', '184', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '107', '189', '132', '16', '219', '58', '2', '7', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '202', '101', '234']
5 ['98', '118', '9', '157', '207', '196', '205', '12', '48', '62', '50', '5', '32', '52', '184', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '107', '189', '132', '16', '219', '58', '2', '7', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '202', '234', '51']
6 ['98', '118', '9', '157', '207', '196', '205', '12', '48', '62', '50', '5', '52', '184', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '107', '189', '132', '16', '219', '58', '2', '7', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '202', '234', '51', '150']
7 ['98', '118', '9', '157', '207', '196', '205', '12', '48', '62', '50', '5', '52', '184', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '107', '189', '132', '16', '219', '58', '2', '7', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '202', '234', '51', '150']
8 ['98', '118', '9', '157', '207', '196', '205', '12', '48', '62', '50', '5', '52', '184', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '107', '189', '132', '16', '219', '58', '2', '7', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '202', '234', '51', '150']
9 ['98', '118', '9', '157', '207', '196', '205', '12', '48', '62', '50', '5', '52', '184', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '107', '189', '132', '16', '219', '58', '2', '7', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '202', '234', '51', '150']
10 ['98', '157', '207', '196', '205', '12', '48', '62', '50', '5', '52', '184', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '107', '189', '16', '219', '58', '2', '7', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '202', '234', '51', '150', '138', '132', '226']
11 ['98', '157', '207', '196', '205', '12', '48', '62', '50', '5', '52', '184', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '107', '189', '16', '219', '58', '2', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '202', '234', '51', '150', '138', '132', '226', '17']
12 ['98', '157', '207', '196', '205', '12', '48', '62', '50', '5', '52', '184', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '107', '189', '16', '219', '58', '2', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '202', '234', '51', '150', '138', '132', '226', '17']
13 ['98', '157', '207', '196', '205', '12', '48', '62', '50', '5', '52', '184', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '107', '189', '16', '219', '58', '2', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '202', '234', '51', '150', '138', '132', '226', '17']
14 ['98', '157', '207', '196', '205', '12', '48', '62', '50', '5', '52', '184', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '107', '189', '16', '219', '58', '2', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '202', '234', '51', '150', '138', '132', '226', '17']
15 ['98', '157', '207', '196', '205', '12', '48', '62', '50', '5', '52', '184', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '107', '189', '16', '219', '58', '2', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '202', '234', '51', '150', '138', '132', '226', '17']
16 ['98', '157', '207', '196', '205', '12', '48', '62', '50', '5', '52', '184', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '107', '189', '16', '219', '58', '2', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '202', '234', '51', '150', '138', '132', '226', '17']
17 ['98', '157', '196', '205', '48', '62', '50', '5', '52', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '189', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '202', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '0']
18 ['98', '157', '196', '205', '48', '62', '50', '5', '52', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '189', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '202', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20']
19 ['98', '157', '196', '205', '48', '62', '50', '5', '52', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '189', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '202', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20']
20 ['98', '157', '196', '48', '62', '50', '5', '52', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '189', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227']
21 ['98', '157', '196', '48', '62', '50', '5', '52', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '189', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227']
22 ['98', '157', '196', '48', '62', '50', '5', '52', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '189', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227']
23 ['98', '157', '196', '48', '62', '50', '5', '52', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '189', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227']
24 ['98', '157', '196', '48', '62', '50', '5', '52', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '189', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227']
25 ['98', '157', '196', '48', '62', '50', '5', '52', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '189', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227']
26 ['98', '157', '196', '48', '62', '50', '5', '52', '14', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '220', '189', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227']
27 ['98', '157', '196', '62', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '189', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '38']
28 ['98', '157', '196', '62', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '189', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '38']
29 ['98', '157', '196', '62', '148', '79', '61', '76', '65', '172', '117', '95', '6', '163', '195', '189', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '38']
30 ['98', '157', '196', '62', '79', '61', '76', '172', '117', '95', '6', '163', '195', '189', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '38', '47', '186']
31 ['98', '157', '196', '62', '79', '61', '76', '172', '117', '95', '6', '163', '195', '189', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '38', '47', '186']
32 ['98', '157', '196', '62', '79', '61', '76', '172', '117', '95', '6', '163', '195', '189', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '38', '47', '186']
33 ['98', '157', '196', '62', '79', '61', '76', '172', '117', '95', '6', '163', '195', '189', '16', '219', '58', '143', '35', '49', '25', '81', '66', '214', '147', '171', '91', '136', '234', '51', '150', '138', '132', '226', '17', '107', '12', '24', '184', '20', '202', '227', '70', '210', '220', '165', '77', '38', '47', '186']
