0 ['920', '355', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '666', '720', '973', '306', '568', '480', '562', '497', '591', '561', '321', '454', '829', '523', '275', '439', '349', '683', '414', '289', '361', '655', '337', '751', '433', '639', '686', '452', '479', '158', '320', '471', '382', '783', '595', '437', '824', '160', '310', '727', '169', '252', '66', '903', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '958', '937', '230', '403']
1 ['920', '355', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '568', '480', '562', '497', '591', '561', '321', '454', '829', '523', '275', '439', '349', '683', '414', '289', '361', '655', '337', '751', '433', '639', '686', '452', '479', '158', '320', '471', '382', '783', '595', '437', '824', '160', '310', '727', '169', '252', '66', '903', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '958', '937', '230', '403', '426']
2 ['920', '355', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '568', '480', '562', '497', '591', '561', '321', '454', '829', '523', '275', '439', '349', '683', '414', '289', '361', '655', '337', '751', '433', '639', '686', '452', '479', '158', '320', '471', '382', '783', '595', '437', '824', '160', '310', '727', '169', '252', '66', '903', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '958', '937', '230', '403', '426']
3 ['920', '355', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '349', '683', '414', '289', '361', '655', '337', '751', '433', '639', '686', '452', '479', '158', '320', '471', '382', '783', '595', '437', '824', '160', '310', '727', '169', '252', '66', '903', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '958', '937', '230', '403', '426', '454', '324']
4 ['920', '355', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '683', '414', '289', '361', '655', '337', '751', '433', '639', '686', '452', '479', '158', '320', '471', '382', '783', '595', '437', '824', '160', '310', '727', '169', '252', '66', '903', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '958', '937', '230', '403', '426', '454', '324', '688']
5 ['920', '355', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '683', '289', '361', '655', '337', '751', '433', '639', '686', '452', '479', '158', '320', '471', '382', '783', '595', '437', '824', '160', '310', '727', '169', '252', '66', '903', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '958', '937', '230', '403', '426', '454', '324', '688', '340']
6 ['920', '355', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '683', '289', '361', '337', '751', '433', '639', '686', '452', '479', '158', '320', '471', '382', '783', '595', '437', '824', '160', '310', '727', '169', '252', '66', '903', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '958', '937', '230', '403', '426', '454', '324', '688', '340', '83']
7 ['920', '355', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '683', '289', '361', '337', '751', '433', '686', '452', '479', '158', '320', '471', '382', '783', '595', '437', '824', '160', '310', '727', '169', '252', '66', '903', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '958', '937', '230', '403', '426', '454', '324', '688', '340', '83', '976']
8 ['920', '355', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '683', '289', '361', '337', '751', '433', '686', '452', '479', '158', '320', '471', '382', '783', '595', '437', '824', '160', '310', '169', '252', '66', '903', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '958', '937', '230', '403', '426', '454', '324', '688', '340', '83', '976', '442']
9 ['920', '355', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '683', '289', '361', '337', '751', '433', '686', '452', '479', '158', '320', '471', '382', '783', '595', '437', '824', '160', '310', '169', '252', '66', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '958', '937', '230', '403', '426', '454', '324', '688', '340', '83', '976', '442', '51']
10 ['920', '355', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '289', '361', '337', '751', '433', '686', '452', '479', '158', '320', '471', '382', '783', '595', '437', '824', '160', '310', '169', '252', '66', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '958', '937', '230', '403', '426', '454', '324', '688', '340', '83', '976', '442', '51', '574']
11 ['920', '355', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '289', '361', '337', '751', '433', '686', '452', '479', '158', '320', '471', '382', '783', '595', '437', '824', '160', '310', '169', '252', '66', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '937', '230', '403', '426', '454', '324', '688', '340', '83', '976', '442', '51', '574', '31']
12 ['920', '355', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '289', '361', '337', '751', '433', '686', '452', '479', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '252', '66', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '937', '230', '403', '426', '454', '324', '688', '340', '83', '976', '442', '51', '574', '31', '527']
13 ['920', '355', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '289', '361', '337', '751', '433', '686', '452', '479', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '252', '66', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '937', '403', '426', '454', '324', '688', '340', '83', '976', '442', '51', '574', '31', '527', '768']
14 ['920', '355', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '289', '361', '337', '751', '433', '686', '452', '479', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '252', '66', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '937', '403', '426', '324', '688', '340', '83', '976', '442', '51', '574', '31', '527', '768', '277']
15 ['920', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '289', '361', '337', '751', '433', '686', '452', '479', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '252', '66', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '937', '403', '426', '324', '688', '340', '83', '976', '442', '51', '574', '31', '527', '768', '277', '785']
16 ['920', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '289', '361', '337', '751', '433', '686', '452', '479', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '252', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '937', '403', '426', '324', '688', '340', '83', '976', '442', '51', '574', '31', '527', '768', '277', '785', '837']
17 ['920', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '289', '361', '337', '751', '433', '686', '452', '479', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '252', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '937', '403', '426', '688', '340', '83', '976', '442', '51', '574', '31', '527', '768', '277', '785', '837', '635']
18 ['920', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '289', '361', '337', '751', '433', '686', '452', '479', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '252', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '937', '403', '426', '688', '83', '976', '442', '51', '574', '31', '527', '768', '277', '785', '837', '635', '982']
19 ['920', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '289', '361', '337', '751', '433', '686', '452', '479', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '252', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '937', '403', '426', '688', '83', '976', '442', '51', '574', '31', '527', '768', '277', '785', '837', '635', '982']
20 ['920', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '361', '337', '751', '433', '686', '452', '479', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '252', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '937', '403', '426', '688', '83', '976', '442', '51', '574', '31', '527', '277', '785', '837', '635', '982', '768', '4']
21 ['920', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '361', '337', '751', '433', '686', '452', '479', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '252', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '785', '837', '635', '982', '768', '4', '219']
22 ['920', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '361', '337', '751', '433', '686', '452', '479', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '252', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186']
23 ['920', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '479', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '252', '885', '765', '367', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444']
24 ['920', '322', '460', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '479', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '252', '885', '765', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447']
25 ['920', '322', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '973', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '479', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '252', '885', '765', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225']
26 ['920', '322', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '479', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '252', '885', '765', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271']
27 ['920', '322', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '306', '480', '562', '497', '591', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '479', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '252', '885', '765', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271']
28 ['920', '322', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '479', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '252', '885', '765', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343']
29 ['920', '322', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '479', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847']
30 ['920', '322', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '479', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '338', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847']
31 ['920', '322', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '479', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847', '331']
32 ['920', '322', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847', '331', '620']
33 ['920', '322', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847', '331', '620']
34 ['920', '322', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847', '331', '620']
35 ['920', '322', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847', '331', '620']
36 ['920', '322', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847', '331', '620']
37 ['920', '322', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847', '331', '620']
38 ['920', '322', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847', '331', '620']
39 ['920', '322', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847', '331', '620']
40 ['920', '322', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847', '331', '620']
41 ['920', '322', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847', '331', '620']
42 ['920', '322', '507', '181', '388', '17', '794', '853', '534', '816', '508', '436', '720', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847', '331', '620']
53 ['507', '17', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847', '331', '620', '822', '474', '459', '862', '772', '739', '143', '175', '714', '588', '521']
54 ['507', '17', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847', '331', '620', '822', '474', '459', '862', '772', '739', '143', '175', '714', '588', '521']
55 ['507', '17', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847', '331', '620', '822', '474', '459', '862', '772', '739', '143', '175', '714', '588', '521']
56 ['507', '17', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847', '331', '620', '822', '474', '459', '862', '772', '739', '143', '175', '714', '588', '521']
57 ['507', '17', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847', '331', '620', '822', '474', '459', '862', '772', '739', '143', '175', '714', '588', '521']
58 ['507', '17', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847', '331', '620', '822', '474', '459', '862', '772', '739', '143', '175', '714', '588', '521']
59 ['507', '17', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847', '331', '620', '822', '474', '459', '862', '772', '739', '143', '175', '714', '588', '521']
60 ['507', '17', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847', '331', '620', '822', '474', '459', '862', '772', '739', '143', '175', '714', '588', '521']
61 ['507', '17', '306', '480', '562', '497', '561', '321', '829', '523', '275', '439', '361', '337', '751', '686', '452', '158', '320', '471', '382', '783', '437', '824', '160', '310', '169', '885', '765', '172', '957', '264', '13', '658', '16', '851', '961', '21', '937', '403', '426', '688', '976', '442', '51', '574', '31', '527', '277', '837', '635', '982', '768', '4', '219', '186', '444', '447', '225', '271', '343', '847', '331', '620', '822', '474', '459', '862', '772', '739', '143', '175', '714', '588', '521']
