0 ['451', '183', '223', '276', '745', '891', '733', '146', '239', '871', '449', '14', '397', '487', '335', '437', '991', '787', '681', '847', '705', '880', '842', '804', '275', '197', '676', '344', '205', '520', '970', '529', '208', '821', '593', '483', '56', '447', '334', '926', '562', '120', '472', '489', '664', '400', '232', '243', '301', '826', '233', '326', '940', '858', '827', '883', '965', '601', '9', '396', '253', '872', '6', '220', '273', '78', '199', '531', '644', '77', '881', '917', '714', '272', '90']
1 ['451', '183', '223', '276', '745', '891', '733', '146', '239', '871', '449', '14', '487', '335', '437', '991', '787', '681', '847', '705', '880', '842', '804', '275', '197', '676', '344', '205', '520', '970', '529', '208', '821', '593', '483', '56', '447', '334', '926', '562', '120', '472', '489', '664', '400', '232', '243', '301', '826', '233', '326', '940', '858', '827', '883', '965', '601', '9', '396', '253', '872', '6', '220', '273', '78', '199', '531', '644', '77', '881', '917', '714', '272', '90', '89']
2 ['451', '183', '223', '276', '745', '891', '733', '146', '239', '871', '449', '14', '487', '335', '437', '991', '787', '681', '847', '705', '880', '842', '804', '275', '197', '676', '344', '205', '520', '970', '529', '208', '821', '593', '483', '56', '447', '334', '926', '562', '120', '472', '489', '664', '400', '232', '243', '301', '826', '326', '940', '858', '827', '883', '965', '601', '9', '396', '253', '872', '6', '220', '273', '78', '199', '531', '644', '77', '881', '917', '714', '272', '90', '89', '390']
3 ['451', '183', '223', '276', '745', '891', '733', '146', '239', '871', '449', '14', '487', '335', '437', '991', '787', '681', '847', '705', '880', '842', '804', '275', '197', '676', '344', '205', '520', '970', '529', '208', '821', '593', '483', '56', '447', '334', '926', '562', '120', '472', '489', '664', '400', '232', '243', '301', '826', '326', '940', '858', '827', '883', '965', '601', '9', '396', '253', '872', '6', '220', '273', '78', '199', '531', '644', '77', '881', '917', '714', '90', '89', '390', '655']
4 ['451', '183', '223', '276', '745', '891', '733', '146', '239', '871', '449', '14', '487', '335', '437', '991', '787', '681', '847', '705', '880', '842', '804', '275', '197', '676', '344', '205', '520', '970', '529', '208', '821', '593', '483', '56', '447', '334', '926', '562', '120', '472', '489', '664', '400', '232', '243', '301', '826', '326', '940', '858', '827', '883', '965', '601', '9', '396', '253', '872', '6', '220', '273', '78', '199', '531', '644', '77', '881', '917', '714', '90', '89', '390', '655']
5 ['451', '183', '223', '276', '745', '891', '733', '146', '239', '449', '14', '487', '335', '437', '991', '787', '681', '847', '705', '880', '842', '804', '275', '197', '676', '344', '205', '520', '970', '529', '208', '821', '593', '483', '56', '447', '334', '926', '562', '120', '472', '489', '664', '400', '232', '243', '301', '826', '326', '940', '858', '827', '883', '965', '601', '9', '396', '253', '872', '6', '220', '273', '78', '199', '531', '644', '77', '881', '917', '714', '90', '89', '390', '655', '819']
6 ['451', '183', '223', '276', '745', '891', '733', '146', '239', '449', '14', '487', '335', '437', '991', '787', '681', '847', '705', '880', '842', '804', '275', '676', '344', '205', '520', '970', '529', '208', '821', '593', '483', '56', '447', '334', '926', '562', '120', '472', '489', '664', '400', '232', '243', '301', '826', '326', '940', '858', '827', '883', '965', '601', '9', '396', '253', '872', '6', '220', '273', '78', '199', '531', '644', '77', '881', '917', '714', '90', '89', '390', '655', '819', '954']
7 ['451', '183', '223', '276', '745', '891', '733', '146', '239', '449', '14', '487', '335', '437', '991', '787', '681', '847', '880', '842', '804', '275', '676', '344', '205', '520', '970', '529', '208', '821', '593', '483', '56', '447', '334', '926', '562', '120', '472', '489', '664', '400', '232', '243', '301', '826', '326', '940', '858', '827', '883', '965', '601', '9', '396', '253', '872', '6', '220', '273', '78', '199', '531', '644', '77', '881', '917', '714', '90', '89', '390', '655', '819', '954', '465']
8 ['451', '183', '223', '276', '745', '891', '733', '146', '239', '449', '14', '487', '335', '437', '991', '787', '681', '847', '880', '842', '804', '275', '676', '344', '205', '520', '970', '529', '208', '821', '593', '483', '56', '334', '926', '562', '120', '472', '489', '664', '400', '232', '243', '301', '826', '326', '940', '858', '827', '883', '965', '601', '9', '396', '253', '872', '6', '220', '273', '78', '199', '531', '644', '77', '881', '917', '714', '90', '89', '390', '655', '819', '954', '465', '2']
9 ['451', '183', '223', '276', '745', '891', '733', '146', '239', '449', '14', '487', '335', '437', '991', '787', '681', '847', '880', '842', '804', '275', '676', '344', '205', '520', '970', '529', '208', '821', '593', '483', '56', '334', '926', '562', '120', '472', '489', '664', '400', '232', '243', '301', '826', '326', '940', '858', '827', '883', '965', '601', '9', '396', '253', '872', '6', '220', '273', '78', '199', '531', '644', '77', '881', '917', '714', '90', '89', '390', '655', '819', '954', '465', '2']
10 ['451', '183', '223', '276', '745', '891', '733', '146', '239', '449', '14', '487', '335', '437', '991', '787', '681', '847', '880', '842', '804', '275', '676', '344', '205', '520', '970', '529', '208', '821', '593', '483', '56', '334', '926', '562', '120', '472', '489', '664', '400', '232', '243', '301', '826', '326', '940', '858', '827', '883', '965', '601', '9', '253', '872', '6', '220', '273', '78', '199', '531', '644', '77', '881', '917', '714', '90', '89', '390', '655', '819', '954', '465', '2', '378']
