0 ['3', '73', '346', '476', '492', '226', '57', '223', '327', '22', '37', '44', '377', '326', '230', '116', '484', '197', '316', '82', '262', '16', '317', '256', '284', '87', '357', '453', '474', '64', '335', '194', '175', '151', '34', '166', '439', '138', '177', '193', '28', '107', '499', '62', '432', '395', '86', '311', '180', '66', '133', '152', '63', '423', '371', '89', '495', '259', '113', '299', '231', '355', '348', '137', '190', '261', '308', '351', '404', '271', '365', '75', '24', '143', '168', '206', '119', '30', '170', '340', '142', '298', '319', '54', '129', '227', '426', '363', '283', '18', '93', '199', '343', '334', '92', '420', '53', '10', '279', '375', '461', '100', '494', '244', '458', '246', '254', '68', '70', '81']
1 ['3', '73', '346', '476', '492', '57', '223', '327', '22', '37', '44', '377', '326', '230', '116', '484', '197', '316', '82', '262', '16', '317', '256', '284', '87', '357', '453', '474', '64', '335', '194', '175', '151', '34', '166', '439', '138', '177', '193', '28', '107', '499', '62', '432', '395', '86', '311', '180', '66', '133', '152', '63', '423', '371', '89', '495', '259', '113', '299', '231', '355', '348', '137', '190', '261', '308', '351', '404', '271', '365', '75', '24', '143', '168', '206', '119', '30', '170', '340', '142', '298', '319', '54', '129', '227', '426', '363', '283', '18', '93', '199', '343', '334', '92', '420', '53', '10', '279', '375', '461', '100', '494', '244', '458', '246', '254', '68', '70', '81', '356']
2 ['3', '73', '346', '476', '57', '223', '327', '22', '37', '44', '377', '326', '230', '116', '484', '197', '316', '82', '262', '16', '317', '256', '284', '87', '357', '453', '474', '64', '335', '194', '175', '151', '34', '166', '439', '138', '177', '193', '28', '107', '499', '62', '432', '395', '86', '311', '180', '66', '133', '152', '63', '423', '371', '89', '495', '259', '113', '299', '231', '355', '348', '137', '190', '261', '308', '351', '404', '271', '365', '75', '24', '143', '168', '206', '119', '30', '170', '340', '142', '298', '319', '54', '129', '227', '426', '363', '283', '18', '93', '199', '343', '334', '92', '420', '53', '10', '279', '375', '461', '100', '494', '244', '458', '246', '254', '68', '70', '81', '356', '140']
3 ['3', '73', '346', '476', '57', '223', '327', '22', '37', '44', '377', '326', '230', '116', '484', '197', '316', '82', '262', '16', '317', '256', '284', '87', '357', '453', '474', '64', '335', '194', '175', '151', '34', '166', '439', '138', '177', '193', '28', '107', '499', '62', '432', '395', '86', '311', '180', '66', '133', '152', '63', '423', '371', '89', '495', '259', '113', '299', '231', '355', '348', '137', '190', '261', '308', '351', '404', '271', '365', '75', '24', '143', '168', '206', '119', '30', '170', '340', '142', '298', '319', '54', '129', '227', '426', '363', '283', '18', '93', '199', '343', '334', '92', '420', '53', '10', '279', '375', '461', '100', '494', '244', '458', '246', '254', '68', '70', '81', '356', '140']
4 ['3', '73', '346', '476', '57', '223', '327', '22', '37', '44', '377', '326', '230', '116', '484', '197', '316', '82', '262', '16', '317', '284', '87', '357', '453', '474', '335', '194', '175', '151', '34', '166', '439', '138', '177', '193', '28', '107', '499', '62', '432', '395', '86', '311', '180', '66', '133', '152', '63', '423', '371', '89', '495', '259', '113', '299', '231', '355', '348', '137', '190', '261', '308', '351', '404', '271', '365', '75', '24', '143', '168', '206', '119', '30', '170', '340', '142', '298', '319', '54', '129', '227', '426', '363', '283', '18', '93', '199', '343', '334', '92', '420', '53', '10', '279', '375', '461', '100', '494', '244', '458', '246', '254', '68', '70', '81', '356', '140', '259', '257']
5 ['3', '73', '346', '476', '57', '223', '327', '22', '37', '44', '377', '326', '230', '116', '484', '197', '316', '82', '262', '16', '317', '284', '87', '357', '453', '474', '335', '194', '175', '151', '34', '166', '439', '138', '177', '193', '28', '107', '499', '62', '432', '395', '86', '180', '66', '133', '152', '63', '423', '371', '89', '495', '259', '113', '299', '231', '355', '348', '137', '190', '261', '308', '351', '404', '271', '365', '75', '24', '143', '168', '206', '119', '30', '170', '340', '142', '298', '319', '54', '129', '227', '426', '363', '283', '18', '93', '199', '343', '334', '92', '420', '53', '10', '279', '375', '461', '100', '494', '244', '458', '246', '254', '68', '70', '81', '356', '140', '259', '257', '187']
6 ['3', '73', '346', '476', '57', '223', '327', '22', '37', '44', '377', '326', '230', '116', '484', '197', '316', '82', '262', '16', '317', '284', '87', '357', '453', '474', '335', '194', '175', '151', '34', '166', '439', '138', '177', '193', '28', '107', '499', '62', '432', '395', '86', '180', '66', '133', '152', '63', '423', '371', '89', '495', '113', '299', '231', '355', '348', '137', '190', '261', '308', '351', '404', '271', '365', '75', '24', '143', '168', '206', '119', '30', '170', '340', '142', '298', '319', '54', '129', '227', '426', '363', '283', '18', '93', '199', '343', '334', '92', '420', '53', '10', '279', '375', '461', '100', '494', '244', '458', '246', '254', '68', '70', '81', '356', '140', '259', '257', '187', '217']
7 ['3', '73', '346', '476', '57', '223', '327', '22', '37', '44', '377', '326', '230', '116', '484', '197', '316', '82', '262', '16', '317', '284', '87', '357', '453', '474', '335', '194', '175', '151', '34', '166', '439', '138', '177', '193', '28', '107', '499', '62', '432', '395', '86', '180', '66', '133', '152', '63', '423', '371', '89', '495', '299', '231', '355', '348', '137', '190', '261', '308', '351', '404', '271', '365', '75', '24', '143', '168', '206', '119', '30', '170', '340', '142', '298', '319', '54', '129', '227', '426', '363', '283', '18', '93', '199', '343', '334', '92', '420', '53', '10', '279', '375', '461', '100', '494', '244', '458', '246', '254', '68', '70', '81', '356', '140', '259', '257', '187', '217', '393']
8 ['3', '73', '346', '476', '57', '223', '327', '22', '37', '44', '377', '326', '230', '116', '484', '197', '316', '82', '262', '16', '317', '284', '87', '357', '453', '474', '335', '194', '175', '151', '34', '166', '439', '138', '177', '193', '28', '107', '499', '62', '432', '395', '86', '180', '66', '133', '152', '63', '423', '371', '89', '495', '299', '231', '355', '348', '137', '261', '308', '351', '404', '271', '365', '75', '24', '143', '168', '206', '119', '30', '170', '340', '142', '298', '319', '54', '129', '227', '426', '363', '283', '18', '93', '199', '343', '334', '92', '420', '53', '10', '279', '375', '461', '100', '494', '244', '458', '246', '254', '68', '70', '81', '356', '140', '259', '257', '187', '217', '393', '483']
9 ['3', '73', '346', '476', '57', '223', '327', '22', '37', '44', '377', '326', '230', '116', '484', '197', '316', '82', '262', '16', '317', '284', '87', '357', '453', '474', '335', '194', '175', '151', '34', '166', '439', '138', '177', '193', '28', '107', '499', '62', '432', '395', '86', '180', '66', '133', '152', '63', '423', '371', '89', '495', '299', '231', '355', '348', '137', '261', '308', '351', '404', '271', '365', '75', '24', '143', '168', '206', '119', '30', '170', '340', '142', '298', '319', '54', '129', '227', '426', '363', '283', '18', '93', '199', '343', '334', '92', '420', '53', '10', '279', '375', '461', '100', '494', '244', '458', '246', '254', '68', '70', '81', '356', '140', '259', '257', '187', '217', '393', '483']
10 ['3', '73', '346', '476', '57', '223', '327', '22', '37', '44', '377', '326', '230', '116', '484', '197', '316', '82', '262', '16', '317', '284', '87', '357', '453', '474', '335', '194', '175', '151', '34', '166', '439', '138', '177', '193', '28', '107', '499', '62', '432', '395', '86', '180', '66', '133', '152', '63', '423', '371', '89', '495', '231', '355', '348', '137', '261', '308', '404', '271', '365', '75', '24', '143', '168', '206', '119', '30', '170', '340', '142', '298', '319', '54', '129', '227', '426', '363', '283', '18', '93', '199', '343', '334', '92', '420', '53', '10', '279', '375', '461', '100', '494', '244', '458', '246', '254', '68', '70', '81', '356', '140', '259', '257', '187', '217', '393', '483', '299', '276']
