0 ['189', '491', '409', '42', '94', '188', '112', '277', '237', '283', '71', '464', '324', '135', '233', '80', '12', '149', '436', '359', '165', '414', '175', '456', '400', '391', '440', '227', '398', '124', '67', '37', '327', '154', '70', '205', '372', '433', '490', '362', '334', '495', '211', '321', '30', '428', '164', '435', '11', '411', '29', '425', '180', '61', '256', '441', '289', '155', '363', '382', '193', '361', '148', '342', '81', '385', '241', '314', '88', '56', '232', '66', '328', '7', '52', '377', '332', '57', '333', '92', '389', '371', '475', '419', '173', '58', '140', '455', '260', '335', '74', '258', '72', '60', '257', '167', '91', '45', '243', '255', '347', '339', '345', '364', '170', '368', '156', '353', '458', '352']
1 ['189', '491', '409', '42', '94', '188', '112', '277', '237', '283', '71', '464', '324', '135', '233', '80', '12', '149', '436', '359', '165', '414', '175', '456', '400', '391', '440', '227', '398', '124', '67', '37', '327', '154', '70', '205', '372', '433', '490', '362', '334', '495', '211', '321', '30', '428', '164', '435', '11', '411', '29', '425', '180', '61', '256', '441', '289', '155', '363', '382', '193', '361', '148', '342', '81', '385', '241', '314', '88', '56', '232', '66', '328', '7', '52', '377', '332', '57', '333', '92', '389', '371', '475', '419', '173', '58', '140', '455', '260', '335', '74', '258', '72', '60', '257', '167', '91', '45', '243', '255', '347', '339', '345', '364', '170', '368', '156', '353', '458', '352']
2 ['189', '491', '409', '42', '94', '188', '112', '277', '237', '283', '71', '464', '324', '135', '233', '80', '12', '149', '359', '165', '414', '175', '400', '391', '440', '227', '398', '124', '67', '37', '327', '154', '70', '205', '372', '433', '490', '362', '334', '495', '211', '321', '30', '428', '164', '435', '11', '411', '29', '425', '180', '61', '256', '441', '289', '155', '363', '382', '193', '361', '148', '342', '81', '385', '241', '314', '88', '56', '232', '66', '328', '7', '52', '377', '332', '57', '333', '92', '389', '371', '475', '419', '173', '58', '140', '455', '260', '335', '74', '258', '72', '60', '257', '167', '91', '45', '243', '255', '347', '339', '345', '364', '170', '368', '156', '353', '458', '352', '330', '2']
3 ['189', '491', '409', '42', '94', '188', '112', '277', '237', '283', '71', '464', '324', '135', '233', '80', '12', '149', '359', '165', '414', '175', '400', '391', '440', '227', '398', '124', '67', '37', '327', '154', '70', '205', '433', '490', '362', '334', '495', '211', '321', '30', '428', '164', '435', '11', '411', '29', '425', '180', '61', '256', '441', '289', '155', '363', '382', '193', '361', '148', '342', '81', '385', '241', '314', '88', '56', '232', '66', '328', '7', '52', '377', '332', '57', '333', '92', '389', '371', '475', '419', '173', '58', '140', '455', '260', '335', '74', '258', '72', '60', '257', '167', '91', '45', '243', '255', '347', '339', '345', '364', '170', '368', '156', '353', '458', '352', '330', '2', '489']
4 ['189', '491', '409', '42', '94', '188', '112', '277', '237', '283', '71', '464', '324', '135', '233', '80', '12', '149', '359', '165', '414', '175', '400', '391', '440', '227', '398', '124', '67', '37', '327', '154', '70', '205', '433', '490', '362', '334', '495', '211', '321', '30', '428', '164', '435', '11', '411', '29', '425', '180', '61', '256', '441', '289', '155', '363', '382', '193', '361', '148', '342', '81', '385', '241', '314', '88', '56', '232', '66', '328', '7', '52', '377', '332', '57', '333', '92', '389', '371', '475', '419', '173', '58', '140', '455', '260', '335', '74', '258', '72', '60', '257', '167', '91', '45', '243', '255', '347', '339', '345', '364', '170', '368', '156', '353', '458', '352', '330', '2', '489']
5 ['189', '491', '409', '42', '94', '188', '112', '277', '237', '283', '71', '464', '324', '135', '233', '80', '12', '149', '359', '165', '414', '175', '400', '391', '440', '227', '398', '124', '67', '37', '327', '154', '70', '205', '490', '362', '334', '495', '211', '321', '30', '428', '164', '11', '411', '29', '425', '180', '61', '256', '441', '289', '155', '363', '382', '193', '361', '148', '342', '81', '385', '241', '314', '88', '56', '232', '66', '328', '7', '52', '377', '332', '57', '333', '92', '389', '371', '475', '419', '173', '58', '140', '455', '260', '335', '74', '258', '72', '60', '257', '167', '91', '45', '243', '255', '347', '339', '345', '364', '170', '368', '156', '353', '458', '352', '330', '2', '489', '441', '13']
6 ['189', '491', '409', '42', '94', '188', '112', '277', '237', '283', '71', '464', '324', '135', '233', '80', '12', '149', '359', '165', '414', '175', '400', '391', '440', '227', '398', '124', '67', '37', '327', '154', '70', '205', '490', '362', '334', '495', '211', '321', '30', '428', '164', '11', '411', '29', '425', '180', '61', '256', '289', '155', '363', '382', '193', '361', '148', '342', '81', '385', '241', '314', '88', '56', '232', '66', '328', '7', '52', '377', '332', '57', '333', '92', '389', '371', '475', '419', '173', '58', '140', '455', '260', '335', '74', '258', '72', '60', '257', '167', '91', '45', '243', '255', '347', '339', '345', '364', '170', '368', '156', '353', '458', '352', '330', '2', '489', '441', '13', '137']
7 ['189', '491', '409', '42', '94', '188', '112', '277', '237', '283', '71', '464', '324', '135', '233', '80', '12', '149', '359', '165', '414', '175', '400', '391', '440', '227', '398', '124', '67', '37', '327', '154', '70', '205', '490', '362', '334', '495', '211', '321', '30', '428', '164', '11', '411', '29', '425', '180', '61', '256', '289', '155', '382', '193', '361', '148', '342', '81', '385', '241', '314', '88', '56', '232', '66', '328', '7', '52', '377', '332', '57', '333', '92', '389', '371', '475', '419', '173', '58', '140', '455', '260', '335', '74', '258', '72', '60', '257', '167', '91', '45', '243', '255', '347', '339', '345', '364', '170', '368', '156', '353', '458', '352', '330', '2', '489', '441', '13', '137', '323']
8 ['189', '491', '409', '42', '94', '188', '112', '277', '237', '283', '71', '464', '324', '135', '233', '80', '12', '149', '359', '165', '414', '175', '400', '391', '440', '227', '398', '124', '67', '37', '327', '154', '70', '205', '490', '362', '334', '495', '211', '321', '30', '428', '164', '11', '411', '29', '425', '180', '61', '256', '289', '155', '382', '193', '361', '148', '342', '81', '385', '241', '314', '88', '56', '232', '66', '328', '7', '52', '377', '332', '57', '333', '92', '389', '371', '475', '419', '173', '58', '140', '455', '260', '335', '74', '258', '72', '60', '257', '167', '91', '45', '243', '255', '347', '339', '345', '364', '170', '368', '156', '353', '458', '352', '330', '2', '489', '441', '13', '137', '323']
9 ['189', '491', '409', '42', '94', '188', '112', '277', '237', '283', '71', '464', '324', '135', '233', '80', '12', '149', '359', '165', '414', '175', '400', '391', '440', '227', '398', '124', '67', '37', '327', '154', '70', '205', '490', '362', '334', '495', '211', '321', '30', '428', '164', '11', '411', '29', '425', '180', '61', '256', '289', '155', '382', '193', '361', '148', '342', '81', '385', '241', '314', '88', '56', '232', '66', '328', '7', '52', '377', '332', '57', '333', '92', '389', '371', '475', '419', '173', '58', '140', '455', '260', '335', '74', '258', '72', '60', '257', '167', '91', '45', '243', '255', '347', '339', '345', '364', '170', '368', '156', '353', '458', '352', '330', '2', '489', '441', '13', '137', '323']
10 ['189', '491', '409', '42', '94', '188', '112', '277', '237', '283', '71', '464', '324', '135', '233', '80', '12', '149', '359', '165', '414', '175', '400', '391', '440', '227', '398', '124', '67', '37', '327', '154', '70', '205', '490', '362', '334', '495', '211', '321', '30', '428', '164', '11', '411', '29', '425', '180', '61', '256', '289', '155', '382', '193', '361', '148', '342', '81', '385', '241', '314', '88', '56', '232', '66', '328', '7', '52', '377', '332', '57', '333', '92', '389', '371', '475', '419', '173', '58', '140', '455', '260', '335', '74', '258', '72', '60', '257', '167', '91', '45', '243', '255', '347', '339', '345', '364', '170', '368', '156', '353', '458', '352', '330', '2', '489', '441', '13', '137', '323']
