0 ['379', '237', '200', '91', '358', '48', '229', '139', '6', '419', '346', '483', '89', '444', '27', '242', '405', '49', '32', '37', '327', '286', '486', '259', '114', '481', '46', '87', '426', '106', '132', '463', '185', '311', '24', '359', '11', '78', '100', '95', '392', '428', '2', '105', '107', '207', '174', '199', '402', '128', '369', '280', '376', '452', '166', '223', '320', '118', '329', '297', '33', '74', '342', '43', '389', '25', '156', '289', '155', '457', '243', '125', '165', '168', '116', '235', '112', '261', '19', '269', '403', '370', '468', '313', '210', '64', '209', '15', '264', '420', '339', '441', '190', '485', '115', '153', '13', '195', '375', '295', '350', '360', '340', '492', '490', '150', '188', '134', '47', '410']
1 ['379', '237', '200', '91', '358', '48', '229', '139', '6', '419', '346', '483', '89', '444', '27', '242', '405', '49', '32', '37', '327', '286', '486', '259', '114', '481', '46', '87', '426', '106', '132', '463', '185', '311', '24', '359', '11', '78', '100', '95', '392', '428', '2', '105', '107', '207', '174', '199', '402', '128', '369', '280', '376', '452', '166', '223', '320', '118', '329', '297', '33', '74', '342', '43', '389', '25', '156', '289', '155', '457', '243', '125', '165', '168', '116', '235', '112', '261', '19', '269', '403', '370', '468', '313', '210', '64', '209', '15', '264', '420', '339', '441', '190', '485', '115', '153', '13', '195', '375', '295', '350', '360', '340', '492', '490', '150', '188', '134', '47', '410']
2 ['237', '200', '91', '358', '48', '229', '139', '6', '419', '346', '483', '89', '444', '27', '242', '405', '49', '32', '37', '327', '286', '259', '114', '481', '46', '87', '426', '106', '132', '463', '185', '311', '24', '359', '11', '78', '100', '95', '428', '2', '105', '107', '207', '174', '199', '402', '128', '369', '280', '376', '452', '166', '223', '320', '118', '329', '297', '33', '74', '342', '43', '389', '25', '156', '289', '155', '457', '243', '125', '165', '168', '116', '235', '112', '261', '19', '269', '403', '370', '468', '313', '210', '64', '209', '15', '264', '420', '339', '441', '190', '485', '115', '153', '13', '195', '375', '295', '350', '360', '340', '492', '490', '150', '188', '134', '47', '410', '376', '47', '454']
3 ['237', '200', '91', '358', '48', '229', '139', '6', '419', '346', '483', '89', '444', '27', '242', '405', '49', '32', '37', '327', '286', '259', '114', '481', '46', '87', '426', '106', '132', '463', '185', '311', '24', '359', '11', '78', '100', '95', '428', '2', '105', '107', '207', '174', '402', '128', '369', '280', '376', '452', '166', '223', '320', '118', '329', '297', '33', '74', '342', '43', '389', '25', '156', '289', '155', '457', '243', '125', '165', '168', '116', '235', '112', '261', '19', '269', '403', '370', '468', '313', '210', '64', '209', '15', '264', '420', '339', '441', '190', '485', '115', '153', '13', '195', '375', '295', '350', '360', '340', '492', '490', '150', '188', '134', '47', '410', '376', '47', '454', '390']
4 ['237', '200', '91', '358', '48', '229', '139', '6', '419', '346', '483', '89', '444', '27', '242', '405', '49', '32', '37', '327', '286', '259', '114', '481', '46', '87', '426', '106', '132', '463', '185', '311', '24', '359', '11', '78', '100', '95', '428', '2', '105', '107', '207', '174', '402', '128', '369', '280', '376', '452', '166', '223', '320', '118', '329', '297', '33', '74', '342', '43', '389', '25', '156', '289', '155', '457', '243', '125', '165', '168', '116', '235', '112', '261', '19', '269', '403', '370', '468', '313', '210', '64', '209', '15', '264', '420', '339', '441', '190', '485', '115', '153', '13', '195', '375', '295', '350', '360', '340', '492', '490', '150', '188', '134', '47', '410', '376', '47', '454', '390']
5 ['237', '200', '91', '358', '48', '229', '139', '6', '419', '346', '483', '89', '444', '27', '242', '405', '49', '32', '37', '327', '286', '259', '114', '481', '46', '87', '426', '106', '132', '463', '185', '311', '24', '359', '11', '78', '100', '95', '428', '2', '105', '107', '207', '174', '402', '128', '369', '280', '452', '166', '223', '320', '118', '329', '297', '33', '74', '342', '43', '389', '25', '156', '289', '155', '457', '243', '125', '165', '168', '116', '235', '112', '261', '19', '269', '403', '468', '313', '210', '64', '209', '15', '264', '420', '339', '441', '190', '485', '115', '153', '13', '195', '375', '295', '350', '360', '340', '492', '490', '150', '188', '134', '47', '410', '376', '47', '454', '390', '482', '411']
6 ['237', '200', '91', '358', '48', '229', '139', '6', '419', '346', '483', '89', '444', '27', '242', '405', '49', '32', '37', '327', '286', '259', '114', '481', '46', '87', '426', '106', '132', '463', '185', '311', '24', '359', '11', '78', '100', '95', '428', '2', '105', '107', '207', '174', '402', '128', '369', '280', '452', '166', '223', '320', '118', '329', '297', '33', '74', '342', '43', '389', '25', '156', '289', '155', '457', '243', '125', '165', '168', '116', '235', '112', '261', '19', '269', '403', '468', '313', '210', '64', '209', '15', '264', '420', '339', '441', '190', '485', '115', '153', '13', '195', '375', '295', '350', '360', '340', '492', '490', '150', '188', '134', '47', '410', '376', '47', '454', '390', '482', '411']
7 ['237', '91', '358', '48', '229', '139', '6', '419', '346', '483', '89', '444', '27', '242', '405', '49', '32', '37', '327', '286', '259', '114', '481', '46', '87', '426', '106', '132', '463', '185', '311', '24', '359', '11', '78', '100', '95', '428', '2', '105', '107', '207', '174', '402', '128', '369', '280', '452', '166', '223', '320', '118', '329', '297', '33', '74', '342', '43', '389', '25', '156', '289', '155', '457', '243', '125', '165', '168', '116', '235', '112', '261', '19', '269', '403', '468', '313', '210', '64', '209', '15', '420', '339', '441', '190', '485', '115', '153', '13', '195', '375', '295', '350', '360', '340', '492', '490', '150', '188', '134', '47', '410', '376', '47', '454', '390', '482', '411', '200', '103']
8 ['237', '91', '358', '48', '229', '139', '6', '419', '346', '483', '89', '444', '27', '242', '405', '49', '32', '37', '327', '286', '259', '114', '481', '46', '87', '426', '106', '132', '463', '185', '311', '24', '359', '11', '78', '100', '95', '428', '2', '105', '107', '207', '174', '402', '128', '369', '280', '452', '166', '223', '320', '118', '329', '297', '33', '74', '342', '43', '389', '25', '156', '289', '155', '457', '243', '125', '165', '168', '116', '235', '112', '261', '19', '269', '403', '468', '313', '210', '64', '209', '15', '420', '339', '441', '190', '485', '115', '153', '13', '195', '375', '295', '350', '360', '340', '492', '490', '150', '188', '134', '47', '410', '376', '47', '454', '390', '482', '411', '200', '103']
9 ['237', '91', '358', '48', '229', '139', '6', '419', '346', '483', '89', '444', '27', '242', '405', '49', '32', '37', '327', '286', '259', '114', '481', '46', '87', '426', '106', '132', '463', '185', '311', '24', '359', '11', '78', '100', '95', '428', '2', '105', '107', '207', '174', '402', '128', '369', '280', '452', '166', '223', '320', '118', '329', '297', '33', '74', '342', '43', '389', '25', '156', '289', '155', '457', '243', '125', '165', '168', '116', '235', '112', '261', '19', '269', '403', '468', '313', '210', '64', '209', '15', '420', '339', '441', '190', '485', '115', '153', '13', '195', '350', '360', '340', '492', '490', '150', '188', '134', '47', '410', '376', '47', '454', '390', '482', '411', '200', '103', '134', '184']
10 ['237', '91', '358', '48', '229', '139', '6', '419', '346', '483', '89', '444', '27', '242', '405', '49', '32', '37', '327', '286', '259', '114', '481', '46', '87', '426', '106', '132', '463', '185', '311', '24', '359', '11', '78', '100', '95', '428', '2', '105', '107', '207', '174', '402', '128', '369', '280', '452', '166', '223', '320', '118', '329', '297', '33', '74', '342', '43', '389', '25', '156', '289', '155', '457', '243', '125', '165', '168', '116', '235', '112', '261', '19', '269', '403', '468', '313', '210', '64', '209', '15', '420', '339', '441', '190', '485', '115', '153', '13', '195', '350', '360', '340', '492', '490', '150', '188', '47', '410', '376', '47', '454', '390', '482', '411', '200', '103', '134', '184', '157']
