0 ['246', '165', '229', '250', '146', '55', '193', '207', '204', '43', '77', '133', '25', '28', '76', '224', '90', '163', '155', '178', '129', '53', '215', '184', '226', '8']
1 ['246', '165', '229', '250', '146', '55', '193', '207', '204', '43', '77', '133', '25', '28', '76', '224', '90', '163', '155', '178', '129', '53', '215', '226', '8', '92']
2 ['246', '165', '229', '250', '146', '55', '193', '207', '204', '43', '77', '133', '25', '28', '76', '224', '90', '163', '155', '178', '129', '53', '215', '226', '8', '92']
3 ['246', '165', '229', '250', '146', '55', '193', '204', '43', '133', '25', '28', '76', '224', '90', '163', '155', '178', '129', '53', '215', '226', '8', '92', '206', '34']
4 ['246', '165', '229', '250', '146', '55', '193', '204', '43', '133', '25', '28', '76', '224', '90', '163', '155', '178', '129', '53', '215', '226', '8', '92', '206', '34']
5 ['246', '165', '229', '250', '146', '55', '193', '204', '43', '133', '25', '76', '224', '90', '155', '178', '129', '53', '215', '226', '8', '92', '206', '34', '149', '19']
6 ['246', '165', '229', '250', '146', '55', '193', '204', '43', '133', '25', '76', '224', '90', '155', '178', '129', '53', '215', '226', '8', '92', '206', '34', '19', '87']
7 ['246', '165', '229', '250', '146', '55', '193', '204', '43', '133', '25', '76', '224', '155', '178', '129', '53', '215', '226', '8', '92', '206', '34', '19', '87', '113']
8 ['246', '165', '229', '250', '146', '193', '204', '43', '133', '25', '76', '224', '155', '178', '129', '53', '215', '226', '8', '92', '206', '34', '19', '87', '113', '105']
9 ['246', '165', '229', '250', '146', '193', '204', '43', '133', '25', '76', '224', '155', '178', '129', '53', '215', '226', '8', '92', '206', '34', '19', '87', '113', '105']
10 ['246', '165', '229', '250', '193', '204', '43', '133', '25', '76', '224', '155', '178', '129', '53', '226', '8', '92', '206', '34', '19', '87', '113', '105', '144', '234']
11 ['246', '165', '229', '250', '193', '204', '43', '133', '25', '76', '224', '155', '178', '129', '53', '226', '8', '92', '34', '19', '87', '113', '105', '144', '234', '247']
12 ['246', '165', '229', '250', '193', '204', '43', '133', '25', '76', '224', '155', '178', '129', '53', '226', '8', '92', '34', '19', '87', '113', '105', '144', '234', '247']
13 ['246', '165', '229', '250', '193', '204', '43', '133', '25', '76', '224', '155', '178', '129', '53', '226', '8', '92', '34', '19', '87', '113', '105', '144', '234', '247']
14 ['246', '165', '229', '250', '193', '204', '43', '133', '25', '76', '224', '155', '178', '129', '53', '226', '8', '92', '34', '19', '87', '113', '105', '144', '234', '247']
15 ['246', '165', '229', '250', '193', '204', '43', '133', '25', '76', '224', '155', '178', '129', '53', '226', '8', '92', '34', '19', '87', '113', '105', '144', '234', '247']
16 ['246', '165', '229', '250', '193', '204', '43', '133', '25', '76', '224', '155', '178', '129', '53', '226', '8', '92', '34', '19', '87', '113', '105', '144', '234', '247']
17 ['246', '165', '229', '250', '193', '204', '43', '133', '25', '76', '224', '155', '178', '129', '53', '226', '8', '92', '34', '19', '87', '113', '105', '144', '234', '247']
18 ['246', '229', '250', '193', '204', '43', '133', '76', '224', '178', '129', '53', '226', '8', '92', '34', '19', '87', '113', '105', '144', '234', '247', '164', '159', '238']
19 ['246', '250', '193', '204', '43', '133', '76', '224', '178', '129', '53', '226', '8', '92', '34', '19', '87', '113', '105', '144', '234', '247', '164', '159', '238', '239']
20 ['246', '250', '193', '204', '43', '133', '76', '224', '178', '129', '53', '226', '8', '92', '34', '19', '87', '113', '105', '144', '234', '247', '164', '159', '238', '239']
21 ['246', '250', '193', '204', '43', '133', '76', '224', '178', '129', '53', '226', '8', '92', '34', '19', '87', '113', '105', '144', '234', '247', '164', '159', '238', '239']
22 ['246', '250', '193', '204', '43', '133', '224', '178', '129', '53', '226', '8', '92', '34', '19', '87', '113', '105', '144', '247', '164', '159', '239', '76', '233', '84']
23 ['246', '250', '193', '204', '43', '133', '224', '178', '129', '53', '226', '8', '92', '34', '19', '113', '105', '144', '247', '164', '159', '239', '76', '233', '84', '245']
24 ['246', '250', '193', '204', '43', '133', '224', '178', '129', '53', '226', '8', '92', '34', '19', '113', '105', '144', '247', '164', '159', '239', '76', '233', '84', '245']
25 ['250', '193', '204', '43', '133', '224', '178', '129', '53', '226', '8', '92', '34', '19', '113', '105', '144', '247', '164', '159', '239', '233', '84', '245', '76', '207']
26 ['250', '193', '204', '43', '133', '224', '178', '129', '53', '226', '8', '92', '34', '19', '113', '105', '144', '247', '164', '159', '239', '233', '84', '245', '76', '26']
27 ['250', '193', '204', '43', '133', '224', '178', '129', '53', '226', '8', '92', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '245', '76', '26', '93']
28 ['250', '193', '204', '43', '133', '224', '178', '129', '53', '226', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '245', '76', '26', '93', '121']
29 ['250', '193', '43', '133', '224', '178', '129', '53', '226', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '245', '76', '26', '93', '121', '153']
30 ['250', '193', '43', '133', '224', '178', '129', '53', '226', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '245', '76', '26', '93', '121', '153']
31 ['250', '193', '43', '133', '224', '178', '129', '53', '226', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '245', '76', '26', '93', '121', '153']
32 ['250', '193', '43', '133', '224', '178', '129', '53', '226', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '245', '76', '26', '93', '121', '153']
33 ['250', '193', '43', '133', '224', '178', '129', '53', '226', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '245', '76', '26', '93', '121', '153']
34 ['250', '193', '43', '133', '224', '178', '129', '53', '226', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '245', '76', '26', '93', '121', '153']
35 ['250', '193', '43', '133', '224', '178', '129', '53', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '245', '76', '26', '93', '121', '153', '95']
36 ['250', '193', '43', '133', '224', '178', '129', '53', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '245', '76', '26', '121', '153', '95', '252']
37 ['193', '43', '133', '224', '178', '129', '53', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '245', '76', '26', '121', '153', '95', '252', '254']
38 ['193', '43', '133', '224', '178', '129', '53', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '245', '76', '26', '121', '153', '95', '254', '118']
39 ['193', '43', '133', '224', '178', '129', '53', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '245', '76', '26', '121', '153', '95', '254', '118']
40 ['193', '43', '133', '224', '178', '129', '53', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '153', '95', '254', '118', '218']
41 ['193', '43', '133', '224', '178', '129', '53', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '153', '95', '254', '118', '71']
42 ['193', '43', '133', '224', '178', '129', '53', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '153', '95', '254', '118', '71']
43 ['193', '43', '133', '224', '178', '129', '53', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '153', '95', '254', '118', '71']
44 ['193', '43', '133', '224', '178', '129', '53', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '153', '95', '254', '118', '71']
45 ['193', '43', '133', '224', '178', '129', '53', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '153', '95', '254', '118', '71']
46 ['193', '43', '133', '224', '178', '129', '53', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '153', '95', '254', '118', '71']
47 ['193', '43', '133', '224', '178', '129', '53', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '153', '95', '254', '118', '71']
48 ['193', '43', '133', '224', '178', '129', '53', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '153', '95', '254', '118', '71']
49 ['193', '43', '133', '224', '178', '129', '53', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '153', '95', '254', '118', '71']
50 ['193', '43', '133', '224', '178', '129', '53', '8', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '153', '95', '254', '118', '71']
51 ['193', '43', '133', '224', '53', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '95', '254', '118', '71', '10', '177', '152', '57']
52 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '95', '254', '118', '71', '10', '177', '152', '57', '170']
53 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '95', '254', '118', '71', '10', '177', '152', '57', '170']
54 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '95', '254', '118', '71', '10', '177', '152', '57', '170']
55 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '95', '254', '118', '71', '10', '177', '152', '57', '170']
56 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '95', '254', '118', '71', '10', '177', '152', '57', '170']
57 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '95', '254', '118', '71', '10', '177', '152', '57', '170']
58 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '95', '254', '118', '71', '10', '177', '152', '57', '170']
59 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '95', '254', '118', '71', '10', '177', '152', '57', '170']
60 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '95', '254', '118', '71', '10', '177', '152', '57', '170']
61 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '95', '254', '118', '71', '10', '177', '152', '57', '170']
62 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '164', '159', '239', '84', '76', '26', '121', '95', '254', '118', '71', '10', '177', '152', '57', '170']
73 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '67', '50']
74 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '67', '50']
75 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '50', '155']
76 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '50', '155']
77 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '50', '155']
78 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '50', '155']
79 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '50', '155']
80 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '50', '155']
81 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '50', '155']
82 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '50', '155']
83 ['193', '43', '133', '224', '34', '19', '113', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '50', '155']
84 ['193', '43', '133', '224', '34', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '50', '17', '112', '196']
85 ['193', '43', '133', '224', '34', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '50', '17', '112', '196']
86 ['193', '43', '133', '224', '34', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '50', '17', '112', '196']
87 ['193', '43', '133', '224', '34', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '50', '17', '112', '196']
88 ['193', '43', '133', '224', '34', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '50', '17', '112', '196']
89 ['193', '43', '133', '224', '34', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '50', '17', '112', '196']
90 ['193', '43', '133', '224', '34', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '50', '17', '112', '196']
91 ['193', '43', '133', '224', '34', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '50', '17', '112', '196']
92 ['193', '43', '133', '224', '34', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '50', '17', '112', '196']
93 ['193', '43', '133', '224', '34', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '50', '17', '112', '196']
94 ['193', '43', '133', '224', '34', '105', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '10', '57', '170', '179', '95', '50', '17', '112', '196']
105 ['43', '133', '224', '34', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '170', '179', '95', '50', '112', '196', '8', '128', '105', '60', '19']
106 ['43', '133', '224', '34', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '170', '179', '95', '50', '112', '196', '8', '128', '105', '60', '19']
107 ['43', '133', '224', '34', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '170', '179', '95', '50', '112', '196', '8', '128', '105', '60', '19']
108 ['43', '133', '224', '34', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '170', '179', '95', '50', '112', '196', '8', '128', '105', '60', '19']
109 ['43', '133', '224', '34', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '170', '179', '95', '50', '112', '196', '8', '128', '105', '60', '19']
110 ['43', '133', '224', '34', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '170', '179', '95', '50', '112', '196', '8', '128', '105', '60', '19']
111 ['43', '133', '224', '34', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '170', '179', '95', '50', '112', '196', '8', '128', '105', '60', '19']
112 ['43', '133', '224', '34', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '170', '179', '95', '50', '112', '196', '8', '128', '105', '60', '19']
113 ['43', '133', '224', '34', '144', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '170', '179', '95', '50', '112', '196', '8', '128', '105', '60', '19']
114 ['43', '133', '224', '34', '247', '159', '239', '84', '76', '26', '121', '254', '118', '71', '170', '179', '95', '112', '196', '8', '105', '60', '19', '145', '53', '140']
