0 ['244', '235', '51', '5', '191', '195', '76', '75', '230', '15', '137', '66', '81', '240', '102', '238', '90', '1', '25', '72', '44', '11', '8', '49', '31', '172']
1 ['244', '235', '51', '5', '191', '195', '76', '75', '230', '15', '137', '66', '81', '240', '102', '238', '90', '25', '72', '44', '11', '8', '49', '31', '172', '178']
2 ['244', '235', '51', '5', '191', '195', '76', '75', '230', '15', '137', '66', '81', '240', '102', '238', '90', '25', '72', '44', '11', '8', '49', '31', '172', '178']
3 ['244', '235', '51', '5', '191', '195', '76', '75', '230', '15', '137', '66', '81', '240', '102', '238', '90', '25', '72', '44', '11', '8', '49', '31', '172', '178']
4 ['244', '235', '51', '5', '191', '195', '76', '75', '230', '15', '66', '81', '240', '102', '90', '25', '72', '44', '11', '49', '31', '172', '178', '238', '137', '130']
5 ['244', '235', '51', '5', '191', '195', '76', '75', '230', '15', '66', '81', '240', '102', '90', '25', '72', '44', '11', '31', '172', '178', '238', '137', '130', '33']
6 ['244', '235', '51', '5', '191', '195', '76', '75', '230', '15', '66', '81', '240', '102', '90', '25', '72', '44', '11', '172', '178', '238', '137', '130', '33', '97']
7 ['244', '235', '51', '5', '191', '195', '76', '75', '230', '15', '66', '81', '240', '102', '90', '25', '72', '44', '11', '172', '178', '238', '137', '130', '33', '97']
8 ['244', '235', '51', '5', '191', '195', '76', '75', '230', '15', '66', '81', '240', '102', '90', '25', '72', '44', '172', '178', '238', '137', '130', '33', '97', '188']
9 ['244', '235', '51', '5', '191', '195', '76', '75', '230', '15', '66', '81', '240', '102', '90', '25', '72', '44', '172', '178', '238', '137', '130', '33', '97', '188']
10 ['244', '235', '5', '191', '195', '75', '230', '15', '66', '81', '240', '102', '90', '25', '72', '44', '172', '178', '238', '137', '130', '33', '97', '188', '53', '236']
11 ['244', '5', '191', '195', '75', '230', '15', '66', '81', '240', '102', '90', '25', '72', '44', '172', '178', '238', '137', '130', '33', '97', '188', '53', '236', '60']
12 ['244', '5', '191', '195', '75', '230', '15', '81', '240', '102', '90', '25', '72', '44', '172', '178', '238', '137', '130', '33', '97', '188', '53', '236', '60', '247']
13 ['244', '5', '191', '195', '75', '230', '15', '81', '240', '102', '90', '25', '72', '44', '172', '178', '238', '137', '130', '33', '97', '188', '53', '236', '60', '247']
14 ['244', '191', '195', '75', '230', '15', '81', '240', '102', '90', '72', '44', '172', '178', '238', '137', '130', '33', '97', '188', '53', '236', '60', '247', '25', '162']
15 ['244', '191', '195', '75', '230', '15', '81', '240', '102', '90', '72', '44', '172', '178', '238', '137', '130', '33', '97', '188', '53', '236', '60', '247', '25', '162']
16 ['244', '191', '195', '75', '230', '15', '81', '240', '102', '90', '72', '44', '172', '178', '238', '137', '130', '33', '97', '188', '53', '236', '60', '247', '25', '162']
17 ['244', '191', '195', '75', '230', '15', '81', '240', '102', '90', '72', '44', '172', '178', '238', '137', '130', '33', '97', '188', '53', '236', '60', '247', '25', '162']
18 ['244', '191', '195', '75', '230', '15', '81', '240', '102', '90', '72', '44', '172', '178', '238', '137', '130', '33', '97', '188', '53', '236', '60', '247', '25', '162']
19 ['244', '191', '195', '75', '230', '15', '81', '240', '102', '90', '44', '178', '238', '137', '130', '33', '97', '188', '53', '236', '60', '247', '25', '162', '68', '103']
20 ['244', '191', '195', '75', '230', '15', '81', '240', '102', '90', '44', '178', '238', '137', '130', '33', '97', '188', '53', '236', '247', '25', '162', '68', '103', '155']
