0 ['118', '70', '69']
1 ['118', '70', '69']
2 ['118', '70', '69']
3 ['118', '70', '69']
4 ['118', '70', '69']
5 ['118', '70', '69']
6 ['118', '70', '69']
7 ['118', '70', '69']
8 ['118', '70', '69']
9 ['118', '70', '69']
20 ['70', '60', '64']
21 ['70', '60', '64']
22 ['70', '60', '64']
23 ['70', '60', '64']
24 ['70', '60', '64']
25 ['70', '60', '64']
26 ['70', '60', '64']
27 ['70', '60', '64']
28 ['70', '64', '63']
29 ['70', '64', '63']
30 ['70', '64', '63']
31 ['70', '64', '63']
32 ['70', '64', '63']
33 ['70', '64', '63']
34 ['70', '64', '63']
35 ['70', '64', '63']
36 ['70', '64', '63']
37 ['70', '3', '2']
38 ['70', '3', '2']
39 ['70', '3', '2']
40 ['70', '3', '2']
41 ['70', '3', '2']
42 ['70', '3', '2']
43 ['70', '3', '2']
44 ['70', '3', '2']
45 ['70', '3', '2']
46 ['70', '3', '2']
47 ['70', '3', '2']
58 ['2', '70', '57']
59 ['2', '70', '57']
60 ['2', '70', '57']
61 ['2', '70', '57']
62 ['2', '70', '57']
63 ['2', '70', '57']
64 ['2', '70', '57']
65 ['2', '70', '57']
66 ['2', '70', '57']
67 ['2', '70', '57']
78 ['70', '2', '16']
79 ['70', '2', '16']
80 ['70', '2', '16']
81 ['70', '2', '16']
82 ['70', '2', '16']
83 ['70', '2', '16']
84 ['70', '2', '16']
85 ['70', '2', '16']
86 ['70', '2', '16']
87 ['70', '2', '16']
98 ['2', '16', '98']
99 ['2', '16', '98']
100 ['2', '16', '98']
101 ['2', '16', '98']
102 ['2', '16', '98']
103 ['2', '16', '98']
104 ['2', '16', '98']
105 ['2', '16', '98']
106 ['2', '16', '98']
107 ['2', '16', '63']
108 ['2', '16', '63']
109 ['2', '16', '63']
110 ['2', '16', '63']
111 ['2', '16', '63']
112 ['2', '16', '63']
113 ['2', '16', '63']
114 ['2', '16', '63']
115 ['2', '16', '63']
116 ['2', '16', '70']
117 ['2', '16', '70']
118 ['2', '16', '70']
119 ['2', '16', '70']
120 ['2', '16', '70']
121 ['2', '16', '70']
122 ['2', '16', '70']
123 ['2', '16', '70']
124 ['2', '16', '70']
125 ['2', '16', '70']
126 ['2', '16', '70']
137 ['2', '16', '63']
138 ['2', '16', '63']
139 ['2', '16', '63']
140 ['2', '16', '70']
141 ['2', '16', '70']
142 ['2', '16', '9']
143 ['2', '16', '9']
144 ['2', '16', '9']
145 ['2', '16', '9']
146 ['2', '16', '9']
147 ['2', '16', '9']
148 ['2', '16', '9']
149 ['2', '16', '9']
150 ['2', '16', '9']
151 ['2', '16', '9']
152 ['2', '16', '9']
163 ['2', '9', '0']
164 ['2', '9', '0']
165 ['2', '9', '0']
166 ['2', '9', '0']
167 ['2', '9', '0']
168 ['2', '9', '0']
169 ['2', '9', '0']
170 ['2', '9', '0']
171 ['2', '9', '0']
172 ['2', '9', '0']
183 ['2', '0', '34']
184 ['2', '0', '34']
185 ['2', '0', '34']
186 ['2', '0', '34']
187 ['2', '0', '34']
188 ['2', '0', '34']
189 ['2', '0', '34']
190 ['2', '0', '34']
191 ['2', '0', '34']
192 ['2', '0', '34']
203 ['2', '0', '1']
204 ['2', '0', '1']
205 ['2', '0', '1']
206 ['2', '0', '1']
207 ['2', '0', '1']
208 ['2', '0', '1']
209 ['2', '0', '1']
210 ['2', '0', '1']
211 ['2', '0', '1']
212 ['2', '0', '1']
223 ['2', '0', '42']
224 ['2', '0', '42']
225 ['2', '0', '42']
226 ['2', '0', '42']
227 ['2', '0', '42']
228 ['2', '0', '42']
229 ['2', '0', '42']
230 ['2', '0', '42']
231 ['2', '0', '34']
232 ['2', '0', '34']
233 ['2', '0', '34']
234 ['2', '0', '34']
235 ['2', '0', '34']
236 ['2', '0', '34']
237 ['2', '0', '34']
238 ['2', '0', '34']
239 ['2', '0', '34']
240 ['2', '0', '34']
241 ['2', '0', '34']
252 ['2', '0', '31']
253 ['2', '0', '31']
254 ['2', '0', '31']
255 ['2', '0', '31']
256 ['2', '0', '31']
257 ['2', '0', '31']
258 ['2', '0', '31']
259 ['2', '0', '31']
260 ['2', '0', '31']
261 ['2', '0', '31']
272 ['2', '0', '11']
273 ['2', '0', '11']
274 ['2', '0', '11']
275 ['2', '0', '11']
276 ['2', '0', '11']
277 ['2', '0', '11']
278 ['2', '0', '11']
279 ['2', '0', '11']
280 ['2', '0', '11']
281 ['2', '0', '11']
292 ['2', '0', '57']
293 ['2', '0', '57']
294 ['2', '0', '57']
295 ['2', '0', '57']
296 ['2', '0', '57']
297 ['2', '0', '57']
298 ['2', '0', '57']
299 ['2', '0', '57']
300 ['2', '0', '57']
301 ['2', '0', '57']
312 ['2', '0', '117']
313 ['2', '0', '117']
314 ['2', '0', '117']
315 ['2', '0', '117']
316 ['2', '0', '117']
317 ['2', '0', '117']
318 ['2', '0', '117']
319 ['2', '0', '117']
320 ['2', '0', '117']
321 ['2', '0', '117']
332 ['2', '0', '34']
333 ['2', '0', '34']
334 ['2', '0', '34']
335 ['2', '0', '34']
336 ['2', '0', '34']
