0 ['82', '40', '77']
1 ['82', '40', '77']
2 ['82', '40', '77']
3 ['82', '40', '77']
4 ['59', '38', '2']
5 ['59', '38', '2']
6 ['59', '38', '2']
7 ['59', '38', '2']
8 ['59', '38', '2']
9 ['59', '38', '2']
10 ['59', '38', '2']
11 ['59', '38', '2']
12 ['59', '38', '2']
13 ['59', '38', '2']
14 ['59', '38', '2']
25 ['2', '19', '16']
26 ['2', '19', '16']
27 ['2', '19', '16']
28 ['2', '19', '16']
29 ['2', '19', '16']
30 ['2', '19', '16']
31 ['2', '16', '106']
32 ['2', '16', '106']
33 ['2', '16', '106']
34 ['2', '16', '106']
35 ['2', '16', '106']
36 ['2', '16', '106']
37 ['2', '16', '106']
38 ['2', '16', '106']
39 ['2', '16', '106']
40 ['2', '16', '106']
41 ['2', '16', '106']
52 ['2', '16', '33']
53 ['2', '16', '33']
54 ['2', '16', '33']
55 ['2', '16', '33']
56 ['2', '16', '33']
57 ['2', '16', '33']
58 ['2', '16', '33']
59 ['2', '16', '33']
60 ['2', '16', '33']
61 ['2', '16', '33']
72 ['2', '16', '98']
73 ['2', '16', '98']
74 ['2', '16', '98']
75 ['2', '16', '98']
76 ['2', '16', '0']
77 ['2', '0', '52']
78 ['2', '0', '52']
79 ['2', '0', '52']
80 ['2', '0', '52']
81 ['2', '0', '72']
82 ['2', '0', '72']
83 ['2', '0', '72']
84 ['2', '0', '72']
85 ['2', '0', '72']
86 ['2', '0', '72']
87 ['2', '0', '72']
88 ['2', '0', '72']
89 ['2', '0', '72']
90 ['2', '0', '72']
91 ['2', '0', '72']
102 ['2', '0', '49']
103 ['2', '0', '49']
104 ['2', '0', '49']
105 ['2', '0', '49']
106 ['2', '0', '49']
107 ['2', '0', '49']
108 ['2', '0', '49']
109 ['2', '0', '49']
110 ['2', '0', '49']
111 ['2', '0', '49']
122 ['2', '0', '72']
123 ['2', '0', '72']
124 ['2', '0', '72']
125 ['2', '0', '72']
126 ['2', '0', '72']
127 ['2', '0', '72']
128 ['2', '0', '72']
129 ['2', '0', '72']
130 ['2', '0', '70']
131 ['2', '0', '70']
132 ['2', '0', '70']
133 ['2', '0', '70']
134 ['2', '0', '70']
135 ['2', '0', '70']
136 ['2', '0', '70']
137 ['2', '0', '70']
138 ['2', '0', '70']
139 ['2', '0', '70']
140 ['2', '0', '70']
151 ['2', '0', '59']
152 ['2', '0', '59']
153 ['2', '0', '59']
154 ['2', '0', '59']
155 ['2', '0', '59']
156 ['2', '0', '59']
157 ['2', '0', '59']
158 ['2', '0', '59']
159 ['2', '0', '59']
160 ['2', '0', '59']
171 ['2', '0', '72']
172 ['2', '0', '72']
173 ['2', '0', '72']
174 ['2', '0', '72']
175 ['2', '0', '72']
176 ['2', '0', '72']
177 ['2', '0', '72']
178 ['2', '0', '72']
179 ['2', '0', '72']
180 ['2', '0', '72']
191 ['2', '0', '70']
192 ['2', '0', '70']
193 ['2', '0', '70']
194 ['2', '0', '70']
195 ['2', '0', '70']
196 ['2', '0', '70']
197 ['2', '0', '70']
198 ['2', '0', '70']
199 ['2', '0', '70']
200 ['2', '0', '70']
211 ['2', '0', '70']
212 ['2', '0', '70']
213 ['2', '0', '70']
214 ['2', '0', '70']
215 ['2', '0', '70']
216 ['2', '0', '70']
217 ['2', '0', '70']
218 ['2', '0', '70']
219 ['2', '0', '70']
220 ['2', '0', '70']
231 ['2', '0', '34']
232 ['2', '0', '34']
233 ['2', '0', '34']
234 ['2', '0', '34']
235 ['2', '0', '34']
236 ['2', '0', '34']
237 ['2', '0', '34']
238 ['2', '0', '34']
239 ['2', '0', '34']
240 ['2', '0', '34']
251 ['2', '0', '27']
252 ['2', '0', '27']
253 ['2', '0', '27']
254 ['2', '0', '27']
255 ['2', '0', '27']
256 ['2', '0', '27']
257 ['2', '0', '27']
258 ['2', '0', '27']
259 ['2', '0', '27']
260 ['2', '0', '9']
261 ['2', '0', '9']
262 ['2', '0', '9']
263 ['2', '0', '9']
264 ['2', '0', '9']
265 ['2', '0', '9']
266 ['2', '0', '9']
267 ['2', '0', '9']
268 ['2', '0', '9']
269 ['2', '0', '9']
270 ['2', '0', '9']
281 ['2', '0', '78']
282 ['2', '0', '78']
283 ['2', '0', '70']
284 ['2', '0', '70']
285 ['2', '0', '70']
286 ['2', '0', '70']
287 ['2', '0', '70']
288 ['2', '0', '70']
289 ['2', '0', '70']
290 ['2', '0', '34']
291 ['2', '0', '34']
292 ['2', '0', '34']
293 ['2', '0', '34']
294 ['2', '0', '34']
295 ['2', '0', '34']
296 ['2', '0', '34']
297 ['2', '0', '34']
298 ['2', '0', '34']
299 ['2', '0', '34']
300 ['2', '0', '34']
311 ['2', '0', '50']
312 ['2', '0', '50']
313 ['2', '0', '50']
314 ['2', '0', '50']
315 ['2', '0', '50']
316 ['2', '0', '50']
317 ['2', '0', '50']
318 ['2', '0', '50']
319 ['2', '0', '50']
320 ['2', '0', '50']
331 ['2', '0', '9']
332 ['2', '0', '9']
333 ['2', '0', '9']
334 ['2', '0', '9']
335 ['2', '0', '9']
336 ['2', '0', '9']
337 ['2', '0', '9']
338 ['2', '0', '9']
339 ['2', '0', '9']
340 ['2', '0', '9']
351 ['2', '0', '28']
352 ['2', '0', '28']
353 ['2', '0', '28']
354 ['2', '0', '28']
355 ['2', '0', '28']
356 ['2', '0', '28']
357 ['2', '0', '28']
358 ['2', '0', '28']
359 ['2', '0', '28']
360 ['2', '0', '9']
361 ['2', '0', '9']
362 ['2', '0', '9']
363 ['2', '0', '9']
364 ['2', '0', '9']
365 ['2', '0', '9']
366 ['2', '0', '9']
367 ['2', '0', '9']
368 ['2', '0', '9']
369 ['2', '0', '9']
370 ['2', '0', '9']
381 ['2', '0', '70']
382 ['2', '0', '70']
383 ['2', '0', '70']
384 ['2', '0', '70']
385 ['2', '0', '70']
386 ['2', '0', '70']
387 ['2', '0', '70']
388 ['2', '0', '70']
389 ['2', '0', '70']
390 ['2', '0', '70']
391 ['2', '0', '70']
402 ['2', '0', '72']
403 ['2', '0', '72']
404 ['2', '0', '72']
405 ['2', '0', '72']
406 ['2', '0', '72']
407 ['2', '0', '72']
408 ['2', '0', '72']
409 ['2', '0', '72']
410 ['2', '0', '9']
411 ['2', '0', '9']
412 ['2', '0', '9']
413 ['2', '0', '9']
414 ['2', '0', '9']
415 ['2', '0', '9']
416 ['2', '0', '9']
417 ['2', '0', '9']
418 ['2', '0', '9']
419 ['2', '0', '9']
420 ['2', '0', '9']
431 ['2', '0', '117']
432 ['2', '0', '117']
433 ['2', '0', '117']
434 ['2', '0', '117']
435 ['2', '0', '117']
436 ['2', '0', '117']
437 ['2', '0', '117']
438 ['2', '0', '9']
439 ['2', '0', '9']
440 ['2', '0', '9']
441 ['2', '0', '9']
442 ['2', '0', '9']
443 ['2', '0', '9']
444 ['2', '0', '9']
445 ['2', '0', '9']
446 ['2', '0', '9']
447 ['2', '0', '9']
448 ['2', '0', '9']
459 ['2', '0', '9']
460 ['2', '0', '9']
461 ['2', '0', '9']
462 ['2', '0', '9']
463 ['2', '0', '9']
464 ['2', '0', '9']
465 ['2', '0', '9']
466 ['2', '0', '9']
467 ['2', '0', '9']
468 ['2', '0', '9']
479 ['2', '0', '34']
480 ['2', '0', '34']
481 ['2', '0', '34']
482 ['2', '0', '34']
483 ['2', '0', '34']
484 ['2', '0', '34']
485 ['2', '0', '34']
486 ['2', '0', '34']
487 ['2', '0', '34']
488 ['2', '0', '34']
499 ['2', '0', '34']
500 ['2', '0', '34']
501 ['2', '0', '34']
502 ['2', '0', '34']
503 ['2', '0', '34']
504 ['2', '0', '34']
505 ['2', '0', '34']
506 ['2', '0', '34']
507 ['2', '0', '34']
508 ['2', '0', '34']
509 ['2', '0', '34']
520 ['2', '0', '33']
521 ['2', '0', '33']
522 ['2', '0', '33']
523 ['2', '0', '33']
524 ['2', '0', '9']
525 ['2', '0', '9']
526 ['2', '0', '9']
527 ['2', '0', '9']
528 ['2', '0', '9']
529 ['2', '0', '9']
530 ['2', '0', '9']
531 ['2', '0', '9']
532 ['2', '0', '9']
533 ['2', '0', '9']
534 ['2', '0', '9']
545 ['2', '0', '9']
546 ['2', '0', '9']
547 ['2', '0', '9']
548 ['2', '0', '9']
549 ['2', '0', '9']
550 ['2', '0', '9']
551 ['2', '0', '9']
552 ['2', '0', '9']
553 ['2', '0', '9']
554 ['2', '0', '9']
565 ['2', '0', '28']
566 ['2', '0', '28']
567 ['2', '0', '28']
568 ['2', '0', '28']
569 ['2', '0', '28']
570 ['2', '0', '28']
571 ['2', '0', '28']
572 ['2', '0', '28']
573 ['2', '0', '28']
574 ['2', '0', '28']
585 ['2', '0', '11']
586 ['2', '0', '11']
587 ['2', '0', '11']
588 ['2', '0', '11']
589 ['2', '0', '11']
590 ['2', '0', '11']
591 ['2', '0', '11']
592 ['2', '0', '11']
593 ['2', '0', '11']
594 ['2', '0', '11']
605 ['2', '0', '47']
606 ['2', '0', '47']
607 ['2', '0', '47']
608 ['2', '0', '47']
609 ['2', '0', '47']
610 ['2', '0', '47']
611 ['2', '0', '47']
612 ['2', '0', '47']
613 ['2', '0', '47']
614 ['2', '0', '47']
625 ['2', '0', '43']
626 ['2', '0', '43']
627 ['2', '0', '43']
628 ['2', '0', '43']
629 ['2', '0', '43']
630 ['2', '0', '43']
631 ['2', '0', '43']
632 ['2', '0', '43']
633 ['2', '0', '43']
634 ['2', '0', '43']
645 ['2', '0', '48']
646 ['2', '0', '48']
647 ['2', '0', '48']
648 ['2', '0', '48']
649 ['2', '0', '48']
650 ['2', '0', '48']
651 ['2', '0', '48']
652 ['2', '0', '48']
653 ['2', '0', '48']
654 ['2', '0', '48']
665 ['2', '0', '32']
666 ['2', '0', '32']
667 ['2', '0', '32']
668 ['2', '0', '32']
669 ['2', '0', '32']
670 ['2', '0', '32']
671 ['2', '0', '32']
672 ['2', '0', '32']
673 ['2', '0', '32']
674 ['2', '0', '32']
685 ['2', '0', '70']
686 ['2', '0', '70']
687 ['2', '0', '70']
688 ['2', '0', '70']
689 ['2', '0', '70']
690 ['2', '0', '70']
691 ['2', '0', '70']
692 ['2', '0', '70']
693 ['2', '0', '70']
694 ['2', '0', '70']
705 ['0', '2', '27']
706 ['0', '2', '27']
707 ['0', '2', '27']
708 ['0', '2', '27']
709 ['0', '2', '27']
710 ['0', '2', '27']
711 ['0', '2', '27']
712 ['0', '2', '27']
713 ['0', '2', '27']
714 ['0', '2', '27']
725 ['2', '0', '81']
726 ['2', '0', '81']
727 ['2', '0', '9']
728 ['2', '0', '9']
729 ['2', '0', '9']
730 ['2', '0', '9']
731 ['2', '0', '9']
732 ['2', '0', '9']
733 ['2', '0', '9']
734 ['2', '0', '9']
735 ['2', '0', '9']
736 ['2', '0', '9']
737 ['2', '0', '9']
748 ['2', '0', '33']
749 ['2', '0', '33']
750 ['2', '0', '33']
751 ['2', '0', '33']
752 ['2', '0', '33']
753 ['2', '0', '33']
754 ['2', '0', '33']
755 ['2', '0', '33']
756 ['2', '0', '33']
757 ['2', '0', '33']
768 ['2', '0', '72']
769 ['2', '0', '72']
770 ['2', '0', '72']
771 ['2', '0', '72']
772 ['2', '0', '72']
