0 ['26', '111', '0']
1 ['26', '111', '0']
2 ['26', '111', '0']
3 ['26', '111', '0']
4 ['26', '111', '0']
5 ['26', '111', '0']
6 ['26', '111', '0']
7 ['26', '111', '0']
8 ['26', '111', '0']
9 ['26', '111', '0']
10 ['26', '111', '0']
21 ['0', '72', '99']
22 ['0', '72', '99']
23 ['0', '72', '99']
24 ['0', '72', '99']
25 ['0', '72', '99']
26 ['0', '72', '99']
27 ['0', '72', '99']
28 ['0', '72', '9']
29 ['0', '72', '9']
30 ['0', '72', '9']
31 ['0', '72', '9']
32 ['0', '72', '9']
33 ['0', '72', '9']
34 ['0', '72', '9']
35 ['0', '72', '9']
36 ['0', '72', '9']
37 ['0', '72', '9']
38 ['0', '72', '9']
49 ['0', '9', '100']
50 ['0', '9', '100']
51 ['0', '9', '100']
52 ['0', '9', '100']
53 ['0', '9', '100']
54 ['0', '9', '100']
55 ['0', '9', '100']
56 ['0', '9', '100']
57 ['0', '9', '100']
58 ['0', '9', '100']
69 ['0', '9', '64']
70 ['0', '9', '64']
71 ['0', '9', '64']
72 ['0', '9', '64']
73 ['0', '9', '64']
74 ['0', '9', '70']
75 ['0', '9', '70']
76 ['0', '9', '70']
77 ['0', '9', '70']
78 ['0', '9', '70']
79 ['0', '9', '70']
80 ['0', '9', '70']
81 ['0', '9', '70']
82 ['0', '9', '70']
83 ['0', '9', '70']
84 ['0', '9', '70']
95 ['0', '9', '17']
96 ['0', '9', '17']
97 ['0', '9', '17']
98 ['0', '9', '17']
99 ['0', '9', '17']
100 ['0', '9', '17']
101 ['0', '9', '17']
102 ['0', '9', '17']
103 ['0', '9', '17']
104 ['0', '9', '17']
115 ['0', '9', '27']
116 ['0', '9', '27']
117 ['0', '9', '27']
118 ['0', '9', '27']
119 ['0', '9', '27']
120 ['0', '9', '27']
121 ['0', '9', '27']
122 ['0', '9', '27']
123 ['0', '9', '27']
124 ['0', '9', '27']
135 ['0', '9', '2']
136 ['0', '9', '2']
137 ['0', '9', '2']
138 ['0', '9', '2']
139 ['0', '9', '2']
140 ['0', '9', '2']
141 ['0', '9', '2']
142 ['0', '9', '2']
143 ['0', '9', '2']
144 ['0', '9', '2']
155 ['2', '0', '70']
156 ['2', '0', '70']
157 ['2', '0', '70']
158 ['2', '0', '70']
159 ['2', '0', '70']
160 ['2', '0', '70']
161 ['2', '0', '70']
162 ['2', '0', '70']
163 ['2', '0', '70']
164 ['2', '0', '70']
175 ['2', '0', '20']
176 ['2', '0', '20']
177 ['2', '0', '20']
178 ['2', '0', '20']
179 ['2', '0', '20']
180 ['2', '0', '20']
181 ['2', '0', '20']
182 ['2', '0', '20']
183 ['2', '0', '20']
184 ['2', '0', '20']
195 ['2', '0', '117']
196 ['2', '0', '117']
197 ['2', '0', '117']
198 ['2', '0', '117']
199 ['2', '0', '117']
200 ['2', '0', '117']
201 ['2', '0', '72']
202 ['2', '0', '72']
203 ['2', '0', '72']
204 ['2', '0', '72']
205 ['2', '0', '72']
206 ['2', '0', '72']
207 ['2', '0', '72']
208 ['2', '0', '72']
209 ['2', '0', '72']
210 ['2', '0', '72']
211 ['2', '0', '72']
222 ['2', '0', '9']
223 ['2', '0', '9']
224 ['2', '0', '9']
225 ['2', '0', '9']
226 ['2', '0', '9']
227 ['2', '0', '9']
228 ['2', '0', '9']
229 ['2', '0', '9']
230 ['2', '0', '9']
231 ['2', '0', '9']
242 ['2', '0', '70']
243 ['2', '0', '70']
244 ['2', '0', '70']
245 ['2', '0', '70']
246 ['2', '0', '70']
247 ['2', '0', '70']
248 ['2', '0', '70']
249 ['2', '0', '70']
250 ['2', '0', '70']
251 ['2', '0', '70']
262 ['2', '0', '50']
263 ['2', '0', '50']
264 ['2', '0', '50']
265 ['2', '0', '50']
266 ['2', '0', '50']
267 ['2', '0', '50']
268 ['2', '0', '50']
269 ['2', '0', '50']
270 ['2', '0', '50']
271 ['2', '0', '50']
282 ['2', '0', '1']
283 ['2', '0', '1']
284 ['2', '0', '1']
285 ['2', '0', '1']
286 ['2', '0', '1']
287 ['2', '0', '1']
288 ['2', '0', '1']
289 ['2', '0', '1']
290 ['2', '0', '1']
291 ['2', '0', '1']
302 ['2', '0', '117']
303 ['2', '0', '117']
304 ['2', '0', '117']
305 ['2', '0', '117']
306 ['2', '0', '72']
307 ['2', '0', '70']
308 ['2', '0', '70']
309 ['2', '0', '70']
310 ['2', '0', '70']
311 ['2', '0', '70']
312 ['2', '0', '70']
313 ['2', '0', '70']
314 ['2', '0', '70']
315 ['2', '0', '70']
316 ['2', '0', '70']
317 ['2', '0', '70']
328 ['2', '0', '48']
329 ['2', '0', '48']
330 ['2', '0', '48']
331 ['2', '0', '48']
332 ['2', '0', '48']
333 ['2', '0', '48']
334 ['2', '0', '48']
335 ['2', '0', '48']
336 ['2', '0', '48']
337 ['2', '0', '48']
348 ['0', '2', '15']
349 ['0', '2', '15']
350 ['2', '0', '34']
351 ['2', '0', '34']
352 ['2', '0', '34']
353 ['2', '0', '34']
354 ['2', '0', '34']
355 ['2', '0', '34']
356 ['2', '0', '34']
357 ['2', '0', '34']
358 ['2', '0', '34']
359 ['2', '0', '34']
360 ['2', '0', '34']
371 ['2', '0', '32']
372 ['2', '0', '32']
373 ['2', '0', '32']
374 ['2', '0', '32']
375 ['2', '0', '32']
376 ['2', '0', '32']
377 ['2', '0', '32']
378 ['2', '0', '32']
379 ['2', '0', '32']
380 ['2', '0', '32']
391 ['2', '0', '70']
392 ['2', '0', '70']
393 ['2', '0', '70']
394 ['2', '0', '70']
395 ['2', '0', '70']
396 ['2', '0', '70']
397 ['2', '0', '70']
398 ['2', '0', '70']
399 ['2', '0', '70']
400 ['2', '0', '70']
411 ['2', '0', '11']
412 ['2', '0', '11']
413 ['2', '0', '11']
414 ['2', '0', '11']
415 ['2', '0', '11']
416 ['2', '0', '11']
417 ['2', '0', '11']
418 ['2', '0', '11']
419 ['2', '0', '11']
420 ['2', '0', '11']
431 ['2', '0', '117']
432 ['2', '0', '117']
433 ['2', '0', '117']
434 ['2', '0', '117']
435 ['2', '0', '117']
436 ['2', '0', '117']
437 ['2', '0', '117']
438 ['2', '0', '117']
439 ['2', '0', '117']
440 ['2', '0', '117']
451 ['0', '2', '15']
452 ['0', '2', '15']
453 ['0', '2', '15']
454 ['0', '2', '15']
455 ['0', '2', '15']
456 ['0', '2', '15']
457 ['0', '2', '15']
458 ['0', '2', '15']
459 ['0', '2', '15']
460 ['0', '2', '15']
471 ['0', '2', '117']
472 ['0', '2', '117']
473 ['0', '2', '117']
474 ['0', '2', '117']
475 ['0', '2', '117']
476 ['0', '2', '117']
477 ['0', '2', '117']
478 ['0', '2', '117']
479 ['0', '2', '117']
480 ['0', '2', '117']
491 ['0', '2', '91']
492 ['0', '2', '91']
493 ['0', '2', '91']
494 ['0', '2', '91']
495 ['0', '2', '91']
496 ['0', '2', '91']
497 ['0', '2', '91']
498 ['0', '2', '91']
499 ['0', '2', '91']
500 ['0', '2', '91']
511 ['2', '0', '52']
512 ['2', '0', '52']
513 ['2', '0', '52']
514 ['2', '0', '52']
515 ['2', '0', '52']
516 ['2', '0', '52']
517 ['2', '0', '52']
518 ['2', '0', '52']
519 ['2', '0', '52']
520 ['2', '0', '52']
531 ['2', '0', '9']
532 ['2', '0', '9']
533 ['2', '0', '9']
534 ['2', '0', '9']
535 ['2', '0', '9']
536 ['2', '0', '9']
537 ['2', '0', '9']
538 ['2', '0', '9']
539 ['2', '0', '9']
540 ['2', '0', '9']
