0 ['111', '14', '24']
1 ['111', '14', '24']
2 ['111', '14', '24']
3 ['111', '14', '24']
4 ['111', '14', '24']
5 ['111', '14', '24']
6 ['111', '14', '24']
7 ['18', '114', '0']
8 ['18', '114', '0']
9 ['18', '114', '0']
10 ['18', '114', '0']
11 ['18', '114', '0']
12 ['18', '114', '0']
13 ['18', '114', '0']
14 ['18', '114', '0']
15 ['18', '114', '0']
16 ['18', '114', '0']
17 ['18', '114', '0']
28 ['0', '63', '72']
29 ['0', '63', '72']
30 ['0', '63', '72']
31 ['0', '63', '72']
32 ['0', '63', '72']
33 ['0', '63', '72']
34 ['0', '63', '72']
35 ['0', '63', '72']
36 ['0', '72', '9']
37 ['0', '72', '9']
38 ['0', '72', '9']
39 ['0', '72', '9']
40 ['0', '72', '9']
41 ['0', '72', '9']
42 ['0', '72', '9']
43 ['0', '72', '9']
44 ['0', '72', '9']
45 ['0', '72', '9']
46 ['0', '9', '70']
47 ['0', '9', '70']
48 ['0', '9', '70']
49 ['0', '9', '70']
50 ['0', '9', '70']
51 ['0', '9', '70']
52 ['0', '9', '70']
53 ['0', '9', '70']
54 ['0', '9', '70']
55 ['0', '9', '70']
56 ['0', '9', '70']
67 ['0', '9', '51']
68 ['0', '9', '51']
69 ['0', '9', '51']
70 ['0', '9', '51']
71 ['0', '9', '89']
72 ['0', '9', '89']
73 ['0', '9', '89']
74 ['0', '9', '89']
75 ['0', '9', '89']
76 ['0', '9', '89']
77 ['0', '9', '89']
78 ['0', '9', '89']
79 ['0', '9', '89']
80 ['0', '9', '89']
81 ['0', '9', '89']
92 ['9', '0', '89']
93 ['9', '0', '89']
94 ['9', '0', '89']
95 ['9', '0', '89']
96 ['9', '0', '89']
97 ['9', '0', '89']
98 ['9', '0', '89']
99 ['9', '0', '89']
100 ['9', '0', '89']
101 ['9', '0', '89']
112 ['9', '0', '2']
113 ['9', '0', '2']
114 ['9', '0', '2']
115 ['9', '0', '2']
116 ['9', '0', '2']
117 ['9', '0', '2']
118 ['9', '0', '2']
119 ['9', '0', '2']
120 ['9', '0', '2']
121 ['9', '0', '2']
132 ['0', '2', '34']
133 ['0', '2', '34']
134 ['0', '2', '34']
135 ['0', '2', '34']
136 ['0', '2', '34']
137 ['0', '2', '34']
138 ['0', '2', '34']
139 ['0', '2', '9']
140 ['0', '2', '9']
141 ['0', '2', '9']
142 ['0', '2', '9']
143 ['0', '2', '9']
144 ['0', '2', '9']
145 ['0', '2', '9']
146 ['0', '2', '9']
147 ['0', '2', '9']
148 ['0', '2', '9']
149 ['0', '2', '9']
160 ['0', '2', '76']
161 ['0', '2', '76']
162 ['0', '2', '76']
163 ['0', '2', '9']
164 ['0', '2', '9']
165 ['0', '2', '9']
166 ['0', '2', '9']
167 ['0', '2', '9']
