0 ['117', '17', '112']
1 ['117', '17', '112']
2 ['117', '17', '112']
3 ['117', '17', '112']
4 ['117', '17', '112']
5 ['117', '17', '112']
6 ['117', '17', '112']
7 ['117', '17', '112']
8 ['117', '17', '112']
9 ['117', '17', '112']
20 ['90', '41', '120']
21 ['90', '41', '120']
22 ['90', '41', '120']
23 ['90', '41', '120']
24 ['90', '41', '120']
25 ['90', '41', '120']
26 ['90', '41', '120']
27 ['90', '41', '120']
28 ['90', '41', '120']
29 ['90', '41', '120']
40 ['47', '25', '106']
41 ['47', '25', '106']
42 ['47', '25', '106']
43 ['47', '25', '106']
44 ['47', '25', '106']
45 ['47', '25', '106']
46 ['47', '25', '106']
47 ['47', '25', '106']
48 ['47', '25', '106']
49 ['47', '25', '106']
60 ['106', '48', '38']
61 ['106', '48', '38']
62 ['106', '48', '38']
63 ['106', '48', '38']
64 ['106', '48', '38']
65 ['106', '48', '38']
66 ['106', '48', '38']
67 ['106', '48', '38']
68 ['106', '48', '38']
69 ['106', '48', '38']
80 ['106', '24', '119']
81 ['106', '24', '119']
82 ['106', '24', '119']
83 ['106', '24', '119']
84 ['106', '24', '119']
85 ['106', '24', '119']
86 ['106', '24', '119']
87 ['106', '90', '2']
88 ['106', '90', '2']
89 ['106', '90', '2']
90 ['106', '90', '2']
91 ['106', '90', '2']
92 ['106', '90', '2']
93 ['106', '90', '2']
94 ['106', '90', '2']
95 ['106', '2', '9']
96 ['106', '2', '9']
97 ['106', '2', '9']
98 ['106', '2', '9']
99 ['106', '2', '9']
100 ['106', '2', '9']
101 ['106', '2', '9']
102 ['106', '2', '9']
103 ['106', '2', '9']
104 ['106', '2', '9']
105 ['106', '2', '9']
116 ['2', '9', '51']
117 ['2', '9', '51']
118 ['2', '9', '51']
119 ['2', '9', '51']
120 ['2', '9', '51']
121 ['2', '9', '89']
122 ['2', '9', '89']
123 ['2', '9', '89']
124 ['2', '9', '89']
125 ['2', '9', '16']
126 ['2', '9', '16']
127 ['2', '9', '16']
128 ['2', '9', '16']
129 ['2', '9', '16']
130 ['2', '9', '16']
131 ['2', '9', '16']
132 ['2', '9', '16']
133 ['2', '9', '16']
134 ['2', '9', '16']
135 ['2', '9', '16']
146 ['2', '9', '98']
147 ['2', '9', '98']
148 ['2', '9', '98']
149 ['2', '9', '98']
150 ['2', '9', '98']
151 ['2', '9', '98']
152 ['2', '9', '98']
153 ['2', '9', '72']
154 ['2', '9', '72']
155 ['2', '9', '72']
156 ['2', '9', '72']
157 ['2', '9', '72']
158 ['2', '9', '72']
159 ['2', '9', '72']
160 ['2', '9', '72']
161 ['2', '9', '72']
162 ['2', '9', '72']
163 ['2', '9', '72']
174 ['2', '9', '24']
175 ['2', '9', '24']
176 ['2', '9', '24']
177 ['2', '9', '24']
178 ['2', '9', '24']
179 ['2', '9', '24']
180 ['2', '9', '24']
181 ['2', '9', '24']
182 ['2', '9', '24']
183 ['2', '9', '24']
194 ['2', '9', '1']
195 ['2', '9', '1']
196 ['2', '9', '1']
197 ['2', '9', '1']
198 ['2', '9', '1']
199 ['2', '9', '1']
200 ['2', '9', '1']
201 ['2', '9', '1']
202 ['2', '9', '1']
203 ['2', '9', '0']
204 ['2', '9', '0']
205 ['2', '9', '0']
206 ['2', '9', '0']
207 ['2', '9', '0']
208 ['2', '9', '0']
209 ['2', '9', '0']
210 ['2', '9', '0']
211 ['2', '9', '0']
212 ['2', '9', '0']
213 ['2', '9', '0']
224 ['2', '0', '15']
225 ['2', '0', '15']
226 ['2', '0', '15']
227 ['2', '0', '34']
228 ['2', '0', '34']
229 ['2', '0', '34']
230 ['2', '0', '34']
231 ['2', '0', '34']
232 ['2', '0', '34']
233 ['2', '0', '34']
234 ['2', '0', '34']
235 ['2', '0', '34']
236 ['2', '0', '34']
237 ['2', '0', '34']
248 ['2', '0', '19']
249 ['2', '0', '19']
250 ['2', '0', '19']
251 ['2', '0', '19']
252 ['2', '0', '19']
253 ['2', '0', '19']
254 ['2', '0', '19']
255 ['2', '0', '19']
256 ['2', '0', '19']
257 ['2', '0', '19']
268 ['2', '0', '72']
269 ['2', '0', '72']
270 ['2', '0', '72']
271 ['2', '0', '9']
272 ['2', '0', '9']
273 ['2', '0', '9']
274 ['2', '0', '9']
275 ['2', '0', '9']
276 ['2', '0', '9']
277 ['2', '0', '9']
278 ['2', '0', '9']
279 ['2', '0', '9']
280 ['2', '0', '9']
281 ['2', '0', '9']
292 ['2', '0', '112']
293 ['2', '0', '112']
294 ['2', '0', '112']
295 ['2', '0', '112']
296 ['2', '0', '112']
297 ['2', '0', '112']
298 ['2', '0', '112']
299 ['2', '0', '112']
300 ['2', '0', '112']
301 ['2', '0', '112']
312 ['0', '2', '47']
313 ['0', '2', '72']
314 ['0', '2', '72']
315 ['0', '2', '72']
316 ['0', '2', '70']
317 ['0', '2', '70']
318 ['0', '2', '70']
319 ['0', '2', '70']
320 ['0', '2', '70']
321 ['0', '2', '70']
322 ['0', '2', '70']
323 ['0', '2', '70']
324 ['0', '2', '70']
325 ['0', '2', '70']
326 ['0', '2', '70']
337 ['2', '0', '47']
338 ['2', '0', '47']
339 ['2', '0', '47']
340 ['2', '0', '47']
341 ['2', '0', '47']
342 ['2', '0', '47']
343 ['2', '0', '47']
344 ['2', '0', '47']
345 ['2', '0', '47']
346 ['2', '0', '47']
357 ['0', '2', '70']
358 ['0', '2', '70']
359 ['0', '2', '70']
360 ['0', '2', '70']
361 ['0', '2', '70']
362 ['0', '2', '70']
363 ['0', '2', '70']
364 ['0', '2', '70']
365 ['0', '2', '70']
366 ['0', '2', '70']
367 ['0', '2', '70']
378 ['0', '2', '14']
379 ['0', '2', '9']
380 ['0', '2', '9']
381 ['0', '2', '9']
382 ['0', '2', '9']
383 ['0', '2', '9']
384 ['0', '2', '9']
385 ['0', '2', '9']
386 ['0', '2', '9']
387 ['0', '2', '9']
388 ['0', '2', '9']
