0 ['92', '23', '8']
1 ['92', '23', '8']
2 ['92', '23', '8']
3 ['92', '23', '8']
4 ['92', '23', '8']
5 ['92', '23', '8']
6 ['92', '23', '8']
7 ['92', '23', '8']
8 ['92', '23', '8']
9 ['92', '23', '8']
20 ['6', '82', '89']
21 ['6', '82', '89']
22 ['6', '82', '89']
23 ['6', '82', '89']
24 ['6', '82', '89']
25 ['6', '82', '89']
26 ['6', '82', '89']
27 ['6', '82', '89']
28 ['6', '82', '89']
29 ['6', '82', '89']
40 ['89', '35', '49']
41 ['89', '112', '63']
42 ['89', '112', '63']
43 ['89', '112', '63']
44 ['89', '112', '63']
45 ['89', '112', '63']
46 ['89', '112', '63']
47 ['89', '112', '63']
48 ['89', '112', '63']
49 ['89', '112', '63']
50 ['89', '112', '63']
51 ['89', '112', '63']
62 ['63', '89', '118']
63 ['63', '89', '0']
64 ['89', '0', '9']
65 ['89', '0', '9']
66 ['89', '0', '9']
67 ['89', '0', '9']
68 ['89', '0', '9']
69 ['89', '0', '9']
70 ['89', '0', '9']
71 ['89', '0', '9']
72 ['89', '0', '9']
73 ['89', '0', '9']
74 ['89', '0', '9']
85 ['0', '9', '63']
86 ['0', '9', '63']
87 ['0', '9', '63']
88 ['0', '9', '63']
89 ['0', '9', '63']
90 ['0', '9', '63']
91 ['0', '9', '63']
92 ['0', '9', '63']
93 ['0', '9', '63']
94 ['0', '9', '63']
105 ['0', '9', '42']
106 ['0', '9', '42']
107 ['0', '9', '42']
108 ['0', '9', '42']
109 ['0', '9', '42']
110 ['0', '9', '42']
111 ['0', '9', '42']
112 ['0', '9', '42']
113 ['0', '9', '42']
114 ['0', '9', '42']
125 ['0', '9', '70']
126 ['0', '9', '70']
127 ['0', '9', '70']
128 ['0', '9', '70']
129 ['0', '9', '70']
130 ['0', '9', '70']
131 ['0', '9', '70']
132 ['0', '9', '70']
133 ['0', '9', '70']
134 ['0', '9', '70']
145 ['0', '9', '113']
146 ['0', '9', '113']
147 ['0', '9', '113']
148 ['0', '9', '113']
149 ['0', '9', '113']
150 ['0', '9', '113']
151 ['0', '9', '113']
152 ['0', '9', '113']
153 ['0', '9', '113']
154 ['0', '9', '63']
155 ['0', '9', '63']
156 ['0', '9', '63']
157 ['0', '9', '63']
158 ['0', '9', '63']
159 ['0', '9', '63']
160 ['0', '9', '63']
161 ['0', '9', '63']
162 ['0', '9', '63']
163 ['0', '9', '63']
164 ['0', '9', '63']
175 ['0', '9', '118']
176 ['0', '9', '118']
177 ['0', '9', '118']
178 ['0', '9', '118']
179 ['0', '9', '118']
180 ['0', '9', '118']
181 ['0', '9', '118']
182 ['0', '9', '118']
183 ['0', '9', '118']
184 ['0', '9', '118']
195 ['0', '9', '2']
196 ['0', '9', '2']
197 ['0', '9', '2']
198 ['0', '9', '2']
199 ['0', '9', '2']
200 ['0', '9', '2']
201 ['0', '9', '2']
202 ['0', '9', '2']
203 ['0', '9', '2']
204 ['0', '9', '2']
215 ['0', '2', '48']
216 ['0', '2', '48']
217 ['0', '2', '48']
218 ['0', '2', '48']
219 ['0', '2', '48']
220 ['0', '2', '48']
221 ['0', '2', '48']
222 ['0', '2', '48']
223 ['0', '2', '48']
224 ['0', '2', '48']
235 ['0', '2', '19']
236 ['0', '2', '19']
237 ['0', '2', '19']
238 ['0', '2', '19']
239 ['0', '2', '19']
240 ['0', '2', '19']
241 ['0', '2', '19']
242 ['0', '2', '19']
243 ['0', '2', '19']
244 ['0', '2', '19']
255 ['0', '2', '34']
256 ['0', '2', '34']
257 ['0', '2', '34']
258 ['0', '2', '34']
259 ['0', '2', '34']
260 ['0', '2', '34']
261 ['0', '2', '34']
262 ['0', '2', '34']
263 ['0', '2', '34']
264 ['0', '2', '34']
275 ['0', '2', '15']
276 ['0', '2', '15']
277 ['0', '2', '15']
278 ['0', '2', '15']
279 ['0', '2', '15']
280 ['0', '2', '15']
281 ['0', '2', '15']
282 ['0', '2', '15']
283 ['0', '2', '15']
284 ['0', '2', '34']
285 ['0', '2', '34']
286 ['0', '2', '34']
287 ['0', '2', '34']
288 ['0', '2', '34']
289 ['0', '2', '34']
290 ['0', '2', '34']
291 ['0', '2', '34']
292 ['0', '2', '34']
293 ['0', '2', '34']
294 ['0', '2', '34']
305 ['0', '2', '31']
306 ['0', '2', '31']
307 ['0', '2', '31']
308 ['0', '2', '31']
309 ['0', '2', '31']
310 ['0', '2', '31']
311 ['0', '2', '31']
312 ['0', '2', '31']
313 ['0', '2', '31']
314 ['0', '2', '31']
325 ['0', '2', '112']
326 ['0', '2', '112']
327 ['0', '2', '112']
328 ['0', '2', '112']
329 ['0', '2', '112']
330 ['0', '2', '112']
331 ['0', '2', '112']
332 ['0', '2', '112']
333 ['0', '2', '112']
