0 ['40', '60', '331', '197', '602', '666', '1028', '385', '541', '588', '308', '757', '110', '395', '699', '1080', '321', '983', '37', '921', '1006', '335', '937', '1142', '133', '805', '1085', '1150', '604', '915', '360', '715', '474', '1133', '1145', '199', '375', '1051', '653', '758', '406', '350', '402', '978', '720', '639', '306', '1153', '231', '496', '1026', '569', '276', '218', '1132', '52', '17', '649', '1125', '687', '247', '80', '342', '1044', '885', '799', '230', '1189', '319', '1115', '50', '356', '890', '968', '877', '89', '1163', '543', '58', '54', '760', '1146', '204', '679', '793', '515', '533', '1111', '822', '859', '761', '634', '692', '727', '240', '464', '1097', '394', '1061', '958', '74', '425', '820', '546', '971', '307', '509', '848', '1190', '345', '690', '1099', '147', '654', '592', '560', '830', '667', '113']
1 ['40', '60', '331', '197', '602', '666', '1028', '385', '541', '588', '308', '757', '110', '395', '699', '321', '983', '37', '921', '1006', '335', '937', '1142', '133', '805', '1085', '1150', '604', '915', '360', '715', '474', '1133', '1145', '199', '375', '1051', '653', '758', '406', '350', '402', '978', '720', '639', '306', '1153', '231', '496', '1026', '569', '276', '218', '1132', '52', '17', '649', '1125', '687', '247', '80', '342', '1044', '885', '799', '230', '1189', '319', '1115', '50', '356', '890', '968', '877', '89', '1163', '543', '58', '54', '760', '1146', '204', '679', '793', '515', '533', '1111', '822', '859', '761', '634', '692', '727', '240', '464', '1097', '394', '1061', '958', '74', '425', '820', '546', '971', '307', '509', '848', '1190', '345', '690', '1099', '147', '654', '592', '560', '830', '667', '113', '624']
2 ['40', '60', '331', '197', '602', '666', '1028', '385', '541', '588', '308', '757', '110', '395', '699', '321', '983', '37', '921', '1006', '335', '937', '1142', '133', '805', '1085', '1150', '604', '915', '360', '474', '1133', '1145', '199', '375', '1051', '653', '758', '406', '350', '402', '978', '720', '639', '306', '1153', '231', '496', '1026', '569', '276', '218', '1132', '52', '17', '649', '1125', '687', '247', '80', '342', '1044', '885', '799', '230', '1189', '319', '1115', '50', '356', '890', '968', '877', '89', '1163', '543', '58', '54', '760', '1146', '204', '679', '793', '515', '533', '1111', '822', '859', '761', '634', '692', '727', '240', '464', '1097', '394', '1061', '958', '74', '425', '820', '546', '971', '307', '509', '848', '1190', '345', '690', '1099', '147', '654', '592', '560', '830', '667', '113', '624', '748']
3 ['40', '60', '331', '197', '602', '666', '1028', '385', '541', '588', '308', '757', '110', '395', '699', '321', '983', '37', '921', '1006', '335', '937', '1142', '133', '805', '1085', '1150', '604', '915', '360', '474', '1133', '1145', '199', '375', '1051', '653', '758', '406', '350', '402', '978', '720', '639', '306', '1153', '231', '496', '1026', '569', '276', '218', '1132', '52', '17', '649', '1125', '687', '247', '80', '342', '1044', '885', '799', '230', '1189', '319', '1115', '50', '356', '890', '968', '877', '89', '1163', '543', '58', '54', '760', '1146', '204', '679', '793', '515', '533', '1111', '822', '859', '761', '634', '692', '727', '240', '464', '1097', '394', '1061', '958', '74', '425', '820', '546', '971', '307', '509', '848', '1190', '345', '690', '1099', '147', '654', '592', '560', '830', '667', '113', '624', '748']
4 ['40', '60', '331', '197', '602', '666', '1028', '385', '541', '588', '308', '757', '395', '699', '321', '983', '37', '921', '1006', '335', '937', '1142', '133', '805', '1085', '1150', '604', '915', '360', '474', '1133', '1145', '199', '375', '1051', '653', '758', '406', '350', '402', '978', '720', '639', '306', '1153', '231', '496', '569', '276', '218', '1132', '52', '17', '649', '1125', '687', '247', '80', '342', '1044', '885', '799', '230', '1189', '319', '1115', '50', '356', '890', '968', '877', '89', '1163', '543', '58', '54', '760', '1146', '204', '679', '793', '515', '533', '1111', '822', '859', '761', '634', '692', '727', '240', '464', '1097', '394', '1061', '958', '74', '425', '820', '546', '971', '307', '509', '848', '1190', '345', '690', '1099', '147', '654', '592', '560', '830', '667', '113', '624', '748', '110', '114']
5 ['40', '60', '331', '197', '602', '666', '1028', '385', '541', '588', '308', '757', '395', '699', '321', '983', '37', '921', '1006', '335', '937', '1142', '133', '805', '1085', '1150', '604', '915', '360', '474', '1133', '1145', '199', '375', '1051', '653', '758', '406', '350', '402', '978', '720', '639', '306', '1153', '231', '496', '569', '276', '218', '1132', '52', '17', '649', '1125', '687', '247', '80', '342', '1044', '885', '799', '230', '319', '1115', '50', '356', '890', '968', '877', '89', '1163', '543', '58', '54', '760', '1146', '204', '679', '793', '515', '533', '1111', '822', '859', '761', '634', '692', '727', '240', '464', '1097', '394', '1061', '958', '74', '425', '820', '546', '971', '307', '509', '848', '1190', '345', '690', '1099', '147', '654', '592', '560', '830', '667', '113', '624', '748', '110', '114', '176']
6 ['40', '60', '331', '197', '602', '666', '1028', '385', '541', '588', '308', '757', '395', '699', '321', '983', '37', '921', '1006', '335', '937', '1142', '133', '805', '1085', '1150', '604', '915', '360', '474', '1133', '1145', '199', '375', '1051', '653', '758', '406', '350', '402', '978', '720', '639', '306', '1153', '231', '496', '569', '276', '218', '1132', '52', '17', '649', '1125', '687', '247', '80', '342', '1044', '885', '799', '230', '319', '1115', '50', '356', '890', '968', '877', '89', '1163', '543', '58', '54', '760', '204', '679', '793', '515', '533', '1111', '822', '859', '761', '634', '692', '727', '240', '464', '1097', '394', '1061', '958', '74', '425', '820', '546', '971', '307', '509', '848', '1190', '345', '690', '1099', '147', '654', '592', '560', '830', '667', '113', '624', '748', '110', '114', '176', '867']
7 ['40', '60', '331', '197', '602', '666', '1028', '385', '541', '588', '308', '757', '395', '699', '321', '983', '37', '921', '1006', '335', '937', '1142', '133', '805', '1085', '1150', '604', '915', '360', '474', '1133', '1145', '199', '375', '1051', '653', '758', '406', '350', '402', '978', '720', '639', '306', '1153', '231', '496', '569', '276', '218', '1132', '52', '17', '649', '1125', '687', '247', '80', '342', '1044', '885', '799', '230', '319', '1115', '50', '356', '890', '968', '877', '89', '1163', '543', '58', '54', '760', '204', '679', '793', '515', '533', '1111', '822', '859', '761', '634', '692', '727', '240', '464', '1097', '394', '1061', '958', '74', '425', '820', '546', '971', '307', '509', '848', '1190', '345', '690', '1099', '147', '654', '592', '830', '667', '113', '624', '748', '110', '114', '176', '867', '932']
8 ['40', '60', '331', '197', '602', '666', '1028', '385', '541', '588', '308', '757', '395', '699', '321', '983', '37', '921', '1006', '335', '937', '1142', '133', '805', '1085', '1150', '604', '915', '360', '474', '1133', '1145', '199', '375', '1051', '653', '758', '406', '350', '402', '978', '720', '639', '306', '1153', '231', '496', '569', '276', '218', '1132', '52', '17', '1125', '687', '247', '80', '342', '1044', '885', '799', '230', '319', '1115', '50', '356', '890', '968', '877', '89', '1163', '543', '58', '54', '760', '204', '679', '793', '515', '533', '1111', '822', '859', '761', '634', '692', '727', '240', '464', '1097', '394', '1061', '958', '74', '425', '820', '546', '971', '307', '509', '848', '1190', '345', '690', '1099', '147', '654', '592', '830', '667', '113', '624', '748', '110', '114', '176', '867', '932', '237']
9 ['40', '60', '331', '197', '602', '666', '1028', '385', '541', '588', '308', '757', '395', '699', '321', '983', '37', '921', '1006', '335', '937', '1142', '133', '805', '1085', '1150', '604', '915', '360', '474', '1133', '1145', '199', '375', '1051', '653', '758', '406', '350', '402', '978', '720', '639', '306', '1153', '231', '496', '569', '276', '218', '1132', '52', '17', '1125', '687', '247', '80', '342', '1044', '885', '799', '230', '319', '1115', '50', '356', '890', '968', '877', '89', '1163', '543', '58', '54', '760', '204', '679', '793', '515', '533', '1111', '822', '859', '761', '634', '692', '727', '240', '464', '1097', '394', '1061', '958', '74', '425', '820', '546', '971', '307', '509', '848', '1190', '345', '690', '1099', '147', '654', '592', '830', '667', '113', '624', '748', '110', '114', '176', '867', '932', '237']
10 ['40', '60', '331', '197', '602', '666', '1028', '385', '541', '588', '308', '757', '395', '699', '321', '983', '37', '921', '1006', '335', '937', '1142', '133', '805', '1085', '1150', '604', '915', '360', '474', '1133', '1145', '199', '375', '1051', '653', '758', '406', '350', '402', '978', '720', '639', '306', '1153', '231', '496', '569', '276', '218', '1132', '52', '17', '1125', '687', '247', '80', '342', '1044', '885', '799', '230', '319', '1115', '50', '356', '890', '968', '877', '89', '1163', '543', '58', '54', '760', '204', '679', '793', '515', '533', '1111', '822', '859', '761', '634', '692', '727', '240', '464', '1097', '394', '1061', '958', '74', '425', '820', '546', '971', '307', '509', '848', '1190', '345', '690', '1099', '147', '654', '592', '830', '667', '113', '624', '748', '110', '114', '176', '867', '932', '237']
