0 ['213', '104', '289', '756', '1110', '634', '1108', '1062', '765', '999', '653', '1085', '541', '353', '279', '193', '941', '528', '600', '141', '532', '140', '77', '266', '553', '1050', '523', '59', '329', '13', '857', '384', '516', '119', '499', '1034', '29', '1144', '432', '681', '933', '1146', '1165', '294', '190', '547', '610', '475', '218', '156', '562', '787', '511', '417', '90', '61', '444', '439', '1041', '741', '803', '358', '698', '94', '1098', '908', '550', '597', '454', '144', '978', '851', '17', '904', '105', '314', '673', '30', '1054', '469', '923', '818', '788', '594', '336', '37', '549', '1123', '1078', '355', '1079', '85', '40', '36', '488', '771', '670', '581', '423', '147', '735', '559', '142', '285', '773', '700', '965', '130', '961', '267', '102', '1039', '188', '215', '133', '407', '650', '89', '878']
1 ['213', '104', '289', '756', '1110', '634', '1108', '1062', '765', '999', '653', '1085', '541', '353', '279', '193', '941', '528', '600', '141', '532', '140', '77', '266', '553', '523', '59', '329', '13', '857', '384', '516', '119', '499', '1034', '29', '1144', '432', '681', '933', '1146', '1165', '294', '190', '547', '610', '475', '218', '156', '562', '787', '511', '417', '90', '61', '444', '439', '1041', '741', '803', '358', '698', '94', '1098', '908', '550', '597', '454', '144', '978', '851', '17', '904', '105', '314', '673', '30', '1054', '469', '923', '818', '788', '594', '336', '37', '549', '1123', '1078', '355', '1079', '85', '40', '36', '488', '771', '670', '581', '423', '147', '735', '559', '142', '285', '773', '700', '965', '130', '961', '267', '102', '1039', '188', '215', '133', '407', '650', '89', '878', '211']
2 ['104', '289', '756', '1110', '634', '1108', '1062', '765', '999', '653', '1085', '541', '353', '279', '193', '941', '528', '600', '141', '532', '140', '77', '266', '553', '523', '59', '329', '13', '857', '384', '516', '119', '499', '1034', '29', '1144', '432', '681', '933', '1146', '1165', '294', '190', '547', '610', '475', '218', '156', '562', '787', '511', '417', '90', '61', '444', '439', '1041', '741', '803', '358', '698', '94', '1098', '908', '550', '597', '454', '144', '978', '851', '17', '904', '105', '314', '673', '30', '1054', '469', '923', '818', '788', '594', '336', '37', '549', '1123', '1078', '355', '1079', '85', '40', '36', '488', '771', '670', '581', '423', '147', '735', '559', '142', '285', '773', '700', '965', '130', '961', '267', '102', '1039', '188', '215', '133', '407', '650', '89', '878', '211', '408']
3 ['104', '289', '756', '1110', '634', '1108', '1062', '765', '999', '653', '1085', '541', '353', '279', '193', '941', '528', '600', '141', '532', '140', '77', '266', '553', '523', '59', '329', '13', '384', '516', '119', '499', '1034', '29', '1144', '432', '681', '933', '1146', '1165', '294', '190', '547', '610', '475', '218', '156', '562', '787', '511', '417', '90', '61', '444', '439', '1041', '741', '803', '358', '698', '94', '1098', '908', '550', '597', '454', '144', '978', '851', '17', '904', '105', '314', '673', '30', '1054', '469', '923', '818', '788', '594', '336', '37', '549', '1123', '1078', '355', '1079', '85', '40', '36', '488', '771', '670', '581', '423', '147', '735', '559', '142', '285', '773', '700', '965', '130', '961', '267', '102', '1039', '188', '215', '133', '407', '650', '89', '878', '211', '408', '910']
4 ['104', '289', '756', '1110', '634', '1108', '1062', '765', '999', '653', '1085', '541', '353', '279', '193', '941', '528', '600', '141', '532', '140', '77', '266', '553', '523', '59', '329', '13', '384', '516', '119', '499', '1034', '29', '432', '681', '933', '1146', '1165', '294', '190', '547', '610', '475', '218', '156', '562', '787', '511', '417', '90', '61', '444', '439', '1041', '741', '803', '358', '698', '94', '1098', '908', '550', '597', '454', '144', '978', '851', '17', '904', '105', '314', '673', '30', '1054', '469', '923', '818', '788', '594', '336', '37', '549', '1123', '1078', '355', '1079', '85', '40', '36', '488', '771', '670', '581', '423', '147', '735', '559', '142', '285', '773', '700', '965', '130', '961', '267', '102', '1039', '188', '215', '133', '407', '650', '89', '878', '211', '408', '910', '229']
5 ['104', '289', '756', '1110', '634', '1108', '1062', '765', '999', '653', '1085', '541', '353', '279', '193', '941', '528', '600', '141', '532', '140', '77', '266', '553', '523', '59', '329', '13', '384', '516', '119', '499', '1034', '29', '432', '681', '933', '1146', '1165', '294', '190', '547', '610', '475', '218', '156', '562', '787', '511', '417', '90', '61', '444', '439', '1041', '741', '803', '358', '698', '94', '908', '550', '597', '454', '144', '978', '851', '17', '904', '105', '314', '673', '30', '1054', '469', '923', '818', '788', '594', '336', '37', '549', '1123', '1078', '355', '1079', '85', '40', '36', '488', '771', '670', '581', '423', '147', '735', '559', '142', '285', '773', '700', '965', '130', '961', '267', '102', '1039', '188', '215', '133', '407', '650', '89', '878', '211', '408', '910', '229', '46']
6 ['104', '289', '756', '1110', '634', '1108', '1062', '765', '999', '653', '1085', '541', '353', '279', '193', '941', '528', '600', '141', '532', '140', '77', '266', '553', '523', '59', '329', '13', '384', '516', '119', '499', '1034', '29', '432', '681', '933', '1146', '1165', '294', '190', '547', '610', '475', '218', '156', '562', '787', '511', '417', '90', '61', '444', '439', '1041', '741', '803', '358', '698', '94', '908', '550', '597', '454', '144', '851', '17', '904', '105', '314', '673', '30', '1054', '469', '923', '818', '788', '594', '336', '37', '549', '1123', '1078', '355', '1079', '85', '40', '36', '488', '771', '670', '581', '423', '147', '735', '559', '142', '285', '773', '700', '965', '130', '961', '267', '102', '1039', '188', '215', '133', '407', '650', '89', '878', '211', '408', '910', '229', '46', '422']
7 ['104', '289', '756', '1110', '634', '1108', '1062', '765', '999', '653', '1085', '541', '353', '279', '193', '941', '528', '600', '141', '532', '140', '77', '266', '553', '523', '59', '329', '13', '384', '516', '119', '499', '1034', '29', '432', '681', '933', '1146', '1165', '294', '190', '547', '610', '475', '218', '156', '562', '787', '511', '417', '90', '61', '444', '439', '1041', '741', '803', '358', '698', '94', '908', '550', '597', '454', '144', '851', '17', '904', '105', '314', '673', '30', '1054', '469', '923', '818', '594', '336', '37', '549', '1123', '1078', '355', '1079', '85', '40', '36', '488', '771', '670', '581', '423', '147', '735', '559', '142', '285', '773', '700', '965', '130', '961', '267', '102', '1039', '188', '215', '133', '407', '650', '89', '878', '211', '408', '910', '229', '46', '422', '202']
8 ['104', '289', '756', '1110', '634', '1108', '1062', '765', '999', '653', '1085', '541', '353', '279', '193', '941', '528', '600', '141', '532', '140', '77', '266', '553', '523', '59', '329', '13', '384', '516', '119', '499', '1034', '29', '432', '681', '933', '1146', '1165', '294', '190', '547', '610', '475', '218', '156', '562', '787', '511', '417', '90', '61', '444', '439', '1041', '741', '803', '358', '698', '94', '908', '550', '597', '454', '144', '851', '17', '904', '105', '314', '673', '30', '1054', '469', '923', '818', '594', '336', '37', '549', '1123', '1078', '355', '1079', '85', '40', '36', '488', '771', '670', '581', '423', '147', '735', '559', '142', '285', '773', '700', '965', '130', '961', '267', '102', '1039', '188', '215', '133', '407', '650', '89', '878', '211', '408', '910', '229', '46', '422', '202']
9 ['104', '289', '756', '1110', '634', '1108', '1062', '765', '999', '653', '1085', '541', '353', '279', '193', '941', '528', '600', '141', '532', '140', '77', '266', '553', '523', '59', '329', '13', '384', '516', '119', '499', '1034', '29', '432', '681', '933', '1146', '1165', '294', '190', '547', '610', '475', '218', '156', '562', '787', '511', '417', '90', '61', '444', '439', '1041', '741', '803', '358', '698', '94', '908', '550', '597', '454', '144', '851', '17', '904', '105', '314', '673', '30', '1054', '469', '923', '818', '594', '336', '37', '549', '1123', '1078', '355', '85', '40', '36', '771', '670', '581', '423', '147', '735', '559', '142', '285', '773', '700', '965', '130', '961', '267', '102', '1039', '188', '215', '133', '407', '650', '89', '878', '211', '408', '910', '229', '46', '422', '202', '1167', '676']
10 ['104', '289', '756', '1110', '634', '1108', '1062', '765', '999', '653', '1085', '541', '353', '279', '193', '941', '528', '600', '141', '532', '140', '77', '266', '553', '523', '59', '329', '13', '384', '516', '119', '499', '1034', '29', '432', '681', '933', '1146', '1165', '294', '190', '547', '610', '475', '218', '156', '562', '787', '511', '417', '90', '61', '444', '439', '1041', '741', '803', '358', '698', '94', '908', '550', '597', '454', '144', '851', '17', '904', '105', '314', '673', '30', '1054', '469', '923', '818', '594', '336', '37', '549', '1123', '1078', '355', '85', '40', '36', '771', '670', '581', '423', '147', '559', '142', '285', '773', '700', '965', '130', '961', '267', '102', '1039', '188', '215', '133', '407', '650', '89', '878', '211', '408', '910', '229', '46', '422', '202', '1167', '676', '174']
