0 ['1161', '994', '70', '795', '61', '292', '738', '1104', '199', '1172', '735', '333', '502', '537', '431', '446', '200', '944', '1043', '1167', '531', '171', '416', '912', '820', '92', '1110', '1088', '832', '1157', '1070', '595', '239', '983', '1002', '804', '870', '303', '796', '1150', '660', '413', '390', '381', '349', '179', '860', '1010', '211', '813', '825', '990', '947', '681', '85', '930', '574', '848', '427', '93', '236', '1160', '603', '450', '1119', '1076', '778', '332', '812', '689', '550', '5', '384', '901', '250', '691', '276', '810', '1149', '285', '721', '44', '769', '327', '830', '960', '685', '294', '83', '846', '814', '387', '856', '368', '252', '773', '1084', '628', '1039', '472', '225', '921', '1048', '253', '934', '584', '432', '707', '882', '1143', '692', '513', '998', '376', '122', '545', '457', '634', '534']
1 ['1161', '994', '70', '795', '61', '292', '738', '1104', '199', '1172', '735', '333', '537', '431', '446', '200', '944', '1043', '1167', '531', '171', '416', '912', '820', '92', '1110', '1088', '832', '1157', '1070', '595', '239', '983', '1002', '804', '870', '303', '796', '1150', '660', '413', '390', '381', '349', '179', '860', '1010', '211', '813', '825', '990', '947', '681', '85', '930', '574', '848', '427', '93', '236', '1160', '603', '450', '1119', '1076', '778', '332', '812', '689', '550', '5', '384', '901', '250', '691', '276', '810', '1149', '285', '721', '44', '769', '327', '830', '960', '685', '294', '83', '846', '814', '387', '856', '368', '252', '773', '1084', '628', '1039', '472', '225', '921', '1048', '253', '934', '584', '432', '707', '882', '1143', '692', '513', '998', '376', '122', '545', '457', '634', '534', '442']
2 ['1161', '994', '70', '795', '61', '292', '738', '1104', '199', '1172', '735', '333', '537', '431', '446', '200', '944', '1043', '1167', '531', '171', '416', '912', '92', '1110', '1088', '832', '1157', '1070', '595', '239', '983', '1002', '804', '870', '303', '796', '1150', '660', '413', '390', '381', '349', '179', '860', '1010', '211', '813', '825', '990', '947', '681', '85', '930', '574', '848', '427', '93', '236', '1160', '603', '450', '1119', '1076', '778', '332', '812', '689', '550', '5', '384', '901', '250', '691', '276', '810', '1149', '285', '721', '44', '769', '327', '830', '960', '685', '294', '83', '846', '814', '387', '856', '368', '252', '773', '1084', '628', '1039', '472', '225', '921', '1048', '253', '934', '584', '432', '707', '882', '1143', '692', '513', '998', '376', '122', '545', '457', '634', '534', '442', '636']
3 ['1161', '994', '70', '795', '61', '292', '738', '1104', '199', '1172', '735', '333', '537', '431', '446', '200', '944', '1043', '1167', '531', '171', '416', '912', '92', '1110', '1088', '832', '1157', '1070', '595', '239', '983', '1002', '804', '870', '303', '796', '1150', '660', '413', '390', '381', '349', '179', '860', '1010', '211', '813', '825', '990', '947', '681', '85', '930', '574', '427', '93', '236', '1160', '603', '450', '1119', '1076', '778', '332', '812', '689', '550', '5', '384', '901', '250', '691', '276', '810', '1149', '285', '721', '44', '769', '327', '830', '960', '685', '294', '83', '846', '814', '387', '856', '368', '252', '773', '1084', '628', '1039', '472', '225', '921', '1048', '253', '934', '584', '432', '707', '882', '1143', '692', '513', '998', '376', '122', '545', '457', '634', '534', '442', '636', '39']
4 ['1161', '994', '70', '795', '61', '292', '738', '1104', '199', '1172', '735', '333', '537', '431', '446', '200', '944', '1043', '1167', '531', '171', '416', '912', '92', '1110', '1088', '832', '1157', '1070', '595', '239', '983', '1002', '804', '870', '303', '796', '1150', '660', '413', '390', '381', '349', '179', '860', '1010', '211', '813', '825', '990', '947', '681', '85', '930', '574', '427', '93', '236', '1160', '603', '450', '1119', '1076', '778', '332', '812', '689', '550', '5', '384', '901', '250', '691', '276', '810', '1149', '285', '721', '44', '769', '327', '830', '960', '685', '294', '83', '846', '814', '387', '856', '368', '252', '773', '1084', '628', '1039', '472', '225', '921', '1048', '253', '934', '584', '432', '707', '882', '1143', '692', '513', '998', '376', '122', '545', '457', '634', '534', '442', '636', '39']
5 ['1161', '994', '70', '795', '61', '292', '738', '1104', '199', '1172', '735', '333', '537', '431', '446', '200', '944', '1043', '1167', '531', '171', '416', '912', '92', '1110', '1088', '832', '1157', '595', '239', '983', '1002', '804', '870', '303', '796', '1150', '660', '413', '390', '381', '349', '179', '860', '1010', '211', '813', '825', '990', '947', '681', '85', '930', '574', '427', '93', '236', '1160', '603', '450', '1119', '1076', '778', '332', '812', '550', '5', '384', '901', '250', '691', '276', '810', '1149', '285', '721', '44', '769', '327', '830', '960', '685', '294', '83', '846', '814', '387', '856', '368', '252', '773', '1084', '628', '1039', '472', '225', '921', '1048', '253', '934', '584', '432', '707', '882', '1143', '692', '513', '998', '376', '122', '545', '457', '634', '534', '442', '636', '39', '1070', '190']
6 ['1161', '994', '70', '795', '61', '292', '738', '1104', '199', '1172', '735', '333', '537', '431', '446', '200', '944', '1043', '1167', '531', '171', '416', '912', '92', '1110', '1088', '832', '1157', '595', '239', '983', '1002', '804', '870', '303', '796', '1150', '660', '413', '390', '381', '349', '179', '860', '1010', '211', '813', '825', '990', '947', '681', '85', '930', '574', '427', '93', '236', '1160', '603', '450', '1119', '1076', '778', '332', '812', '550', '5', '384', '901', '250', '691', '276', '810', '1149', '285', '721', '44', '769', '327', '830', '960', '685', '294', '83', '846', '387', '856', '368', '252', '773', '1084', '628', '1039', '472', '225', '921', '1048', '253', '934', '584', '432', '707', '882', '1143', '692', '513', '998', '376', '122', '545', '457', '634', '534', '442', '636', '39', '1070', '190', '674']
7 ['1161', '994', '70', '795', '61', '292', '738', '1104', '199', '1172', '735', '333', '537', '431', '446', '200', '944', '1043', '1167', '531', '171', '416', '912', '92', '1110', '1088', '832', '1157', '595', '239', '983', '1002', '804', '870', '303', '796', '1150', '660', '413', '390', '381', '349', '179', '860', '1010', '211', '813', '825', '990', '947', '681', '85', '930', '574', '427', '93', '236', '1160', '603', '450', '1119', '1076', '778', '332', '812', '550', '5', '384', '901', '250', '691', '276', '810', '1149', '285', '721', '44', '769', '327', '830', '960', '685', '294', '83', '846', '387', '856', '368', '252', '773', '1084', '628', '1039', '472', '225', '921', '1048', '253', '934', '584', '432', '707', '882', '1143', '692', '513', '998', '376', '122', '545', '634', '534', '442', '636', '39', '1070', '190', '674', '393']
8 ['1161', '994', '70', '795', '61', '292', '738', '1104', '199', '1172', '735', '333', '537', '431', '446', '200', '1043', '1167', '531', '171', '416', '912', '92', '1110', '1088', '832', '1157', '595', '239', '983', '1002', '804', '870', '303', '796', '1150', '660', '413', '390', '381', '349', '179', '860', '1010', '211', '813', '825', '990', '947', '681', '85', '930', '574', '427', '93', '236', '1160', '603', '450', '1119', '1076', '778', '332', '812', '550', '5', '384', '901', '250', '691', '276', '810', '1149', '285', '721', '44', '769', '327', '830', '960', '685', '294', '83', '846', '387', '856', '368', '252', '773', '1084', '628', '1039', '472', '225', '921', '1048', '253', '934', '584', '432', '707', '882', '1143', '692', '513', '998', '376', '122', '545', '634', '534', '442', '636', '39', '1070', '190', '674', '393', '988']
9 ['1161', '994', '70', '795', '61', '292', '738', '1104', '199', '1172', '735', '333', '537', '431', '446', '200', '1043', '1167', '531', '171', '416', '912', '92', '1110', '1088', '832', '1157', '595', '239', '983', '1002', '804', '870', '303', '796', '1150', '660', '413', '381', '349', '179', '860', '1010', '211', '813', '825', '990', '947', '681', '85', '930', '574', '427', '93', '236', '1160', '603', '450', '1119', '1076', '778', '332', '812', '550', '5', '384', '901', '250', '691', '276', '810', '1149', '285', '721', '44', '769', '327', '830', '960', '685', '294', '83', '846', '387', '856', '368', '252', '773', '1084', '628', '1039', '472', '225', '921', '1048', '253', '934', '584', '432', '707', '882', '1143', '692', '513', '998', '376', '122', '545', '634', '534', '442', '636', '39', '1070', '190', '674', '393', '988', '124']
10 ['1161', '994', '70', '795', '61', '292', '738', '1104', '199', '1172', '735', '333', '537', '431', '446', '200', '1043', '1167', '531', '171', '416', '912', '92', '1110', '1088', '832', '1157', '595', '239', '983', '1002', '804', '870', '303', '796', '1150', '660', '413', '381', '349', '179', '860', '1010', '211', '813', '825', '990', '947', '681', '85', '930', '574', '427', '93', '236', '1160', '603', '450', '1119', '1076', '778', '332', '812', '550', '5', '384', '901', '250', '691', '276', '810', '1149', '285', '721', '44', '769', '327', '830', '960', '685', '294', '83', '846', '387', '856', '368', '252', '773', '1084', '628', '1039', '472', '225', '921', '1048', '253', '934', '584', '432', '707', '882', '1143', '692', '513', '998', '376', '122', '545', '634', '534', '442', '636', '39', '1070', '190', '674', '393', '988', '124']
11 ['1161', '994', '70', '795', '61', '292', '738', '1104', '199', '1172', '735', '333', '537', '431', '446', '200', '1043', '1167', '531', '171', '416', '912', '92', '1110', '1088', '832', '1157', '595', '239', '983', '1002', '804', '870', '303', '796', '1150', '660', '413', '381', '349', '179', '1010', '211', '813', '825', '990', '947', '681', '85', '930', '574', '427', '93', '236', '1160', '603', '450', '1119', '1076', '778', '332', '812', '550', '5', '384', '901', '250', '691', '276', '810', '1149', '285', '721', '44', '769', '327', '830', '960', '685', '294', '83', '846', '387', '856', '368', '252', '773', '1084', '628', '1039', '472', '225', '921', '1048', '253', '934', '584', '432', '707', '882', '1143', '692', '513', '998', '376', '122', '545', '634', '534', '442', '636', '39', '1070', '190', '674', '393', '988', '124', '868']
12 ['1161', '994', '70', '795', '61', '292', '738', '1104', '199', '1172', '735', '333', '537', '431', '446', '200', '1043', '1167', '531', '171', '416', '912', '92', '1110', '1088', '832', '1157', '595', '239', '983', '1002', '804', '870', '303', '796', '1150', '660', '413', '381', '349', '179', '1010', '211', '813', '825', '990', '947', '681', '85', '930', '574', '427', '93', '236', '1160', '603', '450', '1119', '1076', '778', '332', '550', '5', '384', '901', '250', '691', '276', '810', '1149', '285', '721', '44', '769', '327', '830', '960', '685', '294', '83', '846', '387', '856', '368', '252', '773', '1084', '628', '1039', '472', '225', '921', '1048', '253', '934', '584', '432', '707', '882', '1143', '692', '513', '998', '376', '122', '545', '634', '534', '442', '636', '39', '1070', '190', '674', '393', '988', '124', '868', '353']
13 ['1161', '994', '70', '795', '61', '292', '738', '1104', '199', '1172', '735', '333', '537', '431', '446', '200', '1043', '1167', '531', '171', '416', '912', '92', '1110', '1088', '832', '1157', '595', '239', '983', '1002', '804', '870', '303', '796', '1150', '660', '413', '381', '349', '179', '1010', '211', '813', '825', '990', '947', '681', '85', '930', '574', '427', '93', '236', '1160', '603', '450', '1119', '1076', '778', '332', '550', '5', '384', '901', '250', '691', '276', '810', '1149', '285', '44', '769', '327', '830', '960', '685', '294', '83', '846', '387', '856', '368', '252', '773', '1084', '628', '1039', '472', '225', '921', '1048', '253', '934', '584', '432', '707', '882', '1143', '692', '513', '998', '376', '122', '545', '634', '534', '442', '636', '39', '1070', '190', '674', '393', '988', '124', '868', '353', '189']
