0 ['201', '75', '188', '35', '83', '252', '210', '238', '256', '325', '204', '170', '265', '12', '148']
1 ['75', '188', '35', '83', '252', '210', '238', '256', '325', '204', '170', '265', '12', '148', '237']
2 ['75', '188', '35', '83', '252', '210', '238', '256', '325', '204', '170', '265', '12', '148', '237']
3 ['75', '188', '35', '83', '252', '210', '238', '256', '325', '204', '170', '265', '12', '148', '237']
4 ['75', '188', '35', '83', '252', '210', '238', '256', '325', '204', '170', '265', '12', '148', '237']
5 ['75', '188', '35', '83', '252', '210', '238', '256', '325', '204', '170', '265', '12', '148', '237']
6 ['75', '188', '35', '83', '252', '210', '238', '256', '325', '204', '170', '265', '12', '148', '237']
7 ['75', '188', '35', '83', '252', '210', '238', '256', '325', '204', '170', '265', '12', '148', '237']
8 ['75', '188', '35', '83', '252', '210', '238', '256', '325', '204', '170', '265', '12', '148', '237']
9 ['75', '188', '35', '83', '252', '210', '238', '256', '325', '204', '170', '265', '12', '148', '237']
10 ['75', '188', '35', '83', '252', '210', '238', '256', '325', '204', '170', '265', '12', '148', '237']
11 ['75', '188', '35', '83', '252', '210', '238', '256', '325', '204', '170', '265', '12', '148', '237']
22 ['238', '148', '237', '318', '292', '312', '145', '64', '163', '247', '51', '53', '299', '83', '217']
23 ['238', '148', '237', '318', '292', '312', '145', '64', '163', '247', '51', '53', '299', '83', '217']
24 ['238', '148', '237', '83', '217', '137', '299', '172', '52', '79', '247', '323', '65', '162', '43']
25 ['238', '148', '237', '83', '217', '137', '299', '172', '52', '79', '247', '323', '162', '43', '272']
26 ['238', '148', '237', '83', '217', '137', '299', '172', '52', '79', '247', '323', '162', '43', '272']
27 ['238', '148', '237', '83', '217', '137', '299', '172', '52', '79', '247', '323', '162', '43', '272']
28 ['238', '148', '237', '83', '217', '137', '299', '172', '52', '79', '247', '323', '162', '43', '272']
29 ['238', '148', '237', '83', '217', '137', '299', '172', '52', '79', '247', '323', '162', '43', '272']
30 ['238', '148', '237', '83', '217', '137', '299', '172', '52', '79', '247', '323', '162', '43', '272']
31 ['238', '148', '237', '83', '217', '137', '299', '172', '52', '79', '247', '323', '162', '43', '272']
32 ['238', '148', '237', '83', '217', '137', '299', '172', '52', '79', '247', '323', '162', '43', '272']
33 ['238', '148', '237', '83', '217', '137', '299', '172', '52', '79', '247', '323', '162', '43', '272']
34 ['238', '148', '237', '83', '217', '137', '299', '172', '52', '79', '247', '323', '162', '43', '272']
35 ['238', '148', '237', '217', '43', '133', '164', '240', '315', '316', '77', '74', '250', '126', '129']
36 ['238', '148', '237', '217', '43', '164', '240', '315', '316', '77', '74', '250', '126', '129', '221']
37 ['238', '148', '237', '217', '43', '240', '315', '316', '77', '74', '250', '126', '129', '221', '185']
38 ['238', '148', '237', '217', '43', '315', '316', '77', '74', '250', '126', '129', '221', '185', '45']
39 ['238', '148', '237', '217', '43', '315', '316', '77', '74', '250', '126', '129', '221', '185', '45']
40 ['238', '148', '237', '217', '43', '315', '316', '77', '74', '250', '126', '129', '221', '185', '45']
41 ['238', '237', '217', '43', '315', '316', '77', '74', '250', '126', '129', '221', '185', '45', '256']
