0 ['46', '142', '161', '301', '183', '185', '188', '100', '102', '244', '121', '98', '99', '84', '275']
1 ['46', '142', '161', '301', '183', '185', '188', '100', '102', '244', '121', '98', '99', '84', '275']
2 ['46', '142', '161', '301', '183', '185', '188', '100', '102', '244', '121', '98', '99', '84', '275']
3 ['46', '142', '161', '301', '183', '185', '188', '100', '102', '244', '121', '98', '99', '84', '275']
4 ['46', '142', '161', '301', '183', '185', '188', '100', '102', '244', '121', '98', '99', '84', '275']
5 ['46', '142', '161', '301', '183', '185', '188', '100', '102', '244', '121', '98', '99', '84', '275']
6 ['46', '142', '161', '301', '183', '185', '188', '100', '102', '244', '121', '98', '99', '84', '275']
7 ['183', '185', '102', '244', '121', '98', '99', '84', '275', '286', '167', '15', '79', '274', '118']
8 ['183', '185', '244', '121', '98', '99', '84', '275', '286', '167', '15', '79', '274', '118', '45']
9 ['183', '185', '244', '121', '98', '99', '84', '275', '286', '167', '15', '79', '118', '45', '1']
10 ['183', '185', '244', '121', '98', '99', '84', '275', '286', '167', '79', '118', '45', '1', '144']
11 ['183', '185', '244', '121', '98', '99', '84', '275', '286', '167', '79', '118', '45', '1', '144']
12 ['183', '185', '98', '99', '84', '275', '286', '167', '79', '118', '45', '1', '144', '222', '245']
13 ['183', '185', '98', '99', '84', '275', '286', '167', '79', '118', '45', '1', '144', '222', '245']
14 ['183', '185', '98', '99', '84', '275', '286', '167', '79', '118', '45', '1', '144', '222', '245']
15 ['183', '185', '98', '99', '84', '275', '286', '167', '79', '118', '45', '1', '144', '222', '245']
16 ['183', '185', '98', '99', '84', '275', '286', '167', '79', '118', '45', '1', '144', '222', '245']
17 ['183', '185', '98', '99', '84', '275', '286', '167', '79', '118', '45', '1', '144', '222', '245']
18 ['183', '185', '98', '99', '84', '275', '286', '167', '79', '118', '45', '1', '144', '222', '245']
19 ['183', '185', '98', '99', '84', '275', '286', '167', '79', '118', '45', '1', '144', '222', '245']
20 ['183', '185', '98', '99', '84', '275', '286', '167', '79', '118', '45', '1', '144', '222', '245']
21 ['183', '185', '98', '99', '84', '275', '286', '167', '79', '118', '45', '1', '144', '222', '245']
22 ['183', '185', '275', '118', '45', '1', '144', '222', '245', '247', '37', '296', '218', '255', '78']
23 ['183', '185', '275', '118', '45', '1', '144', '222', '245', '247', '37', '296', '218', '255', '78']
24 ['183', '185', '275', '118', '45', '1', '144', '222', '245', '247', '37', '296', '218', '255', '78']
25 ['183', '185', '275', '118', '45', '1', '144', '222', '245', '247', '37', '296', '218', '255', '78']
26 ['183', '185', '275', '118', '45', '1', '144', '222', '245', '247', '37', '296', '218', '255', '78']
27 ['183', '185', '275', '118', '45', '245', '37', '296', '218', '255', '78', '22', '210', '197', '321']
28 ['183', '185', '275', '118', '45', '245', '37', '296', '218', '255', '78', '22', '197', '321', '226']
29 ['183', '185', '275', '118', '45', '245', '37', '296', '218', '255', '78', '22', '197', '321', '226']
30 ['183', '185', '275', '118', '45', '245', '37', '296', '218', '255', '78', '22', '197', '321', '226']
31 ['183', '185', '275', '118', '45', '245', '37', '296', '218', '255', '78', '22', '197', '321', '226']
32 ['183', '185', '275', '118', '45', '245', '37', '296', '218', '255', '78', '22', '197', '321', '226']
33 ['183', '185', '275', '118', '45', '245', '37', '296', '218', '255', '78', '22', '197', '321', '226']
34 ['183', '185', '275', '118', '45', '245', '218', '255', '78', '22', '197', '321', '226', '73', '62']
35 ['183', '185', '275', '118', '45', '245', '218', '255', '78', '22', '197', '321', '226', '73', '62']
36 ['183', '185', '275', '118', '45', '245', '218', '255', '78', '22', '197', '321', '226', '73', '62']
37 ['183', '185', '275', '118', '45', '245', '255', '197', '321', '226', '73', '62', '284', '232', '280']
38 ['183', '185', '275', '118', '45', '245', '255', '197', '321', '226', '73', '62', '284', '232', '280']
39 ['183', '185', '275', '118', '45', '245', '255', '197', '321', '226', '73', '62', '284', '232', '280']
40 ['183', '185', '275', '118', '45', '245', '255', '197', '321', '226', '73', '62', '284', '232', '280']
41 ['183', '185', '275', '118', '45', '245', '255', '197', '321', '226', '73', '62', '284', '232', '280']
42 ['183', '185', '275', '118', '45', '245', '255', '197', '321', '226', '73', '62', '284', '232', '280']
43 ['183', '185', '275', '118', '45', '245', '255', '197', '321', '226', '73', '62', '284', '232', '280']
44 ['183', '185', '275', '118', '45', '245', '255', '197', '321', '226', '73', '62', '284', '232', '280']
45 ['183', '185', '275', '118', '45', '245', '255', '197', '321', '226', '73', '62', '284', '232', '280']
46 ['183', '185', '275', '118', '45', '245', '255', '197', '321', '226', '73', '62', '284', '232', '280']
47 ['183', '185', '275', '118', '45', '245', '255', '197', '321', '226', '73', '62', '284', '232', '280']
58 ['183', '185', '275', '118', '45', '245', '255', '321', '280', '290', '325', '93', '110', '62', '9']
59 ['183', '185', '275', '118', '45', '245', '255', '321', '280', '290', '325', '93', '110', '62', '9']
60 ['183', '185', '275', '118', '45', '245', '255', '321', '280', '290', '325', '93', '110', '62', '9']
61 ['183', '185', '275', '118', '45', '245', '255', '321', '280', '290', '325', '93', '110', '62', '9']
62 ['183', '185', '275', '118', '45', '245', '255', '321', '280', '290', '325', '93', '110', '62', '9']
63 ['183', '185', '275', '118', '45', '245', '255', '321', '280', '290', '325', '93', '110', '62', '9']
64 ['183', '185', '275', '118', '45', '245', '255', '321', '280', '290', '325', '93', '110', '62', '9']
65 ['183', '185', '275', '118', '45', '245', '255', '321', '280', '290', '325', '93', '110', '62', '9']
66 ['183', '185', '275', '118', '45', '245', '255', '321', '280', '290', '325', '93', '110', '62', '9']
