0 ['163', '17', '256', '24', '200', '13', '51', '230', '64', '115', '36', '275', '205', '272', '62']
1 ['163', '17', '256', '24', '200', '13', '51', '230', '64', '115', '36', '275', '205', '272', '62']
2 ['163', '17', '256', '24', '200', '13', '51', '230', '64', '115', '36', '275', '205', '272', '62']
3 ['163', '17', '256', '24', '200', '13', '51', '230', '64', '115', '36', '275', '205', '272', '62']
4 ['163', '17', '256', '24', '200', '13', '51', '230', '64', '115', '36', '275', '205', '272', '62']
5 ['163', '17', '256', '24', '200', '13', '51', '230', '64', '115', '36', '275', '205', '272', '62']
6 ['163', '17', '256', '24', '200', '13', '51', '230', '64', '115', '36', '275', '205', '272', '62']
7 ['163', '17', '256', '24', '200', '13', '51', '230', '64', '115', '36', '275', '205', '272', '62']
8 ['163', '17', '256', '24', '200', '13', '51', '230', '64', '115', '36', '275', '205', '272', '62']
9 ['163', '17', '256', '24', '200', '13', '51', '230', '64', '115', '36', '275', '205', '272', '62']
10 ['163', '17', '256', '24', '200', '13', '51', '230', '64', '115', '36', '275', '205', '272', '62']
21 ['24', '275', '62', '87', '71', '50', '74', '124', '122', '128', '296', '238', '151', '142', '117']
22 ['24', '275', '62', '87', '71', '50', '74', '124', '122', '128', '296', '238', '151', '142', '117']
23 ['24', '275', '62', '87', '71', '50', '74', '124', '122', '128', '296', '238', '151', '142', '117']
24 ['24', '275', '62', '87', '71', '50', '74', '124', '122', '128', '296', '238', '151', '142', '117']
25 ['24', '275', '117', '197', '78', '190', '98', '194', '210', '152', '65', '12', '238', '41', '68']
26 ['24', '275', '117', '197', '78', '190', '98', '194', '210', '152', '65', '12', '238', '41', '68']
27 ['24', '275', '117', '190', '98', '194', '210', '152', '65', '12', '238', '41', '68', '13', '326']
28 ['24', '275', '117', '98', '194', '210', '152', '65', '12', '238', '41', '68', '13', '326', '221']
29 ['24', '275', '117', '98', '194', '210', '152', '65', '12', '238', '41', '68', '13', '326', '221']
30 ['24', '275', '117', '98', '194', '210', '152', '65', '12', '238', '41', '68', '13', '326', '221']
31 ['24', '275', '117', '98', '194', '210', '152', '65', '12', '238', '41', '68', '13', '326', '221']
32 ['24', '275', '117', '98', '194', '210', '152', '65', '12', '238', '41', '68', '13', '326', '221']
33 ['24', '275', '117', '98', '194', '210', '152', '65', '12', '238', '41', '68', '13', '326', '221']
34 ['24', '275', '117', '98', '194', '210', '152', '65', '12', '238', '41', '68', '13', '326', '221']
35 ['24', '275', '117', '98', '194', '210', '152', '65', '12', '238', '41', '68', '13', '326', '221']
36 ['24', '275', '117', '98', '194', '210', '152', '65', '12', '238', '41', '68', '13', '326', '221']
37 ['24', '275', '117', '68', '326', '221', '91', '276', '103', '305', '307', '5', '141', '59', '255']
