0 ['168', '2', '132', '22', '202', '106', '31', '210', '308', '282', '137', '145', '149', '85', '123']
1 ['2', '132', '22', '202', '106', '31', '210', '308', '282', '137', '145', '149', '85', '123', '208']
2 ['132', '22', '202', '106', '31', '210', '308', '282', '137', '145', '149', '85', '123', '208', '221']
3 ['132', '22', '202', '106', '31', '210', '308', '282', '137', '145', '149', '85', '123', '208', '221']
4 ['132', '22', '202', '106', '31', '210', '308', '282', '137', '145', '149', '85', '123', '208', '221']
5 ['132', '22', '202', '106', '31', '210', '308', '282', '137', '145', '149', '85', '123', '208', '221']
6 ['132', '22', '202', '106', '31', '210', '308', '282', '137', '145', '149', '85', '123', '208', '221']
7 ['132', '22', '202', '106', '31', '210', '308', '282', '137', '145', '149', '85', '123', '208', '221']
8 ['132', '22', '202', '106', '31', '210', '308', '282', '137', '145', '149', '85', '123', '208', '221']
9 ['132', '22', '202', '106', '31', '210', '308', '282', '137', '145', '149', '85', '123', '208', '221']
10 ['132', '22', '202', '106', '31', '210', '308', '282', '137', '145', '149', '85', '123', '208', '221']
11 ['106', '31', '282', '85', '123', '208', '221', '252', '200', '132', '285', '176', '177', '6', '183']
12 ['106', '31', '282', '85', '123', '208', '221', '252', '200', '132', '176', '177', '6', '183', '44']
13 ['106', '31', '282', '85', '123', '221', '252', '200', '132', '176', '177', '6', '183', '44', '295']
14 ['106', '31', '282', '85', '123', '221', '252', '200', '132', '176', '177', '6', '183', '44', '295']
15 ['106', '31', '282', '85', '123', '221', '252', '200', '132', '176', '177', '6', '183', '44', '295']
16 ['106', '31', '282', '85', '123', '221', '252', '200', '132', '176', '177', '6', '183', '44', '295']
17 ['106', '31', '282', '123', '221', '132', '176', '177', '6', '183', '44', '295', '21', '174', '157']
18 ['106', '31', '282', '123', '221', '132', '176', '177', '6', '183', '44', '21', '174', '157', '16']
19 ['106', '31', '282', '123', '221', '132', '176', '177', '6', '183', '44', '21', '174', '157', '16']
20 ['106', '31', '282', '123', '221', '132', '176', '177', '6', '183', '44', '21', '174', '157', '16']
21 ['106', '31', '282', '123', '221', '132', '176', '177', '6', '183', '44', '21', '174', '157', '16']
22 ['106', '31', '282', '123', '221', '132', '183', '21', '174', '157', '16', '8', '305', '71', '43']
23 ['106', '31', '282', '123', '221', '132', '183', '21', '174', '157', '16', '8', '71', '43', '251']
