0 ['146', '67', '49', '32', '4', '304', '94', '236', '152', '155', '130', '56', '95', '25', '265']
1 ['146', '67', '49', '32', '4', '304', '94', '236', '152', '155', '130', '56', '95', '25', '265']
2 ['146', '67', '49', '32', '4', '304', '94', '236', '152', '155', '130', '56', '95', '25', '265']
3 ['146', '67', '304', '94', '236', '152', '155', '130', '56', '95', '25', '265', '120', '162', '237']
4 ['146', '67', '94', '236', '152', '155', '130', '56', '95', '25', '265', '120', '162', '237', '18']
5 ['146', '67', '94', '236', '152', '155', '130', '56', '95', '25', '265', '120', '162', '237', '18']
6 ['146', '67', '94', '236', '152', '155', '130', '56', '95', '25', '265', '120', '162', '237', '18']
7 ['146', '67', '94', '236', '152', '155', '130', '56', '95', '25', '265', '120', '162', '237', '18']
8 ['146', '67', '94', '236', '152', '155', '130', '56', '95', '25', '265', '120', '162', '237', '18']
9 ['146', '67', '94', '236', '152', '155', '130', '56', '95', '25', '265', '120', '162', '237', '18']
10 ['146', '67', '94', '236', '152', '155', '130', '56', '95', '25', '265', '120', '162', '237', '18']
11 ['146', '67', '94', '236', '152', '155', '130', '56', '95', '25', '265', '120', '162', '237', '18']
12 ['146', '67', '94', '236', '152', '155', '130', '56', '95', '25', '265', '120', '162', '237', '18']
13 ['146', '67', '155', '162', '237', '18', '188', '50', '153', '174', '101', '260', '150', '296', '221']
14 ['146', '67', '155', '162', '237', '18', '188', '50', '153', '174', '101', '260', '150', '296', '221']
15 ['146', '67', '155', '162', '237', '18', '188', '50', '153', '174', '101', '260', '150', '296', '221']
16 ['146', '67', '155', '162', '237', '18', '188', '50', '153', '174', '101', '260', '150', '296', '221']
17 ['146', '67', '155', '162', '237', '18', '188', '50', '153', '174', '101', '260', '150', '296', '221']
18 ['146', '67', '155', '162', '237', '18', '188', '50', '153', '174', '101', '260', '150', '296', '221']
19 ['146', '67', '155', '162', '237', '18', '188', '50', '153', '174', '101', '260', '150', '296', '221']
20 ['146', '67', '155', '162', '237', '18', '188', '50', '153', '174', '101', '260', '150', '296', '221']
21 ['146', '67', '155', '162', '237', '18', '188', '50', '153', '174', '101', '260', '150', '296', '221']
22 ['146', '67', '155', '162', '237', '18', '188', '50', '153', '174', '101', '260', '150', '296', '221']
23 ['146', '67', '155', '237', '18', '221', '314', '277', '250', '144', '182', '252', '169', '173', '264']
24 ['67', '155', '237', '18', '221', '314', '277', '250', '144', '182', '252', '169', '173', '264', '286']
25 ['67', '155', '237', '18', '221', '314', '277', '250', '144', '182', '252', '169', '173', '264', '286']
26 ['67', '155', '237', '18', '221', '314', '277', '250', '144', '182', '252', '169', '173', '264', '286']
27 ['67', '155', '237', '18', '221', '314', '277', '250', '144', '182', '252', '169', '173', '264', '286']
28 ['67', '155', '237', '18', '221', '182', '252', '169', '173', '264', '286', '101', '288', '86', '275']
29 ['67', '155', '237', '18', '221', '182', '252', '173', '264', '286', '101', '288', '86', '275', '57']
30 ['67', '155', '237', '18', '221', '182', '252', '173', '264', '286', '101', '288', '86', '275', '57']
31 ['67', '155', '237', '18', '221', '182', '252', '173', '264', '286', '101', '288', '86', '275', '57']
32 ['155', '237', '18', '221', '173', '264', '286', '101', '288', '86', '275', '57', '110', '67', '68']
33 ['155', '237', '18', '221', '173', '264', '286', '101', '288', '86', '275', '57', '110', '67', '68']
34 ['155', '237', '18', '221', '173', '264', '286', '101', '288', '86', '275', '57', '110', '67', '68']
35 ['155', '237', '18', '221', '173', '264', '286', '101', '288', '86', '275', '57', '110', '67', '68']
36 ['155', '237', '18', '221', '173', '264', '286', '101', '288', '86', '275', '57', '110', '67', '68']
37 ['155', '237', '18', '221', '173', '264', '286', '101', '288', '86', '275', '57', '110', '67', '68']
38 ['155', '237', '18', '221', '173', '264', '286', '101', '288', '86', '275', '57', '110', '67', '68']
39 ['155', '237', '18', '221', '173', '264', '286', '101', '288', '86', '275', '57', '110', '67', '68']
40 ['155', '237', '18', '221', '173', '264', '286', '101', '288', '86', '275', '57', '110', '67', '68']
