0 ['227', '223', '260', '82', '171', '247', '105', '187', '206', '5', '9', '113', '184', '266', '211']
1 ['227', '223', '260', '82', '171', '247', '105', '187', '206', '5', '9', '113', '184', '266', '211']
2 ['227', '223', '260', '82', '171', '247', '105', '187', '206', '5', '9', '113', '184', '266', '211']
3 ['227', '223', '260', '82', '171', '247', '105', '187', '206', '5', '9', '113', '184', '266', '211']
4 ['227', '223', '260', '82', '171', '247', '105', '187', '206', '5', '9', '113', '184', '266', '211']
5 ['227', '223', '260', '82', '171', '247', '105', '187', '206', '5', '9', '113', '184', '266', '211']
6 ['227', '223', '260', '82', '171', '247', '105', '187', '206', '5', '9', '113', '184', '266', '211']
7 ['227', '223', '260', '82', '171', '247', '105', '187', '206', '5', '9', '113', '184', '266', '211']
8 ['105', '9', '113', '184', '266', '211', '244', '14', '274', '15', '96', '59', '171', '224', '291']
9 ['105', '9', '113', '184', '266', '211', '244', '14', '274', '15', '96', '59', '171', '224', '291']
10 ['105', '9', '113', '184', '266', '211', '244', '14', '274', '15', '96', '59', '171', '224', '291']
11 ['105', '9', '113', '184', '266', '211', '244', '14', '274', '15', '96', '59', '171', '224', '291']
12 ['105', '9', '113', '184', '266', '211', '244', '14', '274', '15', '96', '59', '171', '224', '291']
13 ['105', '9', '113', '184', '266', '211', '244', '14', '274', '15', '96', '59', '171', '224', '291']
14 ['105', '9', '274', '15', '96', '59', '171', '224', '291', '120', '325', '99', '168', '90', '106']
15 ['105', '9', '274', '15', '96', '59', '171', '224', '291', '120', '325', '99', '168', '90', '106']
16 ['105', '9', '274', '15', '96', '59', '171', '224', '291', '120', '325', '99', '168', '90', '106']
17 ['105', '9', '274', '15', '96', '59', '171', '224', '291', '120', '325', '99', '168', '90', '106']
18 ['105', '9', '274', '15', '96', '59', '171', '224', '291', '120', '325', '99', '168', '90', '106']
19 ['105', '9', '224', '291', '120', '325', '99', '168', '90', '106', '21', '213', '96', '248', '18']
20 ['105', '9', '224', '291', '120', '325', '99', '168', '90', '106', '21', '213', '96', '248', '18']
21 ['105', '9', '224', '291', '120', '325', '99', '168', '90', '106', '21', '213', '96', '248', '18']
22 ['105', '9', '224', '291', '120', '325', '99', '168', '90', '106', '21', '213', '96', '248', '18']
23 ['105', '9', '291', '99', '168', '90', '106', '21', '213', '96', '248', '18', '233', '56', '264']
24 ['105', '9', '291', '99', '168', '90', '106', '21', '213', '96', '248', '18', '233', '56', '264']
25 ['105', '9', '291', '99', '168', '90', '106', '21', '213', '96', '248', '18', '233', '56', '264']
26 ['105', '9', '291', '106', '21', '213', '96', '248', '18', '233', '56', '264', '46', '95', '321']
27 ['105', '9', '291', '106', '21', '213', '96', '18', '233', '56', '264', '46', '95', '321', '298']
28 ['105', '9', '291', '106', '21', '213', '96', '18', '233', '56', '264', '46', '95', '321', '298']
29 ['105', '9', '291', '106', '21', '213', '96', '18', '233', '56', '264', '46', '95', '321', '298']
30 ['105', '9', '291', '106', '21', '213', '96', '18', '233', '56', '264', '46', '95', '321', '298']
31 ['105', '9', '291', '106', '21', '213', '96', '18', '233', '56', '264', '46', '95', '321', '298']
32 ['105', '9', '291', '106', '21', '213', '96', '18', '233', '56', '264', '46', '95', '321', '298']
33 ['105', '9', '291', '106', '21', '213', '96', '18', '233', '56', '264', '46', '95', '321', '298']
34 ['105', '9', '291', '106', '18', '264', '95', '321', '298', '191', '73', '215', '46', '8', '278']
35 ['105', '9', '291', '106', '18', '264', '95', '321', '298', '191', '215', '46', '8', '278', '16']
36 ['105', '9', '291', '106', '18', '264', '95', '321', '298', '191', '215', '46', '8', '278', '16']
37 ['105', '9', '291', '106', '18', '264', '95', '321', '298', '191', '215', '46', '8', '278', '16']
38 ['105', '9', '291', '106', '18', '264', '321', '215', '46', '8', '278', '16', '140', '44', '311']
39 ['105', '9', '291', '106', '18', '264', '321', '215', '46', '8', '278', '16', '140', '44', '311']
40 ['105', '9', '291', '106', '18', '264', '321', '8', '278', '16', '140', '44', '311', '36', '118']
41 ['105', '9', '291', '106', '18', '264', '321', '8', '278', '16', '140', '44', '311', '36', '118']
42 ['105', '9', '291', '106', '18', '264', '321', '8', '278', '16', '140', '44', '311', '36', '118']
43 ['105', '9', '291', '106', '18', '264', '321', '8', '278', '16', '140', '44', '311', '36', '118']
44 ['105', '9', '291', '106', '18', '264', '321', '8', '278', '16', '140', '44', '311', '36', '118']
45 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '46', '55', '33', '304', '239']
46 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '55', '33', '304', '239', '138']
47 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '55', '33', '304', '239', '138']
48 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '55', '33', '304', '239', '138']
49 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '55', '33', '304', '239', '138']
50 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '55', '33', '304', '239', '138']
51 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '273', '257', '195', '117']
52 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '273', '257', '195', '117']
53 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '195', '117', '283', '297']
54 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '195', '117', '283', '297']
55 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '195', '117', '283', '297']
56 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '195', '117', '283', '297']
57 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '195', '117', '283', '297']
58 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '195', '117', '283', '297']
59 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '195', '117', '283', '297']
60 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '195', '117', '283', '297']
61 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '195', '117', '283', '297']
62 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '195', '117', '283', '297']
63 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '195', '117', '283', '297']
74 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '97', '54']
75 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '97', '54']
76 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '97', '54']
77 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '97', '54']
78 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '97', '54']
79 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '97', '54']
80 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '97', '54']
81 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '97', '54']
82 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '97', '54']
83 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '97', '54']
94 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '54', '124']
95 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '54', '124']
96 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '54', '124']
97 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '54', '124']
98 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '54', '124']
99 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '54', '124']
100 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '54', '43']
101 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '54', '43']
102 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '54', '43']
103 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '54', '43']
104 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '54', '43']
105 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '54', '43']
106 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '54', '43']
107 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '54', '43']
108 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '54', '43']
109 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '54', '43']
110 ['105', '9', '291', '106', '18', '264', '321', '278', '311', '118', '239', '117', '297', '54', '43']
121 ['105', '9', '291', '106', '18', '264', '321', '278', '118', '239', '117', '54', '43', '297', '193']
122 ['105', '9', '291', '106', '18', '264', '321', '278', '118', '239', '117', '54', '43', '297', '193']
123 ['105', '9', '291', '106', '18', '264', '321', '278', '118', '239', '117', '54', '43', '297', '193']
124 ['105', '9', '291', '106', '18', '264', '321', '278', '118', '239', '117', '54', '43', '297', '193']
125 ['105', '9', '291', '106', '18', '264', '321', '278', '118', '239', '117', '54', '43', '297', '193']
126 ['105', '9', '291', '106', '18', '264', '321', '278', '118', '239', '117', '54', '43', '297', '193']
127 ['105', '9', '291', '106', '18', '264', '321', '278', '118', '239', '117', '54', '43', '297', '193']
128 ['105', '9', '291', '106', '18', '264', '321', '278', '118', '239', '117', '54', '43', '297', '193']
129 ['105', '9', '291', '106', '18', '264', '321', '278', '118', '239', '117', '54', '43', '297', '193']
130 ['105', '9', '291', '106', '18', '264', '321', '278', '118', '239', '117', '54', '43', '297', '193']
141 ['105', '9', '291', '106', '18', '264', '321', '278', '118', '239', '117', '43', '297', '193', '188']
142 ['105', '9', '291', '106', '18', '264', '321', '278', '118', '239', '117', '43', '297', '193', '188']
143 ['105', '9', '291', '106', '18', '264', '321', '278', '118', '239', '117', '43', '297', '193', '188']
144 ['105', '9', '291', '106', '18', '264', '321', '278', '118', '239', '117', '43', '297', '193', '188']
145 ['105', '9', '291', '106', '18', '264', '321', '278', '118', '239', '117', '43', '297', '193', '132']
146 ['105', '9', '291', '106', '18', '264', '321', '278', '118', '239', '117', '43', '297', '193', '132']
