0 ['223', '225', '241', '171', '211', '17', '61', '232', '302', '130', '203', '98', '6', '41', '187']
1 ['223', '225', '241', '171', '211', '17', '61', '232', '302', '130', '203', '98', '6', '41', '187']
2 ['223', '225', '241', '171', '211', '17', '61', '232', '302', '130', '203', '98', '6', '41', '187']
3 ['223', '225', '241', '171', '211', '17', '61', '232', '302', '130', '203', '98', '6', '41', '187']
4 ['223', '225', '241', '171', '211', '17', '61', '232', '302', '130', '203', '98', '6', '41', '187']
5 ['223', '225', '241', '171', '211', '17', '61', '232', '302', '130', '203', '98', '6', '41', '187']
6 ['223', '225', '241', '171', '211', '17', '61', '232', '302', '130', '203', '98', '6', '41', '187']
7 ['223', '225', '241', '171', '211', '17', '61', '232', '302', '130', '203', '98', '6', '41', '187']
8 ['223', '225', '241', '171', '211', '17', '61', '232', '302', '130', '203', '98', '6', '41', '187']
9 ['225', '98', '6', '41', '187', '36', '44', '196', '152', '200', '53', '251', '256', '104', '129']
10 ['225', '98', '6', '41', '187', '36', '44', '196', '152', '200', '53', '251', '256', '104', '129']
11 ['225', '98', '6', '187', '36', '44', '196', '152', '200', '53', '251', '256', '129', '104', '115']
12 ['225', '98', '6', '187', '36', '44', '196', '200', '53', '251', '256', '129', '104', '115', '144']
13 ['225', '98', '6', '187', '36', '44', '196', '200', '53', '251', '256', '129', '104', '115', '144']
14 ['225', '98', '6', '187', '36', '44', '196', '200', '53', '251', '256', '129', '104', '115', '144']
15 ['225', '98', '6', '187', '36', '44', '196', '200', '53', '251', '256', '129', '104', '115', '144']
16 ['225', '98', '6', '187', '36', '44', '196', '200', '53', '251', '256', '129', '104', '115', '144']
17 ['225', '98', '6', '187', '36', '44', '196', '200', '53', '251', '256', '129', '104', '115', '144']
18 ['225', '200', '53', '251', '256', '129', '104', '115', '144', '71', '100', '274', '213', '149', '155']
19 ['225', '200', '53', '251', '256', '129', '104', '115', '144', '71', '100', '274', '213', '149', '155']
20 ['225', '200', '53', '251', '256', '129', '104', '115', '144', '71', '100', '274', '213', '149', '155']
21 ['225', '200', '53', '251', '256', '129', '104', '115', '144', '71', '100', '274', '213', '149', '155']
22 ['225', '200', '53', '251', '256', '129', '104', '115', '144', '71', '100', '274', '213', '149', '155']
23 ['225', '200', '53', '251', '256', '129', '104', '115', '144', '71', '100', '274', '213', '149', '155']
24 ['225', '129', '115', '144', '71', '100', '274', '213', '149', '155', '284', '133', '151', '125', '45']
25 ['225', '129', '115', '144', '71', '100', '274', '213', '149', '155', '284', '151', '125', '45', '268']
26 ['225', '129', '115', '144', '71', '100', '213', '149', '155', '284', '151', '125', '45', '268', '140']
27 ['225', '129', '115', '144', '71', '100', '213', '155', '284', '151', '125', '45', '268', '140', '250']
28 ['225', '129', '115', '144', '71', '100', '213', '155', '284', '151', '125', '45', '140', '250', '87']
29 ['225', '129', '115', '144', '71', '100', '213', '155', '284', '151', '125', '45', '140', '250', '87']
30 ['225', '129', '115', '144', '71', '100', '213', '155', '284', '151', '125', '45', '140', '250', '87']
31 ['225', '129', '115', '144', '71', '100', '213', '155', '284', '151', '125', '45', '140', '250', '87']
32 ['225', '129', '100', '213', '155', '284', '151', '125', '45', '140', '250', '87', '320', '109', '139']
33 ['225', '129', '100', '213', '155', '284', '151', '125', '45', '250', '87', '320', '109', '139', '117']
34 ['225', '129', '100', '213', '155', '284', '151', '125', '45', '87', '320', '109', '139', '117', '26']
35 ['225', '129', '100', '213', '155', '284', '151', '125', '45', '87', '320', '109', '139', '117', '26']
36 ['225', '129', '213', '155', '284', '151', '125', '45', '87', '320', '109', '139', '117', '26', '18']
37 ['225', '129', '213', '155', '284', '151', '125', '45', '87', '320', '109', '139', '117', '26', '18']
38 ['225', '129', '213', '155', '284', '151', '125', '45', '87', '109', '139', '117', '26', '18', '96']
39 ['225', '129', '213', '155', '284', '151', '125', '45', '87', '109', '139', '117', '26', '18', '96']
40 ['225', '129', '213', '155', '284', '151', '87', '109', '139', '117', '26', '18', '96', '45', '113']
41 ['225', '129', '213', '155', '284', '151', '87', '109', '139', '117', '26', '18', '96', '45', '113']
42 ['225', '129', '213', '155', '284', '151', '87', '109', '139', '117', '26', '18', '96', '45', '113']
43 ['225', '129', '155', '151', '87', '109', '139', '117', '26', '18', '96', '45', '113', '52', '185']
44 ['225', '129', '155', '151', '87', '109', '139', '117', '26', '18', '96', '45', '113', '52', '185']
45 ['225', '129', '155', '151', '87', '109', '139', '117', '26', '18', '96', '45', '113', '52', '185']
46 ['225', '129', '155', '151', '87', '109', '139', '117', '26', '18', '96', '45', '113', '52', '185']
47 ['225', '129', '155', '151', '87', '109', '139', '117', '26', '18', '96', '45', '113', '52', '185']
48 ['225', '129', '155', '151', '87', '109', '139', '117', '26', '18', '96', '45', '113', '52', '185']
49 ['225', '129', '155', '151', '87', '109', '139', '117', '26', '18', '96', '45', '113', '52', '185']
50 ['225', '129', '155', '151', '87', '109', '139', '117', '26', '18', '96', '45', '113', '52', '185']
51 ['225', '129', '155', '151', '87', '109', '139', '117', '26', '18', '96', '45', '113', '52', '185']
52 ['225', '129', '155', '151', '87', '109', '139', '117', '26', '18', '96', '45', '113', '52', '185']
53 ['225', '129', '155', '151', '87', '109', '139', '117', '26', '18', '96', '45', '113', '52', '185']
64 ['225', '129', '155', '139', '117', '26', '18', '96', '45', '113', '52', '185', '276', '159', '283']
65 ['225', '129', '155', '139', '117', '26', '18', '96', '45', '113', '52', '185', '276', '159', '283']
66 ['225', '129', '155', '139', '117', '26', '18', '96', '45', '113', '52', '185', '276', '159', '283']
67 ['225', '129', '155', '139', '117', '26', '18', '96', '45', '113', '52', '185', '276', '159', '283']
68 ['225', '129', '155', '139', '117', '18', '185', '45', '222', '61', '233', '71', '283', '30', '221']
69 ['225', '129', '155', '139', '117', '18', '185', '45', '222', '61', '233', '71', '283', '30', '221']
70 ['225', '129', '155', '139', '117', '18', '185', '45', '61', '233', '71', '283', '30', '221', '48']
71 ['225', '129', '155', '139', '117', '18', '185', '45', '61', '233', '71', '283', '30', '221', '48']
72 ['225', '129', '155', '139', '117', '18', '185', '45', '61', '233', '71', '283', '30', '221', '48']
73 ['225', '129', '155', '139', '117', '18', '185', '45', '61', '233', '71', '283', '30', '221', '48']
74 ['225', '129', '155', '139', '117', '18', '185', '45', '61', '233', '71', '283', '30', '221', '48']
75 ['225', '129', '155', '139', '117', '18', '185', '45', '61', '233', '71', '283', '30', '221', '48']
76 ['225', '129', '155', '139', '117', '18', '185', '45', '61', '233', '71', '283', '30', '221', '48']
77 ['225', '129', '155', '139', '117', '18', '185', '45', '61', '233', '71', '283', '30', '221', '48']
78 ['225', '129', '155', '139', '117', '18', '185', '45', '61', '233', '71', '283', '30', '221', '48']
