0 ['258', '239', '250', '265', '215', '91', '154', '133', '256', '212', '18', '237', '270', '120', '80']
1 ['258', '239', '250', '265', '215', '91', '154', '133', '256', '212', '18', '237', '270', '120', '80']
2 ['258', '239', '250', '265', '215', '91', '154', '133', '256', '212', '18', '237', '270', '120', '80']
3 ['258', '239', '250', '265', '215', '91', '154', '133', '256', '212', '18', '237', '270', '120', '80']
4 ['258', '239', '250', '265', '215', '91', '154', '133', '256', '212', '18', '237', '270', '120', '80']
5 ['258', '239', '250', '265', '215', '91', '154', '133', '256', '212', '18', '237', '270', '120', '80']
6 ['239', '133', '256', '212', '18', '237', '270', '120', '80', '152', '171', '11', '142', '201', '38']
7 ['239', '256', '212', '18', '237', '270', '120', '80', '152', '171', '11', '142', '201', '38', '326']
8 ['239', '256', '212', '18', '237', '270', '120', '80', '152', '171', '11', '142', '201', '38', '326']
9 ['239', '256', '212', '18', '237', '270', '120', '80', '152', '171', '11', '142', '201', '38', '326']
10 ['239', '256', '212', '18', '237', '270', '120', '80', '152', '171', '11', '142', '201', '38', '326']
11 ['239', '256', '212', '18', '237', '270', '120', '80', '152', '171', '11', '142', '201', '38', '326']
12 ['239', '256', '212', '18', '237', '270', '120', '80', '152', '171', '11', '142', '201', '38', '326']
13 ['239', '256', '212', '18', '237', '270', '120', '80', '152', '171', '11', '142', '201', '38', '326']
14 ['239', '256', '212', '18', '237', '270', '120', '80', '152', '171', '11', '142', '201', '38', '326']
15 ['239', '212', '237', '11', '142', '201', '38', '326', '18', '190', '310', '270', '283', '219', '275']
16 ['239', '212', '237', '11', '142', '201', '38', '326', '18', '190', '310', '270', '283', '219', '275']
17 ['239', '212', '237', '11', '142', '201', '38', '326', '18', '190', '310', '270', '283', '219', '275']
18 ['239', '212', '237', '11', '142', '201', '38', '326', '18', '190', '310', '270', '283', '219', '275']
19 ['239', '212', '237', '11', '142', '201', '38', '326', '18', '190', '310', '270', '283', '219', '275']
20 ['239', '212', '237', '11', '142', '201', '38', '326', '18', '190', '310', '270', '283', '219', '275']
21 ['239', '212', '237', '38', '326', '18', '283', '219', '275', '184', '236', '312', '33', '96', '217']
22 ['239', '212', '237', '38', '326', '18', '283', '219', '275', '184', '236', '312', '33', '96', '217']
23 ['239', '212', '237', '38', '326', '18', '283', '219', '275', '184', '236', '312', '33', '96', '217']
24 ['239', '212', '237', '38', '326', '18', '283', '219', '275', '184', '236', '312', '33', '96', '217']
25 ['239', '212', '237', '38', '326', '18', '283', '219', '275', '184', '236', '312', '33', '96', '217']
26 ['239', '212', '237', '38', '326', '18', '275', '236', '312', '33', '96', '217', '249', '226', '106']
