0 ['109', '313', '246', '360', '238', '287', '112', '122', '169', '194', '458', '269', '174', '314', '177', '491', '100', '403', '355', '283', '223', '126', '340', '22', '86', '127', '27', '374', '116', '443', '362', '36', '197', '464', '43', '274', '380', '270', '57', '439', '181', '405', '76', '72', '124', '412', '80', '277', '73', '191']
1 ['109', '313', '246', '360', '238', '287', '112', '122', '169', '194', '458', '269', '174', '314', '177', '491', '100', '403', '355', '283', '223', '126', '340', '22', '86', '127', '27', '374', '116', '443', '362', '36', '197', '464', '43', '274', '380', '270', '57', '439', '181', '405', '72', '124', '412', '80', '277', '73', '191', '199']
2 ['109', '313', '246', '360', '238', '287', '112', '122', '169', '194', '458', '269', '174', '314', '177', '491', '100', '403', '355', '283', '223', '126', '340', '22', '86', '127', '27', '374', '116', '443', '362', '36', '197', '464', '43', '274', '380', '270', '57', '439', '181', '405', '72', '124', '412', '80', '277', '73', '191', '199']
3 ['109', '313', '246', '360', '238', '287', '112', '122', '169', '194', '458', '269', '174', '314', '177', '491', '100', '403', '355', '283', '223', '126', '340', '22', '86', '127', '27', '374', '116', '443', '362', '36', '197', '464', '43', '274', '380', '270', '57', '439', '181', '405', '72', '124', '412', '80', '277', '73', '191', '199']
4 ['109', '313', '246', '360', '238', '287', '112', '122', '169', '194', '458', '269', '174', '314', '177', '491', '100', '403', '355', '283', '223', '126', '340', '22', '86', '127', '27', '374', '116', '443', '362', '36', '197', '464', '43', '274', '380', '270', '57', '439', '181', '405', '72', '124', '412', '80', '277', '73', '191', '199']
5 ['246', '360', '238', '287', '112', '122', '169', '194', '458', '269', '174', '314', '177', '100', '403', '355', '283', '223', '126', '340', '22', '86', '127', '27', '374', '116', '443', '362', '36', '197', '464', '43', '274', '380', '270', '57', '439', '181', '405', '72', '124', '412', '80', '277', '73', '191', '199', '108', '356', '2']
6 ['246', '360', '238', '287', '112', '122', '169', '194', '458', '269', '174', '314', '177', '100', '403', '355', '283', '223', '126', '340', '22', '86', '127', '27', '374', '443', '362', '36', '197', '464', '43', '274', '380', '270', '57', '439', '181', '405', '72', '124', '412', '80', '277', '73', '191', '199', '108', '356', '2', '44']
7 ['246', '360', '238', '287', '112', '122', '169', '194', '458', '269', '174', '314', '177', '100', '403', '355', '283', '223', '126', '340', '22', '86', '127', '27', '374', '443', '362', '36', '197', '464', '43', '274', '380', '270', '57', '439', '181', '405', '72', '124', '412', '80', '277', '73', '191', '199', '108', '356', '2', '44']
8 ['246', '360', '238', '287', '112', '122', '169', '194', '269', '174', '314', '177', '100', '403', '355', '223', '126', '340', '22', '86', '127', '27', '374', '443', '362', '36', '197', '464', '43', '274', '380', '270', '57', '439', '181', '405', '72', '124', '412', '80', '277', '73', '191', '199', '108', '356', '2', '44', '458', '334']
9 ['246', '360', '238', '287', '112', '122', '169', '194', '269', '174', '314', '177', '100', '403', '355', '223', '126', '340', '22', '86', '127', '27', '374', '443', '362', '36', '197', '464', '43', '274', '380', '270', '57', '439', '181', '405', '72', '124', '412', '80', '277', '73', '191', '199', '108', '356', '2', '44', '458', '334']
10 ['246', '360', '238', '287', '112', '122', '169', '194', '269', '174', '314', '177', '100', '403', '355', '223', '126', '340', '22', '86', '127', '27', '374', '443', '362', '36', '197', '464', '43', '274', '380', '270', '57', '439', '181', '405', '72', '124', '412', '80', '277', '73', '191', '199', '108', '2', '44', '458', '334', '281']
11 ['246', '360', '238', '287', '112', '122', '169', '194', '269', '174', '314', '177', '100', '403', '355', '223', '126', '340', '22', '86', '127', '374', '443', '362', '36', '197', '464', '43', '274', '380', '270', '57', '439', '181', '405', '72', '124', '412', '80', '277', '73', '191', '199', '108', '2', '44', '458', '334', '281', '309']
