0 ['319', '287', '347', '88', '459', '139', '1', '213', '202', '73', '181', '355', '350', '173', '116', '239', '327', '375', '156', '229', '35', '28', '159', '482', '410', '140', '390', '53', '275', '248', '478', '436', '346', '395', '150', '440', '187', '212', '352', '298', '472', '454', '29', '45', '280', '479', '321', '381', '84', '243']
1 ['319', '287', '347', '88', '459', '139', '1', '213', '202', '73', '181', '355', '350', '173', '116', '239', '327', '375', '156', '229', '35', '28', '159', '482', '410', '140', '390', '53', '275', '248', '478', '436', '346', '395', '150', '440', '187', '212', '352', '298', '454', '29', '45', '280', '479', '321', '381', '84', '243', '253']
2 ['319', '287', '347', '88', '459', '139', '1', '213', '202', '73', '181', '355', '350', '173', '116', '239', '327', '375', '156', '229', '35', '28', '159', '482', '410', '140', '390', '53', '275', '248', '478', '436', '346', '395', '150', '440', '187', '212', '352', '298', '454', '29', '45', '280', '479', '321', '381', '84', '243', '253']
3 ['319', '287', '347', '88', '459', '139', '1', '213', '202', '73', '181', '355', '350', '173', '116', '239', '327', '375', '156', '229', '35', '159', '482', '410', '140', '390', '53', '275', '248', '478', '436', '395', '150', '440', '187', '212', '352', '298', '454', '29', '45', '280', '479', '321', '381', '84', '243', '253', '28', '340']
4 ['319', '287', '347', '88', '459', '139', '1', '213', '202', '73', '181', '355', '350', '173', '116', '239', '327', '375', '229', '35', '159', '482', '410', '140', '390', '53', '275', '248', '478', '436', '395', '150', '440', '187', '212', '352', '298', '454', '29', '45', '280', '479', '321', '381', '84', '243', '253', '28', '340', '338']
5 ['319', '287', '347', '88', '459', '139', '1', '213', '202', '73', '181', '355', '350', '173', '116', '239', '327', '375', '229', '35', '159', '482', '410', '140', '390', '53', '275', '248', '478', '436', '395', '150', '440', '187', '212', '352', '454', '29', '45', '280', '479', '321', '381', '84', '243', '253', '28', '340', '338', '284']
6 ['319', '287', '347', '88', '459', '139', '1', '213', '202', '73', '181', '355', '350', '173', '116', '239', '327', '375', '229', '35', '159', '482', '410', '140', '390', '53', '275', '248', '478', '436', '395', '150', '440', '187', '212', '352', '454', '29', '280', '479', '321', '381', '84', '243', '253', '28', '340', '338', '284', '414']
7 ['319', '287', '347', '88', '459', '139', '1', '213', '202', '73', '181', '355', '350', '173', '116', '239', '327', '375', '229', '35', '159', '482', '410', '140', '390', '53', '275', '248', '478', '436', '395', '150', '440', '187', '212', '352', '454', '29', '280', '479', '321', '381', '84', '243', '253', '28', '340', '338', '284', '414']
8 ['319', '287', '347', '88', '459', '139', '1', '213', '202', '73', '181', '355', '350', '173', '116', '239', '327', '375', '35', '159', '410', '140', '390', '53', '275', '248', '478', '436', '395', '150', '440', '187', '212', '352', '454', '29', '280', '479', '321', '381', '84', '243', '253', '28', '340', '338', '284', '414', '229', '199']
9 ['319', '287', '347', '88', '459', '139', '1', '213', '202', '73', '181', '355', '350', '173', '116', '239', '327', '375', '35', '159', '410', '140', '390', '53', '275', '248', '478', '436', '395', '150', '440', '187', '212', '352', '454', '29', '280', '479', '321', '381', '84', '243', '253', '28', '340', '338', '284', '414', '229', '199']
10 ['319', '287', '347', '88', '459', '139', '1', '213', '202', '73', '181', '355', '350', '173', '116', '239', '327', '375', '35', '159', '410', '140', '390', '53', '275', '248', '478', '436', '395', '150', '440', '187', '352', '454', '280', '479', '321', '381', '84', '243', '253', '28', '340', '338', '284', '414', '229', '199', '29', '497']
11 ['319', '287', '347', '88', '459', '139', '1', '213', '202', '73', '181', '355', '350', '173', '116', '239', '327', '375', '35', '159', '410', '140', '390', '53', '275', '248', '478', '436', '395', '150', '440', '187', '352', '454', '280', '479', '321', '381', '84', '243', '253', '28', '340', '338', '284', '414', '229', '199', '29', '497']
12 ['319', '287', '347', '88', '459', '139', '1', '213', '202', '73', '181', '355', '350', '173', '116', '239', '327', '375', '35', '159', '410', '140', '390', '53', '275', '248', '478', '436', '395', '150', '440', '187', '352', '454', '280', '479', '321', '381', '84', '243', '253', '28', '340', '338', '284', '414', '229', '199', '29', '497']
13 ['319', '287', '347', '88', '459', '139', '1', '213', '202', '73', '181', '355', '350', '173', '116', '239', '327', '375', '35', '159', '410', '140', '390', '53', '275', '248', '478', '436', '395', '150', '440', '187', '352', '454', '280', '479', '321', '381', '84', '243', '253', '28', '340', '338', '284', '414', '229', '199', '29', '497']
14 ['319', '287', '347', '88', '459', '139', '1', '213', '202', '73', '181', '355', '350', '173', '116', '239', '327', '375', '35', '159', '410', '140', '390', '53', '275', '248', '478', '436', '395', '150', '440', '187', '352', '454', '479', '381', '84', '243', '253', '28', '340', '338', '284', '414', '229', '199', '29', '497', '280', '108']
15 ['319', '287', '347', '88', '459', '139', '1', '213', '202', '73', '181', '355', '350', '173', '116', '239', '327', '375', '35', '159', '410', '140', '390', '53', '275', '248', '478', '436', '395', '150', '440', '187', '352', '454', '479', '381', '84', '253', '28', '340', '338', '284', '414', '229', '199', '29', '497', '280', '108', '201']
16 ['319', '287', '347', '88', '459', '139', '1', '213', '202', '73', '181', '355', '350', '173', '116', '239', '327', '375', '35', '159', '410', '140', '390', '53', '275', '248', '478', '436', '395', '150', '440', '187', '352', '454', '479', '381', '84', '253', '28', '340', '338', '284', '414', '229', '199', '29', '497', '280', '108', '201']
17 ['319', '287', '347', '88', '459', '139', '1', '213', '202', '73', '181', '355', '350', '173', '116', '239', '327', '375', '35', '159', '410', '140', '390', '53', '275', '248', '478', '436', '395', '150', '440', '187', '352', '454', '479', '381', '84', '253', '28', '338', '284', '414', '229', '199', '29', '497', '280', '108', '201', '170']
18 ['319', '287', '347', '88', '459', '139', '1', '213', '202', '73', '181', '355', '350', '173', '116', '239', '327', '375', '35', '159', '410', '140', '390', '53', '275', '248', '478', '436', '395', '150', '440', '187', '352', '454', '479', '381', '84', '253', '28', '338', '284', '414', '229', '199', '29', '497', '280', '108', '201', '170']
19 ['319', '287', '347', '88', '459', '139', '1', '213', '73', '181', '355', '350', '173', '116', '239', '327', '375', '35', '159', '410', '140', '390', '53', '275', '248', '478', '436', '395', '150', '440', '187', '352', '454', '479', '381', '84', '253', '28', '338', '284', '414', '229', '199', '29', '497', '280', '108', '201', '170', '69']
20 ['319', '287', '347', '88', '459', '139', '1', '73', '181', '355', '350', '173', '116', '239', '327', '375', '35', '159', '410', '140', '390', '53', '275', '248', '478', '436', '395', '150', '440', '187', '352', '454', '479', '381', '84', '253', '28', '338', '284', '414', '229', '199', '29', '497', '280', '108', '201', '170', '69', '306']
21 ['319', '287', '347', '88', '459', '139', '1', '73', '181', '355', '350', '173', '116', '239', '327', '375', '35', '159', '410', '140', '390', '53', '275', '478', '436', '395', '150', '440', '187', '352', '454', '479', '381', '84', '253', '28', '338', '284', '414', '229', '199', '29', '497', '280', '108', '201', '170', '69', '306', '56']
22 ['287', '347', '88', '459', '139', '1', '73', '181', '355', '350', '173', '116', '239', '327', '375', '35', '159', '410', '140', '390', '53', '275', '478', '436', '395', '150', '440', '187', '352', '454', '479', '381', '84', '253', '28', '338', '284', '414', '229', '199', '29', '497', '280', '108', '201', '170', '69', '306', '56', '240']
23 ['287', '347', '88', '459', '139', '1', '73', '181', '355', '350', '173', '116', '239', '327', '375', '35', '159', '410', '140', '390', '53', '275', '478', '436', '395', '150', '440', '187', '352', '454', '479', '381', '84', '253', '28', '338', '284', '414', '229', '199', '29', '497', '280', '108', '201', '170', '69', '306', '56', '240']
24 ['347', '88', '459', '139', '1', '73', '181', '355', '350', '173', '116', '239', '327', '375', '35', '159', '410', '140', '390', '53', '275', '478', '436', '395', '150', '440', '187', '352', '454', '479', '381', '84', '253', '28', '338', '284', '414', '229', '199', '29', '497', '280', '108', '201', '170', '69', '306', '56', '240', '161']
25 ['88', '459', '139', '1', '73', '181', '355', '350', '173', '116', '239', '327', '375', '35', '159', '410', '140', '390', '53', '275', '478', '436', '395', '150', '440', '187', '352', '454', '479', '381', '84', '253', '28', '338', '284', '414', '229', '199', '29', '497', '280', '108', '201', '170', '69', '306', '56', '240', '161', '368']
