0 ['128', '372', '79', '167', '32', '310', '162', '355', '264', '476', '462', '391', '449', '247', '364', '233', '343', '496', '46', '163', '36', '296', '413', '93', '369', '433', '331', '259', '392', '314', '374', '293', '44', '31', '30', '308', '135', '466', '342', '60', '160', '130', '315', '415', '271', '103', '318', '406', '87', '383']
1 ['128', '372', '79', '167', '32', '310', '162', '355', '264', '476', '462', '391', '449', '247', '364', '233', '343', '496', '46', '163', '36', '296', '413', '93', '369', '433', '331', '259', '392', '314', '374', '293', '44', '31', '30', '308', '135', '466', '342', '60', '160', '130', '315', '415', '271', '103', '406', '87', '383', '472']
2 ['128', '372', '79', '167', '32', '310', '162', '355', '264', '476', '462', '391', '449', '247', '364', '233', '343', '496', '46', '163', '36', '296', '413', '93', '369', '331', '259', '392', '314', '374', '293', '44', '31', '30', '308', '135', '466', '342', '60', '160', '130', '315', '415', '271', '103', '406', '87', '383', '472', '28']
3 ['128', '372', '79', '167', '32', '310', '162', '355', '264', '476', '462', '391', '449', '247', '364', '233', '343', '496', '46', '163', '36', '296', '413', '93', '369', '331', '259', '392', '314', '374', '293', '44', '31', '30', '308', '135', '466', '342', '60', '160', '130', '315', '271', '103', '406', '87', '383', '472', '28', '169']
4 ['128', '79', '167', '32', '310', '162', '355', '264', '476', '462', '391', '449', '247', '364', '233', '343', '496', '46', '163', '36', '296', '413', '93', '369', '331', '259', '392', '314', '374', '293', '44', '31', '30', '308', '135', '466', '342', '60', '160', '130', '315', '271', '103', '406', '87', '383', '472', '28', '169', '141']
5 ['128', '79', '167', '32', '310', '162', '355', '264', '476', '462', '449', '247', '364', '233', '343', '496', '46', '163', '36', '296', '413', '93', '369', '331', '259', '392', '314', '374', '293', '44', '31', '30', '308', '135', '466', '342', '60', '160', '130', '315', '271', '103', '406', '87', '383', '472', '28', '169', '141', '423']
6 ['128', '79', '167', '32', '310', '162', '355', '264', '476', '462', '449', '247', '364', '233', '343', '496', '46', '163', '36', '296', '413', '93', '369', '331', '259', '392', '314', '374', '293', '44', '31', '30', '308', '135', '466', '342', '60', '160', '130', '315', '271', '103', '406', '87', '383', '472', '28', '169', '141', '423']
7 ['128', '79', '167', '32', '355', '264', '476', '462', '449', '247', '364', '233', '343', '496', '46', '163', '36', '296', '413', '93', '369', '331', '259', '392', '314', '374', '293', '44', '31', '30', '308', '135', '466', '342', '60', '160', '130', '315', '271', '103', '406', '87', '383', '472', '28', '169', '141', '423', '108', '273']
8 ['128', '79', '167', '32', '264', '476', '462', '449', '247', '364', '233', '343', '496', '46', '163', '36', '296', '413', '93', '369', '331', '259', '392', '314', '374', '293', '44', '31', '30', '308', '135', '466', '342', '60', '160', '130', '315', '271', '103', '406', '87', '383', '472', '28', '169', '141', '423', '108', '273', '66']
9 ['128', '79', '167', '32', '264', '476', '462', '449', '247', '364', '233', '343', '496', '46', '163', '36', '296', '413', '93', '369', '331', '259', '392', '314', '374', '293', '44', '31', '30', '308', '135', '466', '342', '60', '160', '130', '315', '271', '103', '406', '87', '383', '472', '28', '169', '141', '423', '108', '273', '66']
10 ['128', '79', '167', '32', '264', '476', '462', '449', '247', '364', '233', '343', '496', '46', '163', '36', '296', '413', '93', '369', '331', '259', '392', '314', '374', '293', '44', '31', '30', '308', '135', '466', '342', '60', '160', '130', '315', '271', '103', '406', '87', '383', '472', '28', '169', '141', '423', '108', '273', '66']
11 ['128', '79', '167', '32', '264', '476', '462', '449', '247', '364', '233', '343', '496', '46', '163', '36', '296', '413', '93', '369', '331', '259', '392', '314', '374', '293', '44', '31', '30', '308', '135', '466', '342', '60', '160', '130', '315', '271', '103', '406', '87', '383', '472', '28', '169', '141', '423', '108', '273', '66']
12 ['128', '79', '167', '32', '264', '476', '462', '449', '247', '364', '233', '343', '496', '46', '163', '36', '296', '413', '93', '369', '331', '259', '392', '314', '374', '293', '44', '31', '30', '308', '135', '466', '342', '60', '160', '130', '315', '271', '103', '406', '87', '383', '472', '28', '169', '141', '423', '108', '273', '66']
13 ['128', '79', '167', '32', '247', '364', '233', '343', '496', '46', '163', '36', '296', '413', '93', '369', '331', '392', '314', '374', '293', '44', '31', '30', '308', '135', '466', '342', '60', '160', '130', '315', '271', '103', '406', '87', '383', '472', '28', '169', '141', '423', '108', '273', '66', '261', '190', '120', '259', '81']
14 ['128', '79', '167', '32', '247', '364', '233', '496', '46', '163', '36', '296', '413', '93', '369', '331', '392', '314', '374', '293', '44', '31', '30', '308', '135', '466', '342', '60', '160', '130', '315', '271', '103', '406', '87', '383', '472', '28', '169', '141', '423', '108', '273', '66', '261', '190', '120', '259', '81', '61']
15 ['128', '79', '167', '32', '247', '364', '233', '496', '46', '163', '36', '296', '413', '93', '369', '331', '392', '314', '374', '293', '44', '31', '30', '308', '135', '466', '342', '60', '160', '130', '315', '271', '103', '406', '87', '383', '472', '28', '169', '141', '423', '108', '273', '66', '261', '190', '120', '259', '81', '61']
16 ['128', '79', '167', '32', '233', '496', '46', '163', '36', '296', '413', '93', '369', '331', '392', '314', '374', '293', '44', '31', '30', '308', '135', '466', '342', '60', '160', '130', '315', '271', '103', '406', '87', '383', '472', '28', '169', '141', '423', '108', '273', '66', '261', '190', '120', '259', '81', '61', '460', '187']
