0 ['297', '183', '293', '278', '283', '205', '33', '68', '117', '155', '299', '309', '157', '245', '73', '72', '120', '324', '47', '86', '50', '106', '163', '69', '187', '173', '131', '102', '71', '315', '145', '204', '143']
1 ['297', '183', '293', '278', '283', '205', '33', '68', '117', '155', '299', '309', '157', '245', '73', '72', '120', '324', '47', '86', '50', '106', '163', '69', '187', '173', '131', '102', '71', '315', '145', '204', '143']
2 ['297', '183', '293', '278', '205', '33', '68', '117', '155', '299', '309', '245', '73', '120', '324', '47', '86', '50', '106', '163', '69', '187', '173', '131', '102', '71', '315', '145', '204', '143', '204', '185', '301']
3 ['297', '183', '293', '278', '205', '33', '68', '117', '155', '299', '309', '245', '73', '120', '324', '47', '86', '50', '106', '69', '187', '173', '131', '102', '71', '315', '145', '204', '143', '204', '185', '301', '244']
4 ['297', '183', '293', '278', '205', '33', '68', '117', '155', '299', '309', '245', '73', '120', '324', '47', '86', '50', '106', '69', '187', '173', '131', '102', '71', '315', '145', '143', '204', '185', '301', '244', '128']
5 ['297', '183', '293', '278', '205', '33', '68', '117', '155', '299', '309', '245', '73', '120', '324', '47', '86', '50', '106', '69', '187', '173', '131', '102', '71', '315', '145', '143', '204', '301', '244', '128', '85']
6 ['297', '183', '293', '278', '205', '33', '68', '117', '155', '299', '309', '245', '73', '120', '324', '47', '86', '50', '69', '187', '173', '131', '102', '71', '315', '145', '143', '204', '301', '244', '128', '85', '286']
7 ['297', '183', '293', '278', '205', '33', '68', '117', '155', '299', '309', '245', '73', '120', '324', '47', '86', '50', '69', '173', '131', '102', '71', '315', '145', '143', '204', '301', '244', '128', '85', '286', '194']
8 ['297', '183', '293', '278', '205', '33', '68', '117', '155', '299', '309', '245', '73', '120', '324', '47', '86', '50', '69', '173', '131', '71', '315', '145', '143', '204', '301', '244', '128', '85', '286', '194', '54']
9 ['297', '183', '293', '278', '205', '33', '68', '117', '155', '299', '309', '245', '73', '120', '324', '47', '86', '50', '173', '131', '71', '315', '145', '143', '204', '301', '244', '128', '85', '286', '194', '54', '247']
10 ['297', '183', '293', '278', '205', '33', '68', '117', '155', '299', '309', '245', '73', '120', '324', '47', '86', '50', '173', '131', '71', '315', '145', '143', '204', '301', '244', '128', '85', '286', '194', '54', '247']
11 ['297', '183', '293', '278', '205', '33', '68', '117', '155', '299', '309', '245', '73', '120', '324', '47', '86', '50', '173', '131', '315', '145', '143', '204', '301', '244', '128', '85', '286', '194', '54', '247', '179']
12 ['297', '293', '278', '205', '33', '68', '117', '155', '299', '309', '245', '73', '120', '324', '47', '86', '50', '173', '131', '315', '145', '143', '204', '301', '244', '128', '85', '286', '194', '54', '247', '179', '211']
13 ['297', '293', '278', '205', '33', '68', '117', '155', '299', '309', '245', '73', '120', '324', '47', '86', '50', '173', '131', '315', '145', '143', '204', '301', '244', '85', '286', '194', '54', '247', '179', '211', '220']
14 ['297', '293', '278', '33', '68', '117', '155', '299', '309', '245', '73', '120', '324', '47', '86', '50', '173', '131', '315', '145', '143', '204', '301', '244', '85', '286', '194', '54', '247', '179', '211', '220', '308']
15 ['297', '293', '278', '33', '68', '117', '155', '299', '309', '245', '73', '120', '324', '47', '86', '50', '173', '131', '315', '145', '143', '204', '301', '244', '85', '286', '194', '54', '247', '179', '211', '220', '308']
16 ['297', '293', '278', '33', '68', '117', '155', '299', '309', '245', '73', '120', '324', '47', '86', '50', '173', '131', '315', '145', '143', '204', '301', '244', '85', '286', '194', '54', '247', '179', '211', '220', '308']
17 ['297', '293', '278', '33', '68', '117', '155', '299', '309', '245', '73', '120', '324', '47', '86', '50', '173', '131', '315', '145', '143', '204', '301', '85', '286', '194', '54', '247', '179', '211', '308', '244', '0']
18 ['297', '293', '278', '33', '117', '155', '299', '309', '245', '73', '120', '324', '47', '86', '50', '173', '131', '315', '145', '143', '204', '301', '85', '286', '194', '54', '247', '179', '211', '308', '244', '0', '75']
19 ['297', '293', '278', '33', '117', '155', '299', '309', '245', '73', '120', '324', '47', '86', '50', '173', '131', '315', '145', '143', '204', '301', '85', '286', '194', '54', '247', '179', '211', '308', '244', '0', '75']
20 ['297', '293', '278', '33', '117', '155', '299', '309', '245', '73', '120', '324', '47', '86', '50', '173', '131', '315', '145', '143', '204', '301', '85', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182']
21 ['297', '293', '278', '117', '155', '299', '309', '245', '73', '120', '324', '47', '86', '50', '173', '131', '315', '145', '143', '204', '301', '85', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182', '268']
22 ['297', '293', '278', '117', '155', '299', '309', '245', '73', '120', '324', '47', '86', '50', '173', '131', '315', '145', '143', '204', '301', '85', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182', '268']
23 ['297', '293', '278', '117', '155', '299', '245', '73', '120', '324', '47', '86', '50', '173', '131', '315', '145', '143', '204', '301', '85', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182', '268', '202']
24 ['297', '293', '278', '117', '155', '299', '245', '73', '120', '324', '47', '86', '50', '173', '131', '315', '145', '143', '204', '301', '85', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182', '268', '202']
25 ['297', '293', '278', '117', '155', '299', '245', '120', '324', '47', '50', '173', '131', '315', '145', '143', '204', '301', '85', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182', '268', '202', '73', '307']
26 ['297', '293', '278', '117', '155', '299', '245', '120', '324', '47', '50', '173', '131', '315', '145', '143', '204', '301', '85', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182', '268', '202', '73', '307']
27 ['297', '293', '278', '117', '155', '299', '245', '120', '324', '47', '50', '173', '131', '315', '145', '143', '204', '301', '85', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182', '268', '202', '73', '307']
28 ['297', '293', '278', '117', '155', '299', '245', '120', '324', '47', '50', '173', '131', '315', '145', '143', '301', '85', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182', '268', '202', '73', '307', '277']
29 ['297', '293', '278', '117', '155', '299', '245', '120', '324', '47', '50', '173', '131', '315', '145', '143', '301', '85', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182', '268', '202', '73', '307', '277']
30 ['297', '293', '278', '117', '155', '299', '245', '120', '324', '47', '50', '173', '131', '315', '145', '143', '301', '85', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182', '268', '202', '73', '307', '277']
31 ['293', '278', '117', '155', '299', '245', '120', '324', '47', '50', '173', '131', '315', '145', '143', '301', '85', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182', '268', '202', '73', '307', '277', '232']
32 ['293', '278', '117', '155', '299', '245', '120', '324', '47', '50', '173', '131', '315', '145', '143', '301', '85', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182', '268', '202', '73', '307', '277', '232']
33 ['293', '278', '117', '155', '299', '245', '120', '324', '47', '50', '173', '131', '315', '145', '143', '301', '85', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182', '268', '202', '73', '307', '277', '232']
34 ['293', '278', '117', '155', '299', '245', '120', '324', '47', '50', '173', '131', '315', '145', '143', '301', '85', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182', '268', '202', '73', '307', '277', '232']
35 ['293', '278', '117', '155', '299', '245', '120', '324', '47', '50', '173', '131', '315', '145', '143', '301', '85', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182', '268', '202', '73', '307', '277', '232']
36 ['293', '278', '117', '155', '299', '245', '120', '324', '47', '50', '173', '131', '315', '145', '143', '301', '85', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182', '268', '202', '73', '307', '277', '232']
37 ['117', '299', '245', '120', '324', '47', '50', '173', '131', '315', '145', '143', '301', '85', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182', '268', '202', '73', '307', '277', '232', '293', '230', '46']
38 ['117', '299', '120', '324', '47', '50', '173', '131', '315', '145', '143', '301', '85', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182', '268', '202', '73', '307', '277', '232', '293', '230', '46', '7']
39 ['117', '299', '120', '324', '50', '173', '131', '315', '145', '143', '301', '85', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182', '268', '202', '73', '307', '277', '232', '293', '230', '46', '7', '20']
40 ['117', '299', '120', '324', '50', '173', '131', '315', '145', '143', '301', '85', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182', '268', '202', '73', '307', '277', '232', '293', '230', '46', '7', '20']
41 ['117', '299', '120', '324', '50', '173', '131', '145', '143', '301', '286', '194', '247', '179', '211', '308', '244', '0', '75', '182', '268', '202', '73', '307', '277', '232', '293', '230', '46', '7', '20', '275', '162']
42 ['117', '299', '120', '324', '50', '173', '131', '145', '143', '301', '286', '194', '247', '179', '211', '308', '0', '75', '182', '268', '202', '73', '307', '277', '232', '293', '230', '46', '7', '20', '275', '162', '272']
43 ['117', '299', '120', '324', '50', '173', '131', '145', '143', '301', '286', '194', '247', '179', '211', '308', '0', '75', '182', '268', '202', '73', '307', '277', '232', '293', '230', '46', '7', '20', '275', '162', '272']
44 ['117', '299', '120', '324', '50', '173', '131', '145', '143', '301', '286', '194', '247', '179', '211', '308', '0', '75', '182', '268', '307', '277', '232', '293', '230', '46', '7', '20', '275', '162', '272', '259', '184']
45 ['117', '299', '120', '324', '50', '173', '131', '145', '143', '301', '286', '194', '247', '179', '211', '308', '0', '75', '182', '268', '307', '277', '232', '293', '230', '46', '7', '20', '162', '272', '259', '184', '240']
46 ['117', '299', '120', '324', '50', '173', '131', '145', '143', '301', '286', '194', '247', '179', '211', '308', '0', '75', '182', '268', '307', '277', '232', '293', '230', '46', '7', '20', '162', '272', '259', '184', '240']
47 ['117', '299', '120', '324', '50', '173', '131', '145', '143', '301', '286', '194', '247', '179', '211', '308', '0', '75', '182', '268', '307', '277', '232', '293', '230', '46', '7', '20', '162', '272', '184', '240', '316']
48 ['117', '299', '120', '324', '50', '173', '131', '145', '143', '301', '286', '194', '247', '179', '211', '308', '0', '75', '182', '268', '307', '277', '232', '293', '230', '46', '7', '20', '162', '272', '184', '240', '316']
49 ['117', '299', '120', '324', '50', '173', '131', '145', '143', '301', '286', '194', '247', '179', '211', '308', '0', '75', '268', '307', '277', '232', '293', '230', '46', '7', '20', '272', '184', '240', '316', '4', '290']
