0 ['100', '8', '173', '60', '293', '174', '200', '48', '112', '303', '167', '29', '226', '159', '198', '265', '274', '40', '134', '162', '0', '260', '67', '32', '204', '252', '192', '227', '321', '279', '302', '12', '283']
1 ['100', '8', '173', '60', '293', '174', '200', '48', '112', '303', '167', '29', '226', '159', '198', '265', '274', '40', '134', '162', '0', '260', '67', '32', '204', '252', '192', '227', '321', '279', '302', '12', '283']
2 ['100', '8', '173', '60', '174', '200', '48', '112', '167', '29', '226', '159', '198', '265', '274', '40', '134', '162', '0', '260', '67', '32', '204', '252', '192', '227', '321', '279', '302', '12', '283', '167', '287']
3 ['100', '8', '173', '60', '174', '200', '48', '112', '29', '226', '159', '198', '265', '274', '40', '134', '162', '0', '260', '67', '32', '204', '252', '192', '227', '321', '279', '302', '12', '283', '167', '287', '330']
4 ['100', '8', '173', '60', '174', '200', '48', '112', '29', '226', '159', '198', '265', '274', '40', '134', '162', '0', '260', '67', '32', '204', '252', '192', '227', '321', '279', '302', '12', '283', '167', '287', '330']
5 ['100', '8', '173', '60', '174', '200', '48', '112', '29', '226', '159', '198', '265', '274', '40', '134', '162', '0', '260', '67', '32', '204', '252', '192', '227', '321', '279', '302', '12', '283', '167', '287', '330']
6 ['100', '8', '173', '60', '174', '200', '48', '112', '29', '226', '159', '265', '274', '40', '134', '162', '0', '260', '67', '32', '252', '227', '321', '279', '302', '12', '283', '167', '287', '330', '88', '164', '144']
7 ['100', '8', '173', '60', '174', '200', '48', '112', '29', '226', '159', '265', '274', '40', '134', '162', '0', '260', '67', '32', '252', '321', '279', '302', '12', '283', '167', '287', '330', '88', '164', '144', '133']
8 ['100', '8', '173', '60', '174', '200', '48', '112', '29', '226', '159', '265', '274', '40', '134', '162', '0', '260', '67', '32', '252', '321', '302', '12', '283', '167', '287', '330', '88', '164', '144', '133', '207']
9 ['100', '8', '173', '60', '174', '200', '48', '112', '29', '226', '159', '265', '274', '40', '134', '162', '0', '260', '67', '32', '252', '321', '12', '283', '167', '287', '330', '88', '164', '144', '133', '207', '328']
10 ['100', '8', '173', '60', '174', '200', '48', '112', '29', '226', '159', '265', '274', '40', '134', '162', '0', '260', '67', '32', '252', '321', '12', '283', '167', '287', '330', '164', '144', '133', '207', '328', '195']
11 ['100', '8', '173', '60', '174', '200', '48', '112', '29', '226', '159', '265', '274', '40', '134', '162', '0', '260', '67', '32', '252', '321', '12', '283', '167', '287', '330', '144', '133', '207', '328', '195', '71']
12 ['100', '8', '173', '60', '174', '200', '48', '112', '29', '226', '159', '265', '274', '40', '134', '162', '0', '260', '67', '32', '252', '321', '12', '283', '167', '287', '330', '144', '133', '207', '328', '195', '71']
13 ['100', '8', '173', '60', '174', '200', '112', '29', '226', '159', '265', '274', '40', '134', '162', '0', '260', '67', '32', '252', '321', '12', '283', '167', '287', '330', '144', '133', '207', '328', '195', '48', '220']
14 ['100', '8', '173', '60', '174', '200', '112', '29', '226', '159', '265', '274', '40', '134', '162', '0', '260', '67', '32', '252', '321', '12', '283', '167', '287', '330', '144', '133', '207', '328', '195', '48', '220']
