0 ['166', '168', '173', '94', '167', '123', '161', '1', '14', '194', '162', '170', '26', '68', '245', '63', '133', '196', '92', '232', '115', '5', '137', '118', '112']
1 ['166', '168', '173', '94', '167', '123', '161', '1', '14', '194', '162', '170', '26', '68', '245', '63', '133', '196', '92', '232', '115', '5', '137', '118', '112']
2 ['166', '168', '173', '94', '167', '123', '161', '1', '14', '194', '162', '170', '26', '68', '245', '63', '133', '196', '92', '232', '115', '5', '137', '118', '112']
3 ['166', '168', '173', '94', '167', '123', '161', '1', '14', '194', '162', '170', '26', '68', '245', '63', '133', '196', '92', '232', '115', '5', '137', '118', '112']
4 ['167', '123', '161', '1', '14', '194', '162', '170', '26', '68', '245', '63', '133', '196', '92', '232', '115', '5', '137', '118', '164', '112', '146', '59', '188']
5 ['167', '123', '161', '1', '14', '194', '162', '170', '26', '68', '245', '63', '133', '196', '92', '232', '115', '5', '137', '118', '164', '112', '146', '59', '188']
6 ['167', '123', '161', '1', '14', '194', '162', '170', '26', '68', '245', '63', '133', '196', '92', '232', '115', '5', '137', '118', '164', '112', '146', '59', '188']
7 ['167', '123', '161', '1', '14', '194', '162', '170', '26', '68', '245', '63', '133', '196', '92', '232', '115', '5', '137', '118', '164', '112', '146', '59', '188']
8 ['167', '123', '161', '1', '14', '194', '162', '170', '26', '68', '245', '63', '133', '196', '92', '232', '115', '5', '137', '118', '164', '112', '146', '59', '188']
9 ['167', '123', '161', '1', '14', '194', '162', '170', '26', '68', '245', '63', '133', '196', '92', '232', '115', '5', '137', '118', '164', '112', '146', '59', '188']
10 ['167', '123', '161', '1', '14', '194', '162', '170', '26', '68', '245', '63', '133', '196', '92', '232', '115', '5', '137', '118', '164', '112', '146', '59', '188']
11 ['167', '123', '161', '1', '14', '194', '162', '170', '26', '68', '245', '63', '133', '196', '92', '232', '115', '5', '137', '118', '164', '112', '146', '59', '188']
12 ['167', '123', '161', '1', '14', '194', '162', '170', '26', '68', '245', '63', '133', '196', '92', '232', '115', '5', '137', '118', '164', '112', '146', '59', '188']
