0 ['4', '23', '237', '9', '166', '64', '29', '137', '116', '196', '71', '103', '180', '91', '118', '121', '79', '48', '175', '11', '134', '158', '227', '150', '7']
1 ['4', '23', '237', '9', '166', '64', '29', '137', '116', '196', '71', '103', '180', '91', '118', '121', '79', '48', '175', '11', '134', '158', '227', '150', '7']
2 ['4', '23', '237', '9', '166', '64', '29', '137', '116', '196', '71', '103', '180', '91', '118', '121', '79', '48', '175', '11', '134', '158', '227', '150', '7']
3 ['4', '23', '237', '9', '166', '64', '29', '137', '116', '196', '71', '103', '180', '91', '118', '121', '79', '48', '175', '11', '134', '158', '227', '150', '7']
4 ['4', '23', '237', '9', '166', '64', '29', '137', '116', '196', '71', '103', '180', '91', '118', '121', '79', '48', '175', '11', '134', '158', '227', '150', '7']
5 ['4', '23', '237', '9', '166', '64', '29', '137', '116', '196', '71', '103', '180', '91', '118', '121', '79', '48', '175', '11', '134', '158', '227', '150', '7']
6 ['4', '23', '237', '9', '166', '64', '29', '137', '116', '196', '71', '103', '180', '91', '118', '121', '79', '48', '175', '11', '134', '158', '227', '150', '7']
7 ['137', '116', '196', '71', '103', '91', '118', '121', '79', '48', '175', '11', '134', '158', '227', '150', '7', '50', '93', '21', '170', '180', '112', '177', '194']
8 ['137', '116', '196', '71', '103', '91', '118', '121', '79', '48', '175', '11', '134', '158', '227', '150', '7', '50', '93', '21', '170', '180', '112', '177', '194']
9 ['137', '116', '196', '71', '103', '91', '118', '121', '79', '48', '175', '11', '134', '158', '227', '150', '7', '50', '93', '21', '170', '180', '112', '177', '194']
10 ['196', '103', '91', '118', '121', '79', '48', '175', '11', '134', '158', '227', '150', '7', '50', '93', '21', '170', '180', '112', '177', '194', '116', '76', '230']
11 ['196', '103', '91', '118', '121', '79', '48', '175', '11', '134', '158', '227', '150', '7', '50', '93', '21', '170', '180', '112', '177', '194', '116', '76', '230']
12 ['196', '103', '91', '118', '121', '79', '48', '175', '11', '134', '158', '227', '150', '7', '50', '93', '21', '170', '180', '112', '177', '194', '116', '76', '230']
13 ['196', '103', '91', '118', '121', '79', '48', '175', '11', '134', '158', '227', '150', '7', '50', '93', '21', '170', '180', '112', '177', '194', '116', '76', '230']
14 ['196', '103', '91', '118', '121', '79', '48', '175', '11', '134', '158', '227', '150', '7', '50', '93', '21', '170', '180', '112', '177', '194', '116', '76', '230']
15 ['196', '103', '91', '118', '121', '79', '48', '175', '11', '134', '158', '227', '150', '7', '50', '93', '21', '170', '180', '112', '177', '194', '116', '76', '230']
16 ['196', '103', '91', '118', '121', '79', '48', '175', '11', '134', '158', '227', '150', '7', '50', '93', '21', '170', '180', '112', '177', '194', '116', '76', '230']
17 ['196', '103', '91', '118', '121', '79', '48', '175', '11', '134', '158', '227', '150', '7', '50', '93', '21', '170', '180', '112', '177', '194', '116', '76', '230']
18 ['196', '103', '91', '118', '121', '79', '48', '175', '11', '134', '158', '227', '150', '7', '50', '93', '21', '170', '180', '112', '177', '194', '116', '76', '230']
19 ['196', '103', '91', '118', '121', '79', '48', '175', '11', '134', '158', '227', '150', '7', '50', '93', '21', '170', '180', '112', '177', '194', '116', '76', '230']
20 ['196', '103', '91', '118', '121', '79', '48', '175', '11', '134', '158', '227', '150', '7', '50', '93', '21', '170', '180', '112', '177', '194', '116', '76', '230']
31 ['196', '227', '50', '93', '170', '180', '112', '177', '194', '116', '76', '230', '213', '146', '121', '20', '16', '99', '28', '107', '164', '228', '200', '62', '129']
32 ['196', '227', '50', '93', '170', '180', '112', '177', '194', '116', '76', '230', '213', '146', '121', '20', '16', '99', '28', '107', '164', '228', '200', '62', '129']
33 ['196', '227', '50', '93', '170', '180', '112', '177', '194', '116', '76', '230', '213', '146', '121', '20', '16', '99', '28', '107', '164', '228', '200', '62', '129']
34 ['196', '227', '50', '93', '170', '180', '112', '177', '194', '116', '76', '230', '213', '146', '121', '20', '16', '99', '28', '107', '164', '228', '200', '62', '129']
35 ['196', '227', '50', '93', '170', '180', '112', '177', '194', '116', '76', '230', '213', '146', '121', '20', '16', '99', '28', '107', '164', '228', '200', '62', '129']
36 ['196', '227', '50', '93', '170', '180', '112', '177', '194', '116', '76', '230', '213', '146', '121', '20', '16', '99', '28', '107', '164', '228', '200', '62', '129']
37 ['196', '194', '116', '230', '146', '121', '20', '16', '99', '28', '107', '164', '200', '62', '129', '101', '77', '239', '69', '244', '37', '187', '227', '236', '96']
38 ['196', '194', '116', '230', '121', '20', '16', '99', '28', '107', '164', '200', '62', '129', '101', '77', '239', '69', '244', '37', '187', '227', '236', '96', '207']
39 ['196', '194', '116', '230', '121', '20', '16', '99', '28', '107', '164', '200', '62', '129', '101', '77', '239', '69', '244', '37', '187', '227', '236', '96', '207']
40 ['196', '194', '116', '230', '121', '20', '16', '99', '28', '107', '164', '200', '62', '129', '101', '77', '239', '69', '244', '37', '187', '227', '236', '96', '207']
41 ['196', '194', '116', '230', '121', '20', '16', '99', '28', '107', '164', '200', '62', '129', '101', '77', '239', '69', '244', '37', '187', '227', '236', '96', '207']
42 ['196', '194', '116', '230', '121', '20', '16', '99', '28', '107', '164', '200', '62', '129', '101', '77', '239', '69', '244', '37', '187', '227', '236', '96', '207']
43 ['196', '194', '116', '230', '121', '20', '16', '99', '28', '107', '164', '200', '62', '129', '101', '77', '239', '69', '244', '37', '187', '227', '236', '96', '207']
44 ['196', '194', '116', '230', '121', '20', '16', '99', '28', '107', '164', '200', '62', '129', '101', '77', '239', '69', '244', '37', '187', '227', '236', '96', '207']
45 ['196', '194', '116', '230', '20', '200', '62', '129', '101', '77', '239', '69', '244', '37', '187', '227', '236', '96', '207', '2', '38', '143', '4', '87', '225']
46 ['196', '194', '116', '230', '20', '200', '62', '129', '101', '77', '239', '69', '244', '37', '187', '227', '236', '96', '207', '2', '38', '143', '4', '87', '225']
47 ['196', '194', '116', '230', '20', '200', '62', '129', '101', '77', '239', '69', '244', '37', '187', '227', '236', '96', '207', '2', '38', '143', '4', '87', '225']
48 ['196', '194', '116', '230', '20', '200', '62', '129', '101', '77', '239', '69', '244', '37', '187', '227', '236', '96', '207', '2', '38', '143', '4', '87', '225']
49 ['196', '194', '116', '230', '20', '62', '129', '69', '244', '37', '187', '227', '236', '96', '207', '2', '38', '143', '4', '87', '225', '186', '89', '65', '226']
50 ['196', '194', '116', '230', '20', '62', '129', '244', '37', '187', '227', '236', '96', '207', '2', '38', '143', '4', '87', '225', '186', '89', '65', '226', '229']
51 ['196', '194', '116', '230', '20', '62', '129', '244', '37', '187', '227', '236', '96', '207', '2', '38', '143', '4', '87', '225', '186', '89', '65', '226', '229']
52 ['196', '194', '116', '230', '20', '62', '129', '244', '37', '187', '227', '236', '96', '207', '2', '38', '143', '4', '87', '225', '186', '89', '65', '226', '229']
53 ['196', '194', '116', '230', '20', '62', '129', '244', '37', '187', '227', '236', '96', '207', '2', '38', '143', '4', '87', '225', '186', '89', '65', '226', '229']
54 ['196', '194', '116', '230', '20', '62', '129', '244', '37', '187', '227', '236', '96', '207', '2', '38', '143', '4', '87', '225', '186', '89', '65', '226', '229']
55 ['196', '194', '116', '230', '20', '62', '129', '227', '236', '207', '2', '143', '4', '87', '225', '186', '89', '65', '226', '229', '250', '38', '120', '152', '33']
56 ['196', '194', '116', '230', '20', '62', '129', '227', '236', '207', '2', '4', '87', '225', '186', '89', '65', '226', '229', '250', '38', '120', '152', '33', '93']
57 ['196', '194', '116', '230', '20', '62', '129', '227', '236', '207', '2', '4', '87', '225', '186', '89', '65', '226', '229', '250', '38', '120', '152', '33', '93']
58 ['196', '194', '116', '230', '20', '62', '129', '227', '236', '207', '2', '4', '87', '225', '186', '89', '65', '226', '229', '250', '38', '120', '152', '33', '93']
59 ['196', '194', '116', '230', '20', '62', '129', '227', '236', '207', '2', '4', '87', '225', '186', '89', '65', '226', '229', '250', '38', '120', '152', '33', '93']
60 ['196', '194', '116', '230', '20', '62', '129', '227', '236', '207', '2', '4', '87', '225', '186', '89', '65', '226', '229', '250', '38', '120', '152', '33', '93']
61 ['196', '194', '116', '230', '20', '62', '129', '227', '236', '207', '2', '4', '87', '225', '186', '89', '65', '226', '229', '250', '38', '120', '152', '33', '93']
62 ['196', '194', '116', '230', '20', '62', '129', '227', '207', '2', '225', '89', '65', '226', '229', '250', '38', '120', '152', '33', '93', '6', '73', '236', '138']
63 ['196', '194', '116', '230', '20', '62', '129', '227', '207', '2', '225', '89', '65', '226', '229', '250', '38', '120', '152', '33', '93', '6', '73', '236', '138']
64 ['196', '194', '116', '230', '20', '62', '129', '227', '207', '2', '225', '89', '65', '226', '229', '250', '38', '120', '152', '33', '93', '6', '73', '236', '138']
65 ['196', '194', '116', '230', '20', '62', '129', '227', '207', '2', '225', '226', '229', '38', '120', '152', '33', '93', '6', '73', '236', '138', '46', '86', '211']
66 ['196', '194', '116', '230', '20', '62', '129', '227', '207', '2', '225', '226', '229', '38', '120', '152', '33', '93', '6', '73', '236', '138', '46', '86', '211']
67 ['196', '194', '116', '230', '20', '62', '129', '227', '207', '2', '225', '226', '229', '38', '120', '152', '33', '93', '6', '73', '236', '138', '46', '86', '211']
68 ['196', '194', '116', '230', '20', '62', '129', '227', '207', '2', '225', '226', '229', '38', '120', '152', '33', '93', '6', '73', '236', '138', '46', '86', '211']
69 ['196', '194', '116', '230', '20', '62', '129', '227', '207', '2', '225', '226', '229', '33', '93', '6', '73', '236', '138', '46', '86', '211', '246', '58', '18']
70 ['196', '194', '116', '230', '20', '62', '129', '227', '207', '2', '225', '226', '229', '33', '93', '6', '73', '236', '138', '46', '86', '211', '246', '58', '18']
