0 ['192', '124', '152', '73', '242', '68', '98', '74', '233', '109', '244', '173', '158', '218', '97', '200', '208', '80', '40', '185', '41', '16', '138', '106', '176']
1 ['192', '124', '152', '73', '242', '68', '98', '74', '233', '109', '244', '173', '158', '218', '97', '200', '208', '80', '40', '185', '41', '16', '138', '106', '176']
2 ['192', '124', '152', '73', '242', '68', '98', '74', '233', '109', '244', '173', '158', '218', '97', '200', '208', '80', '40', '185', '41', '16', '138', '106', '176']
3 ['192', '124', '152', '73', '242', '68', '98', '74', '233', '109', '244', '173', '158', '218', '97', '200', '208', '80', '40', '185', '41', '16', '138', '106', '176']
4 ['192', '124', '152', '73', '242', '68', '98', '74', '233', '109', '244', '173', '158', '218', '97', '200', '208', '80', '40', '185', '41', '16', '138', '106', '176']
5 ['192', '124', '152', '73', '242', '68', '98', '74', '233', '109', '244', '173', '158', '218', '97', '200', '208', '80', '40', '185', '41', '16', '138', '106', '176']
6 ['192', '124', '152', '73', '242', '68', '98', '74', '233', '109', '244', '173', '158', '218', '97', '200', '208', '80', '40', '185', '41', '16', '138', '106', '176']
7 ['192', '124', '152', '73', '242', '68', '98', '74', '233', '109', '244', '173', '158', '218', '97', '200', '208', '80', '40', '185', '41', '16', '138', '106', '176']
8 ['192', '124', '152', '73', '242', '68', '98', '74', '233', '109', '244', '173', '158', '218', '97', '200', '208', '80', '40', '185', '41', '16', '138', '106', '176']
9 ['192', '124', '233', '173', '158', '218', '97', '200', '208', '80', '40', '185', '41', '16', '138', '106', '176', '141', '163', '25', '239', '177', '246', '167', '211']
10 ['192', '124', '233', '173', '158', '218', '97', '200', '208', '80', '40', '185', '41', '16', '138', '106', '176', '141', '163', '25', '239', '177', '246', '167', '211']
11 ['192', '124', '233', '173', '158', '218', '97', '200', '208', '80', '40', '185', '41', '16', '138', '106', '176', '141', '163', '25', '239', '177', '246', '167', '211']
12 ['192', '124', '233', '173', '158', '218', '97', '200', '208', '80', '40', '185', '41', '16', '138', '106', '176', '141', '163', '25', '239', '177', '246', '167', '211']
13 ['192', '124', '233', '173', '158', '218', '97', '200', '208', '80', '40', '185', '41', '16', '138', '106', '176', '141', '163', '25', '239', '177', '246', '167', '211']
14 ['192', '124', '233', '173', '158', '218', '97', '200', '208', '80', '40', '185', '41', '16', '138', '106', '176', '141', '163', '25', '239', '177', '246', '167', '211']
15 ['192', '124', '233', '173', '158', '218', '97', '200', '208', '80', '40', '185', '41', '16', '138', '106', '176', '141', '163', '25', '239', '177', '246', '167', '211']
16 ['192', '124', '233', '173', '158', '218', '97', '200', '208', '80', '40', '185', '41', '16', '138', '106', '176', '141', '163', '25', '239', '177', '246', '167', '211']
17 ['192', '124', '233', '173', '158', '218', '97', '200', '208', '80', '40', '185', '41', '16', '138', '106', '176', '141', '163', '25', '239', '177', '246', '167', '211']
18 ['192', '124', '233', '173', '158', '218', '97', '200', '208', '80', '40', '185', '41', '16', '138', '106', '176', '141', '163', '25', '239', '177', '246', '167', '211']
19 ['192', '124', '233', '173', '158', '218', '97', '200', '208', '80', '40', '185', '41', '16', '138', '106', '176', '141', '163', '25', '239', '177', '246', '167', '211']
30 ['192', '124', '233', '40', '41', '16', '138', '106', '176', '141', '163', '25', '239', '177', '246', '211', '206', '28', '26', '167', '123', '35', '43', '129', '49']
31 ['192', '124', '233', '40', '41', '16', '138', '106', '176', '141', '163', '25', '239', '177', '246', '211', '206', '28', '26', '167', '123', '35', '43', '129', '49']
