0 ['2255', '1617', '1396', '608', '1137', '2002', '1213', '1109', '411', '1080', '631', '0', '2191', '2186', '2325', '1333', '881', '210', '1446', '1559', '1352', '73', '1197', '1806', '2377', '377', '1030', '473', '383', '2290', '246', '425', '477', '1824', '1055', '1177', '63', '1022', '2171', '2055', '1758', '1342', '1429', '2245', '1720', '2235', '1286', '466', '1336', '205', '1271', '953', '833', '2495', '1907', '1124', '1290', '1751', '2201', '2287', '474', '343', '1456', '1354', '1417', '893', '528', '2008', '684', '1346', '2030', '888', '584', '837', '755', '2133', '175', '1116', '912', '1399', '1760', '13', '1989', '530', '831', '1561', '812', '1857', '1674', '2432', '2387', '540', '1920', '2004', '289', '7', '422', '1986', '762', '1462']
1 ['2255', '1617', '1396', '608', '1137', '2002', '1213', '1109', '411', '1080', '631', '0', '2191', '2186', '2325', '1333', '881', '210', '1446', '1559', '1352', '73', '1197', '1806', '2377', '377', '1030', '473', '383', '2290', '246', '425', '477', '1824', '1055', '1177', '63', '1022', '2171', '2055', '1758', '1342', '1429', '2245', '1720', '2235', '1286', '466', '1336', '205', '1271', '953', '833', '2495', '1907', '1124', '1290', '2201', '2287', '474', '343', '1456', '1354', '1417', '893', '528', '2008', '684', '1346', '2030', '888', '584', '837', '755', '2133', '175', '1116', '912', '1399', '1760', '13', '1989', '530', '831', '1561', '812', '1857', '1674', '2432', '2387', '540', '1920', '2004', '289', '7', '422', '1986', '762', '1462', '2200']
2 ['2255', '1617', '1396', '608', '1137', '2002', '1213', '1109', '411', '1080', '631', '0', '2191', '2186', '2325', '1333', '881', '210', '1446', '1559', '1352', '73', '1197', '1806', '2377', '377', '1030', '473', '383', '2290', '246', '425', '477', '1824', '1055', '1177', '63', '1022', '2171', '2055', '1758', '1342', '1429', '2245', '1720', '2235', '1286', '466', '1336', '205', '1271', '953', '833', '2495', '1907', '1124', '1290', '2201', '2287', '474', '343', '1456', '1354', '1417', '893', '528', '2008', '684', '1346', '2030', '888', '584', '837', '755', '2133', '1116', '912', '1399', '1760', '13', '1989', '530', '831', '1561', '812', '1857', '1674', '2432', '2387', '540', '1920', '2004', '289', '7', '422', '1986', '762', '1462', '2200', '1514']
3 ['1617', '1396', '608', '1137', '2002', '1213', '1109', '411', '1080', '631', '0', '2191', '2186', '2325', '1333', '881', '210', '1446', '1559', '1352', '73', '1197', '1806', '2377', '377', '1030', '473', '383', '2290', '246', '425', '477', '1824', '1055', '1177', '63', '1022', '2171', '2055', '1758', '1342', '1429', '2245', '1720', '2235', '1286', '466', '1336', '205', '1271', '953', '833', '2495', '1907', '1124', '1290', '2201', '2287', '474', '343', '1456', '1354', '1417', '893', '528', '2008', '684', '1346', '2030', '888', '584', '837', '755', '2133', '1116', '912', '1399', '1760', '13', '1989', '530', '831', '1561', '812', '1857', '1674', '2432', '2387', '540', '1920', '2004', '289', '7', '422', '1986', '762', '1462', '2200', '1514', '2129']
4 ['1617', '1396', '608', '1137', '2002', '1213', '1109', '411', '1080', '631', '0', '2191', '2186', '2325', '1333', '881', '210', '1446', '1559', '1352', '73', '1197', '1806', '2377', '377', '1030', '473', '383', '2290', '246', '425', '477', '1824', '1055', '1177', '63', '1022', '2171', '2055', '1758', '1342', '1429', '2245', '1720', '2235', '1286', '466', '1336', '205', '1271', '953', '833', '2495', '1907', '1124', '1290', '2201', '2287', '474', '343', '1456', '1354', '1417', '893', '528', '2008', '684', '1346', '2030', '888', '584', '837', '755', '2133', '1116', '912', '1399', '1760', '13', '1989', '530', '831', '1561', '812', '1857', '1674', '2432', '2387', '540', '1920', '2004', '289', '7', '422', '1986', '762', '1462', '2200', '1514', '2129']
5 ['1617', '1396', '608', '1137', '2002', '1213', '1109', '411', '1080', '631', '0', '2191', '2186', '2325', '1333', '881', '210', '1446', '1559', '1352', '73', '1197', '1806', '2377', '377', '1030', '473', '383', '2290', '246', '425', '477', '1824', '1055', '63', '1022', '2171', '1758', '1342', '1429', '2245', '1720', '2235', '1286', '466', '1336', '205', '1271', '953', '833', '2495', '1907', '1124', '1290', '2201', '2287', '474', '343', '1456', '1354', '1417', '893', '528', '2008', '684', '1346', '2030', '888', '584', '837', '755', '2133', '1116', '912', '1399', '1760', '13', '1989', '530', '831', '1561', '812', '1857', '1674', '2432', '2387', '540', '1920', '2004', '289', '7', '422', '1986', '762', '1462', '2200', '1514', '2129', '2055', '47']
6 ['1617', '1396', '608', '1137', '2002', '1213', '1109', '411', '1080', '631', '0', '2191', '2186', '2325', '881', '210', '1446', '1559', '1352', '73', '1197', '1806', '2377', '377', '1030', '473', '383', '2290', '246', '425', '477', '1824', '1055', '63', '1022', '2171', '1758', '1342', '1429', '2245', '1720', '2235', '1286', '466', '1336', '205', '1271', '953', '833', '2495', '1907', '1124', '1290', '2201', '2287', '474', '343', '1456', '1354', '1417', '893', '528', '2008', '684', '1346', '2030', '888', '584', '837', '755', '2133', '1116', '912', '1399', '1760', '13', '1989', '530', '831', '1561', '812', '1857', '1674', '2432', '2387', '540', '1920', '2004', '289', '7', '422', '1986', '762', '1462', '2200', '1514', '2129', '2055', '47', '109']
7 ['1617', '1396', '608', '1137', '2002', '1213', '1109', '411', '1080', '631', '0', '2191', '2186', '2325', '881', '210', '1446', '1559', '1352', '73', '1197', '1806', '2377', '377', '1030', '473', '383', '2290', '246', '425', '477', '1824', '1055', '63', '1022', '2171', '1758', '1342', '1429', '2245', '1720', '2235', '1286', '466', '1336', '205', '1271', '953', '833', '2495', '1907', '1124', '1290', '2201', '2287', '474', '343', '1456', '1354', '893', '528', '2008', '684', '1346', '2030', '888', '584', '837', '755', '2133', '1116', '912', '1399', '1760', '13', '1989', '530', '831', '1561', '812', '1857', '1674', '2432', '2387', '540', '1920', '2004', '289', '7', '422', '1986', '762', '1462', '2200', '1514', '2129', '2055', '47', '109', '567']
8 ['1617', '1396', '608', '1137', '2002', '1213', '1109', '411', '1080', '631', '0', '2191', '2186', '2325', '881', '210', '1446', '1559', '1352', '73', '1197', '1806', '2377', '377', '1030', '473', '383', '2290', '246', '425', '477', '1824', '1055', '63', '1022', '2171', '1758', '1342', '1429', '2245', '1720', '2235', '1286', '466', '1336', '205', '1271', '953', '833', '2495', '1907', '1124', '1290', '2201', '2287', '474', '343', '1456', '1354', '893', '528', '2008', '684', '1346', '2030', '888', '584', '837', '755', '2133', '1116', '912', '1399', '1760', '1989', '530', '831', '1561', '812', '1857', '1674', '2432', '2387', '540', '1920', '2004', '289', '7', '422', '1986', '762', '1462', '2200', '1514', '2129', '2055', '47', '109', '567', '1050']
9 ['1617', '1396', '608', '1137', '2002', '1213', '1109', '411', '1080', '631', '0', '2191', '2186', '2325', '881', '210', '1446', '1559', '1352', '73', '1197', '1806', '2377', '377', '1030', '473', '383', '2290', '246', '425', '477', '1824', '1055', '63', '1022', '2171', '1758', '1342', '1429', '2245', '1720', '2235', '1286', '466', '1336', '205', '1271', '953', '833', '1907', '1124', '1290', '2201', '2287', '474', '343', '1456', '1354', '893', '528', '2008', '684', '1346', '2030', '888', '584', '837', '755', '2133', '1116', '912', '1399', '1760', '1989', '530', '831', '1561', '812', '1857', '1674', '2432', '2387', '540', '1920', '2004', '289', '7', '422', '1986', '762', '1462', '2200', '1514', '2129', '2055', '47', '109', '567', '1050', '1683']
10 ['1617', '1396', '608', '1137', '2002', '1213', '1109', '411', '1080', '631', '0', '2191', '2186', '2325', '881', '210', '1446', '1559', '1352', '73', '1197', '1806', '2377', '377', '1030', '473', '383', '2290', '246', '425', '477', '1824', '1055', '63', '1022', '2171', '1342', '1429', '2245', '1720', '2235', '1286', '466', '1336', '205', '1271', '953', '833', '1907', '1124', '1290', '2201', '2287', '474', '343', '1456', '1354', '893', '528', '2008', '684', '1346', '2030', '888', '584', '837', '755', '2133', '1116', '912', '1399', '1760', '1989', '530', '831', '1561', '812', '1857', '1674', '2432', '2387', '540', '1920', '2004', '289', '7', '422', '1986', '762', '1462', '2200', '1514', '2129', '2055', '47', '109', '567', '1050', '1683', '522']
