0 ['1799', '215', '2096', '2030', '1233', '2019', '1561', '2498', '2213', '147', '558', '157', '1700', '313', '2342', '1000', '1433', '1400', '983', '321', '2269', '649', '102', '640', '744', '949', '1851', '791', '89', '1941', '2426', '1878', '1860', '921', '870', '2272', '288', '51', '582', '1712', '2406', '124', '214', '2481', '962', '324', '1988', '2152', '2395', '1707', '1600', '257', '1307', '1836', '901', '1025', '2227', '1837', '941', '770', '1682', '1251', '1585', '1928', '1058', '85', '1927', '603', '685', '986', '2386', '1365', '2095', '798', '1858', '2093', '1717', '1695', '1521', '1539', '365', '71', '2256', '604', '1802', '734', '384', '663', '790', '972', '242', '1856', '126', '1946', '120', '100', '1448', '1428', '1514', '1911']
1 ['1799', '215', '2096', '2030', '1233', '2019', '1561', '2498', '2213', '147', '558', '157', '1700', '313', '2342', '1000', '1433', '1400', '983', '321', '2269', '649', '102', '640', '744', '949', '1851', '791', '89', '1941', '2426', '1878', '1860', '921', '870', '2272', '288', '51', '582', '1712', '2406', '124', '214', '2481', '962', '324', '1988', '2395', '1707', '1600', '257', '1307', '1836', '901', '1025', '2227', '1837', '941', '770', '1682', '1251', '1585', '1928', '1058', '85', '1927', '603', '685', '986', '2386', '1365', '2095', '798', '1858', '2093', '1717', '1695', '1521', '1539', '365', '71', '2256', '604', '1802', '734', '384', '663', '790', '972', '242', '1856', '126', '1946', '120', '100', '1448', '1428', '1514', '1911', '518']
2 ['1799', '215', '2096', '2030', '1233', '2019', '1561', '2498', '2213', '147', '558', '157', '1700', '313', '2342', '1000', '1433', '1400', '983', '321', '2269', '649', '102', '640', '744', '949', '1851', '791', '89', '1941', '2426', '1878', '1860', '921', '870', '2272', '288', '51', '582', '1712', '124', '214', '2481', '962', '324', '1988', '2395', '1707', '1600', '257', '1307', '1836', '901', '1025', '2227', '1837', '941', '770', '1682', '1251', '1585', '1928', '1058', '85', '1927', '603', '685', '986', '2386', '1365', '2095', '798', '1858', '2093', '1717', '1695', '1521', '1539', '365', '71', '2256', '604', '1802', '734', '384', '663', '790', '972', '242', '1856', '126', '1946', '120', '100', '1448', '1428', '1514', '1911', '518', '847']
3 ['1799', '215', '2096', '2030', '1233', '2019', '1561', '2498', '2213', '147', '558', '157', '1700', '313', '2342', '1000', '1433', '1400', '983', '321', '2269', '649', '102', '640', '744', '949', '1851', '791', '89', '1941', '2426', '1878', '1860', '921', '870', '2272', '288', '51', '582', '1712', '124', '214', '2481', '962', '324', '1988', '2395', '1707', '1600', '257', '1307', '1836', '901', '1025', '2227', '1837', '941', '770', '1682', '1251', '1585', '1928', '1058', '85', '603', '685', '986', '2386', '1365', '2095', '798', '1858', '2093', '1717', '1695', '1521', '1539', '365', '71', '2256', '604', '1802', '734', '384', '663', '790', '972', '242', '1856', '126', '1946', '120', '100', '1448', '1428', '1514', '1911', '518', '847', '583']
4 ['1799', '215', '2096', '2030', '1233', '2019', '1561', '2498', '2213', '147', '558', '157', '1700', '313', '2342', '1000', '1433', '1400', '983', '321', '2269', '649', '102', '640', '744', '949', '1851', '791', '89', '1941', '2426', '1878', '1860', '921', '870', '2272', '288', '51', '582', '1712', '124', '214', '2481', '962', '324', '1988', '2395', '1707', '1600', '257', '1307', '1836', '901', '1025', '2227', '1837', '941', '770', '1682', '1251', '1585', '1928', '1058', '85', '603', '685', '986', '1365', '2095', '798', '1858', '2093', '1717', '1695', '1521', '1539', '365', '71', '2256', '604', '1802', '734', '384', '663', '790', '972', '242', '1856', '126', '1946', '120', '100', '1448', '1428', '1514', '1911', '518', '847', '583', '2334']
5 ['1799', '215', '2096', '2030', '1233', '2019', '1561', '2498', '2213', '147', '558', '157', '1700', '313', '2342', '1000', '1433', '1400', '983', '321', '2269', '649', '102', '640', '744', '949', '1851', '791', '89', '1941', '2426', '1860', '921', '870', '2272', '288', '51', '582', '1712', '124', '214', '2481', '962', '324', '1988', '2395', '1707', '1600', '257', '1307', '1836', '901', '1025', '2227', '1837', '941', '770', '1682', '1251', '1585', '1928', '1058', '85', '603', '685', '986', '1365', '2095', '798', '1858', '2093', '1717', '1695', '1521', '1539', '365', '71', '2256', '604', '1802', '734', '384', '663', '790', '972', '242', '1856', '126', '1946', '120', '100', '1448', '1428', '1514', '1911', '518', '847', '583', '2334', '1355']
6 ['1799', '215', '2096', '2030', '1233', '2019', '1561', '2498', '2213', '147', '558', '157', '1700', '313', '2342', '1000', '1433', '1400', '983', '321', '2269', '649', '102', '640', '744', '949', '1851', '791', '89', '1941', '2426', '1860', '921', '870', '2272', '288', '51', '582', '1712', '124', '214', '2481', '962', '324', '1988', '2395', '1600', '257', '1307', '1836', '901', '1025', '2227', '1837', '941', '770', '1682', '1251', '1585', '1928', '1058', '85', '603', '685', '986', '1365', '2095', '798', '1858', '2093', '1717', '1695', '1521', '1539', '365', '71', '2256', '604', '1802', '734', '384', '663', '790', '972', '242', '1856', '126', '1946', '120', '100', '1448', '1428', '1514', '1911', '518', '847', '583', '2334', '1355', '1164']
7 ['1799', '215', '2096', '2030', '1233', '2019', '1561', '2498', '2213', '147', '558', '157', '1700', '313', '2342', '1000', '1433', '1400', '983', '321', '2269', '649', '640', '744', '949', '1851', '791', '89', '1941', '2426', '1860', '921', '870', '2272', '288', '51', '582', '1712', '124', '214', '2481', '962', '324', '1988', '2395', '1600', '257', '1307', '1836', '901', '1025', '2227', '1837', '941', '770', '1682', '1251', '1585', '1928', '1058', '85', '603', '685', '986', '1365', '2095', '798', '1858', '2093', '1717', '1695', '1521', '1539', '365', '71', '2256', '604', '1802', '734', '384', '663', '790', '972', '242', '1856', '126', '1946', '120', '100', '1448', '1428', '1514', '1911', '518', '847', '583', '2334', '1355', '1164', '1575']
8 ['1799', '215', '2096', '2030', '1233', '2019', '1561', '2498', '2213', '147', '558', '157', '1700', '313', '2342', '1000', '1433', '1400', '983', '321', '2269', '649', '640', '744', '949', '1851', '791', '89', '1941', '2426', '1860', '921', '870', '2272', '288', '51', '582', '1712', '124', '214', '2481', '962', '324', '1988', '2395', '1600', '257', '1307', '1836', '901', '1025', '2227', '1837', '941', '770', '1682', '1251', '1585', '1928', '1058', '85', '603', '685', '986', '1365', '2095', '798', '1858', '2093', '1717', '1695', '1521', '1539', '365', '71', '2256', '604', '1802', '734', '384', '790', '972', '242', '1856', '126', '1946', '120', '100', '1448', '1428', '1514', '1911', '518', '847', '583', '2334', '1355', '1164', '1575', '2292']
9 ['1799', '215', '2096', '2030', '1233', '2019', '1561', '2498', '2213', '147', '558', '157', '1700', '313', '2342', '1000', '1433', '1400', '983', '321', '2269', '649', '640', '744', '949', '1851', '791', '89', '1941', '2426', '1860', '921', '870', '2272', '288', '51', '582', '1712', '124', '214', '2481', '962', '324', '1988', '2395', '1600', '257', '1307', '1836', '901', '1025', '2227', '1837', '941', '770', '1682', '1251', '1585', '1928', '1058', '85', '603', '685', '986', '1365', '2095', '798', '1858', '2093', '1717', '1695', '1521', '1539', '365', '71', '2256', '604', '1802', '384', '790', '972', '242', '1856', '126', '1946', '120', '100', '1448', '1428', '1514', '1911', '518', '847', '583', '2334', '1355', '1164', '1575', '2292', '624']
10 ['1799', '215', '2096', '2030', '1233', '2019', '1561', '2498', '2213', '147', '558', '157', '1700', '313', '2342', '1000', '1433', '1400', '983', '321', '2269', '649', '640', '949', '1851', '791', '89', '1941', '2426', '1860', '921', '870', '2272', '288', '51', '582', '1712', '124', '214', '2481', '962', '324', '1988', '2395', '1600', '257', '1307', '1836', '901', '1025', '2227', '1837', '941', '770', '1682', '1251', '1585', '1928', '1058', '85', '603', '685', '986', '1365', '2095', '798', '1858', '2093', '1717', '1695', '1521', '1539', '365', '71', '2256', '604', '1802', '384', '790', '972', '242', '1856', '126', '1946', '120', '100', '1448', '1428', '1514', '1911', '518', '847', '583', '2334', '1355', '1164', '1575', '2292', '624', '2153']
